,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
Tenm3,0,2.379193495,0.632,0.484,0
Cdh13,0,1.701250298,0.438,0.473,0
Rgs20,0,1.573463496,0.418,0.369,0
Tenm4,0,1.564319876,0.554,0.453,0
Gfra1,1.94E-294,1.355488878,0.519,0.452,2.05E-291
Vat1l,0,1.258982472,0.429,0.493,0
Ghr,0,1.179003395,0.322,0.486,0
Runx1,0,1.155947322,0.397,0.372,0
Myo1e,4.70E-161,1.134912919,0.693,0.647,4.97E-158
Neto2,0,1.09480865,0.417,0.47,0
Grik3,4.14E-288,1.013009028,0.399,0.418,4.37E-285
Pde1c,4.01E-88,0.974847019,0.839,0.722,4.23E-85
Xylt1,0,0.954370324,0.334,0.428,0
Cnksr3,2.80E-135,0.901443835,0.667,0.611,2.96E-132
Hmga2,6.40E-180,0.826601048,0.448,0.432,6.76E-177
Zfhx3,1.43E-182,0.807790662,0.404,0.474,1.51E-179
Akap13,3.49E-87,0.793144681,0.644,0.644,3.69E-84
Cd109,0,0.774863679,0.552,0.455,0
Ltbp1,1.31E-245,0.752729227,0.498,0.338,1.39E-242
Astn2,4.10E-33,0.747401418,0.56,0.431,4.33E-30
Angpt1,0,0.723010487,0.353,0.596,0
Arhgap28,0,0.696643628,0.475,0.492,0
Sv2c,0,0.672185292,0.52,0.605,0
Cdh6,6.39E-114,0.67164258,0.424,0.557,6.75E-111
Alcam,1.45E-64,0.660045537,0.889,0.701,1.53E-61
Btbd11,1.71E-138,0.658488603,0.536,0.359,1.80E-135
Sh3rf3,8.97E-150,0.653294725,0.593,0.418,9.48E-147
Ptprm,9.53E-120,0.606969944,0.499,0.627,1.01E-116
Rorb,3.01E-232,0.573935959,0.281,0.43,3.18E-229
Ptprg,2.32E-46,0.570143257,0.512,0.465,2.45E-43
Satb2,0,0.557989978,0.292,0.554,0
Fign,2.89E-72,0.54547552,0.936,0.747,3.06E-69
Moxd1,3.31E-80,0.535397898,0.488,0.371,3.50E-77
Necab1,6.06E-71,0.529153467,0.582,0.502,6.40E-68
3-Mar,1.86E-114,0.503157021,0.364,0.47,1.96E-111
Acsl3,2.38E-77,0.495446841,0.588,0.694,2.51E-74
Sema6a,1.60E-56,0.492393758,0.918,0.746,1.69E-53
Bcl2,5.21E-122,0.491920495,0.34,0.455,5.50E-119
Arhgap18,2.13E-131,0.485687624,0.544,0.514,2.25E-128
Gm2164,2.37E-21,0.477025227,0.633,0.568,2.51E-18
Gm4876,1.92E-41,0.475589565,0.399,0.417,2.03E-38
Dpf3,2.17E-163,0.474955328,0.361,0.563,2.29E-160
Pitpnc1,1.72E-150,0.474482614,0.3,0.419,1.82E-147
Myof,1.24E-159,0.45774989,0.385,0.53,1.31E-156
Epb41l4a,2.08E-38,0.450325364,0.66,0.678,2.19E-35
Abtb2,1.45E-17,0.447277567,0.658,0.661,1.54E-14
