clusters,sample,cell.no,genotype.total,ratio,groups,avg,sem
0,M_Ctrl_1,198,254,0.779527559,M_Ctrl,0.722983798,0.061830458
1,M_Ctrl_1,41,254,0.161417323,M_Ctrl,0.198293418,0.031023985
2,M_Ctrl_1,15,254,0.059055118,M_Ctrl,0.076954438,0.02987821
3,M_Ctrl_1,0,254,0,M_Ctrl,0.001768347,0.001768347
0,M_Ctrl_2,173,219,0.789954338,M_Ctrl,0.722983798,0.061830458
1,M_Ctrl_2,38,219,0.173515982,M_Ctrl,0.198293418,0.031023985
2,M_Ctrl_2,8,219,0.03652968,M_Ctrl,0.076954438,0.02987821
3,M_Ctrl_2,0,219,0,M_Ctrl,0.001768347,0.001768347
0,M_Ctrl_3,226,377,0.599469496,M_Ctrl,0.722983798,0.061830458
1,M_Ctrl_3,98,377,0.25994695,M_Ctrl,0.198293418,0.031023985
2,M_Ctrl_3,51,377,0.135278515,M_Ctrl,0.076954438,0.02987821
3,M_Ctrl_3,2,377,0.00530504,M_Ctrl,0.001768347,0.001768347
0,M_3wk_1,212,475,0.446315789,M_3wk,0.391106642,0.027792676
1,M_3wk_1,167,475,0.351578947,M_3wk,0.343517352,0.008937289
2,M_3wk_1,95,475,0.2,M_3wk,0.254272727,0.027876975
3,M_3wk_1,1,475,0.002105263,M_3wk,0.011103278,0.004786689
0,M_3wk_2,233,651,0.357910906,M_3wk,0.391106642,0.027792676
1,M_3wk_2,230,651,0.353302611,M_3wk,0.343517352,0.008937289
2,M_3wk_2,176,651,0.270353303,M_3wk,0.254272727,0.027876975
3,M_3wk_2,12,651,0.01843318,M_3wk,0.011103278,0.004786689
0,M_3wk_3,289,783,0.369093231,M_3wk,0.391106642,0.027792676
1,M_3wk_3,255,783,0.325670498,M_3wk,0.343517352,0.008937289
2,M_3wk_3,229,783,0.292464879,M_3wk,0.254272727,0.027876975
3,M_3wk_3,10,783,0.012771392,M_3wk,0.011103278,0.004786689
0,F_Ctrl_1,123,149,0.825503356,F_Ctrl,0.719030482,0.058909048
1,F_Ctrl_1,23,149,0.154362416,F_Ctrl,0.225312722,0.046787417
2,F_Ctrl_1,3,149,0.020134228,F_Ctrl,0.051047366,0.016489315
3,F_Ctrl_1,0,149,0,F_Ctrl,0.00460943,0.002350308
0,F_Ctrl_2,242,389,0.622107969,F_Ctrl,0.719030482,0.058909048
1,F_Ctrl_2,122,389,0.313624679,F_Ctrl,0.225312722,0.046787417
2,F_Ctrl_2,22,389,0.05655527,F_Ctrl,0.051047366,0.016489315
3,F_Ctrl_2,3,389,0.007712082,F_Ctrl,0.00460943,0.002350308
0,F_Ctrl_3,232,327,0.709480122,F_Ctrl,0.719030482,0.058909048
1,F_Ctrl_3,68,327,0.20795107,F_Ctrl,0.225312722,0.046787417
2,F_Ctrl_3,25,327,0.076452599,F_Ctrl,0.051047366,0.016489315
3,F_Ctrl_3,2,327,0.006116208,F_Ctrl,0.00460943,0.002350308
0,F_3wk_1,291,621,0.468599034,F_3wk,0.484386791,0.008609544
1,F_3wk_1,172,621,0.276972625,F_3wk,0.274413431,0.004857443
2,F_3wk_1,142,621,0.228663446,F_3wk,0.225760588,0.00253794
3,F_3wk_1,16,621,0.025764895,F_3wk,0.015439189,0.005229586
0,F_3wk_2,282,566,0.498233216,F_3wk,0.484386791,0.008609544
1,F_3wk_2,150,566,0.265017668,F_3wk,0.274413431,0.004857443
2,F_3wk_2,129,566,0.227915194,F_3wk,0.225760588,0.00253794
3,F_3wk_2,5,566,0.008833922,F_3wk,0.015439189,0.005229586
0,F_3wk_3,249,512,0.486328125,F_3wk,0.484386791,0.008609544
1,F_3wk_3,144,512,0.28125,F_3wk,0.274413431,0.004857443
2,F_3wk_3,113,512,0.220703125,F_3wk,0.225760588,0.00253794
3,F_3wk_3,6,512,0.01171875,F_3wk,0.015439189,0.005229586
