"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Slc7a11",0,1.51750526596383,0.707,0.378,0
"Kcnip4",0,1.65652492532978,0.542,0.293,0
"Cst3",0,-1.50864395817496,0.575,0.81,0
"Sorbs1",0,0.935450875714025,0.791,0.605,0
"Apoe",0,-0.793892360189972,0.886,0.96,0
"Lsamp",0,-0.507846500025082,0.998,0.998,0
"Atf5",3.15707947692557e-321,3.54496689086476,0.159,0.013,7.90627413406469e-317
"Slc1a2",4.33975311653724e-294,-0.385758294485997,0.99,0.997,1.08680437297442e-289
"Dst",8.83362290871495e-210,0.764884836201862,0.731,0.569,2.21220418502948e-205
"Osmr",7.9190474049992e-192,2.28112266171366,0.167,0.039,1.98316704163395e-187
"Gm42418",1.0310989678338e-185,-0.462347440034844,0.916,0.931,2.58218114514619e-181
"Slc7a5",1.11768621973986e-183,2.35300897011044,0.133,0.024,2.79902160009453e-179
"Arhgef2",2.25528884402247e-181,1.9655059296895,0.18,0.049,5.64791985208547e-177
"Gm3764",4.42567486402126e-177,-0.441960165323656,0.842,0.887,1.10832175619684e-172
"Tenm4",7.37234338271367e-176,1.54757636016713,0.311,0.151,1.84625595333298e-171
"Cd81",7.82100172502849e-159,-0.867499584000931,0.348,0.474,1.95861346199889e-154
"C4b",1.03410517746908e-158,0.952664469790168,0.358,0.185,2.58970959593582e-154
"Gfap",1.35525566549372e-156,1.01395234225362,0.393,0.215,3.39396676309591e-152
"Ggta1",3.07885330008593e-154,1.70881863666585,0.166,0.049,7.7103723194052e-150
"Plce1",1.21248784126756e-150,0.945728321281693,0.485,0.309,3.03643330088635e-146
"Mfge8",1.86484347971869e-139,-1.11518050691168,0.184,0.317,4.67012752625953e-135
"Chl1",6.61223954286405e-138,1.78705944246209,0.182,0.066,1.65590314871944e-133
"Gja1",3.50908117371469e-133,-0.683628517052852,0.418,0.527,8.7877919833337e-129
"Enox1",3.82886368386708e-133,0.976640025192386,0.413,0.261,9.58862332350833e-129
"Cspg5",2.03760643341217e-131,-0.582234208724258,0.521,0.633,5.10277779119409e-127
"Dgkb",4.77795118347544e-131,-0.360308901442507,0.82,0.848,1.19654231487775e-126
"Snhg11",1.17677107843696e-129,-1.12322695969709,0.166,0.312,2.94698781172969e-125
"Neat1",4.72635476781646e-125,-0.837358989831493,0.299,0.427,1.18362102450427e-120
"CT025619.1",4.92048544650217e-116,-0.580614818937411,0.444,0.528,1.23223717036754e-111
"Mertk",3.3585477261346e-112,-0.405367482162263,0.74,0.807,8.41081107055887e-108
"Clu",6.28764681292742e-110,-0.613020925799388,0.474,0.558,1.57461539136141e-105
"Gpc5",1.76732451700138e-109,-0.266767687601392,0.97,0.978,4.42591078792655e-105
"Megf9",4.17158767842549e-108,0.91529089499173,0.314,0.175,1.04469070230809e-103
"Gphn",4.62478731297295e-105,-0.3422161999361,0.825,0.852,1.15818548678782e-100
"Mgat5",3.45329422450612e-104,-0.624740441630223,0.398,0.482,8.64808472643067e-100
"Angpt1",4.21589296614647e-100,0.854124334870018,0.319,0.184,1.05578607551206e-95
"Itm2b",6.93277487869262e-100,-0.757865721729965,0.247,0.311,1.73617481287099e-95
"Htra1",7.17126924591392e-99,-0.454945461530464,0.56,0.634,1.79590095725422e-94
"Rgl1",5.29606908864378e-98,0.830804958739395,0.333,0.197,1.32629458186906e-93
"Plcb1",2.86151821146635e-97,-0.34579115382911,0.847,0.88,7.16610005697518e-93
"Usp24",1.78926827065674e-90,0.696163595947502,0.454,0.316,4.48086453020567e-86
"Slc3a2",3.02807952053551e-88,0.852999559664603,0.209,0.107,7.58321954327708e-84
"Dclk1",7.74090308968294e-87,-0.355375462377745,0.747,0.796,1.9385543607493e-82
"Slc14a2",9.05976665094191e-85,1.34879074318088,0.124,0.046,2.26883736239538e-80
"Atp1a2",2.33968924922432e-84,-0.277562565940927,0.875,0.9,5.85928378683246e-80
"Shisa6",3.29304829237e-84,1.38134887468843,0.15,0.065,8.24678083858218e-80
"Plp1",5.65074310979728e-84,-1.60491646432806,0.045,0.122,1.41511559698653e-79
"Lrig1",4.89773666229491e-83,0.662420794581764,0.365,0.235,1.22654019233851e-78
"Cpne8",1.24555902050676e-81,1.50080542150552,0.112,0.039,3.11925345505509e-77
"Gpm6a",1.78063362890879e-81,-0.32290662047374,0.752,0.789,4.45924079687628e-77
"Tsix",3.69390621593759e-80,0.937912726611698,0.287,0.202,9.25064933657251e-76
"Slc39a14",1.2295995549136e-79,1.06301697387607,0.169,0.079,3.07928616537012e-75
"Gm12239",3.2298655770026e-79,-0.974743875794618,0.165,0.246,8.08855236448761e-75
"Adgrv1",7.39386939100551e-78,1.11258197453232,0.106,0.039,1.85164671158951e-73
"Eprs",5.19914648737433e-77,0.99617011499205,0.183,0.091,1.30202225483315e-72
"Sbno2",2.09674832313696e-76,1.52469209619163,0.125,0.049,5.2508868256319e-72
"Stat3",1.04082520689208e-75,0.731791802953743,0.26,0.152,2.60653856561983e-71
"Meg3",5.09852810486435e-75,-0.96406546473949,0.164,0.269,1.27682439330118e-70
"Grin2c",3.76032858478191e-74,-0.540678073857192,0.362,0.449,9.41699087486933e-70
"Fam184a",2.74938515730085e-73,0.514521966191504,0.496,0.365,6.88528524942853e-69
"9530026P05Rik",5.89928703977463e-72,0.497718156134684,0.455,0.326,1.47735845337076e-67
"Tspan7",2.47017605229614e-71,-0.285469808985324,0.851,0.877,6.18606188776522e-67
"Abca1",2.49352473418568e-71,0.546161243072769,0.395,0.272,6.2445339918212e-67
"Slc22a4",2.15626981510455e-67,0.926381929591437,0.147,0.071,5.39994649796633e-63
"Gsdme",2.72782186182906e-67,0.47097851011788,0.413,0.293,6.83128428857851e-63
"Luzp2",3.18205300204018e-67,0.393902256709218,0.826,0.751,7.96881533300922e-63
"Glud1",3.25322379407207e-67,-0.394813497705031,0.514,0.569,8.14704834749468e-63
"Plpp3",4.24682031042284e-67,-0.266923506305322,0.839,0.866,1.06353121033919e-62
"Camk2d",2.2650039576196e-66,0.5693766966701,0.393,0.273,5.67224941106675e-62
"Kalrn",1.48055871199574e-65,-0.426679066094701,0.439,0.482,3.70776318245094e-61
"Gm4876",1.48804374180776e-65,0.502364935717724,0.38,0.263,3.72650794260916e-61
"Son",4.12324071253224e-65,0.251924802771059,0.948,0.914,1.03258317163945e-60
"Gm48228",6.04510995932593e-65,0.538723884469509,0.249,0.155,1.51387688711399e-60
"Grin2b",8.42159302375473e-63,-0.509756104835275,0.34,0.386,2.1090195409389e-58
"Gldc",9.20681087408392e-63,-0.47697024205961,0.366,0.429,2.30566164719684e-58
"Slc7a10",1.37866029715647e-62,-0.6388666017422,0.239,0.316,3.45257898216896e-58
"Nfasc",2.61254094576943e-62,0.815894188343695,0.222,0.129,6.54258629049038e-58
"Tmem47",2.05011515450085e-60,0.494446985549299,0.452,0.334,5.13410338141648e-56
"Col11a2",7.95736432097052e-60,-1.03423349585868,0.092,0.154,1.99276274690065e-55
"Fus",1.08777145961281e-59,0.447207758233607,0.385,0.275,2.72410606630837e-55
"Plcl1",1.94031880670067e-58,-0.383833467162068,0.508,0.551,4.8591403876205e-54
"Nrcam",3.5862140306823e-58,0.328675225780016,0.815,0.737,8.98095579703769e-54
