,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
Lhfp,2.36E-64,-0.788027754,0.468,0.592,5.92E-60
Kcnip4,5.31E-25,-0.781165245,0.485,0.588,1.33E-20
Gm42418,1.69E-96,-0.755821168,0.904,0.963,4.24E-92
Cmss1,1.53E-53,-0.620069441,0.648,0.721,3.83E-49
Zbtb16,2.25E-30,-0.575112649,0.198,0.269,5.63E-26
Gpm6a,2.98E-47,-0.522806434,0.734,0.811,7.47E-43
Hdac4,6.55E-26,-0.488296503,0.289,0.363,1.64E-21
Usp53,1.16E-30,-0.475290087,0.348,0.364,2.91E-26
Tenm4,1.95E-14,-0.460319756,0.28,0.319,4.89E-10
Usp24,2.25E-38,-0.420604625,0.452,0.465,5.63E-34
Pde7b,7.71E-24,-0.416993324,0.381,0.411,1.93E-19
Gfap,1.25E-14,-0.416514748,0.348,0.4,3.12E-10
Adcy9,1.01E-19,-0.413884767,0.243,0.295,2.54E-15
Ncam2,2.56E-21,-0.402620168,0.617,0.64,6.40E-17
Slco1c1,3.86E-27,-0.37704219,0.497,0.504,9.67E-23
Plce1,1.13E-19,-0.369905128,0.469,0.497,2.83E-15
Pdzrn3,1.10E-13,-0.355490744,0.307,0.33,2.76E-09
AY036118,3.12E-28,-0.341042098,0.633,0.643,7.82E-24
Kcnn2,9.36E-20,-0.336299722,0.67,0.696,2.34E-15
Pfkp,6.97E-17,-0.335903738,0.296,0.321,1.75E-12
Pdgfd,4.84E-13,-0.335850351,0.252,0.266,1.21E-08
Grin2b,3.83E-14,-0.329314388,0.33,0.355,9.60E-10
Prkd1,4.21E-24,-0.328167949,0.634,0.656,1.05E-19
Gpr37l1,1.62E-15,-0.327995319,0.367,0.403,4.07E-11
C4b,1.08E-16,-0.320754437,0.331,0.363,2.70E-12
Rcan2,5.93E-15,-0.315453915,0.242,0.256,1.48E-10
Tsix,4.47E-15,-0.314315225,0.546,0.605,1.12E-10
Nfia,2.29E-30,-0.313203433,0.939,0.946,5.74E-26
Nhsl1,2.84E-18,-0.309297265,0.638,0.672,7.11E-14
Mapk10,1.36E-21,-0.309192915,0.571,0.593,3.41E-17
Angpt1,3.82E-10,-0.303404159,0.287,0.323,9.56E-06
Acsl3,6.53E-17,-0.288556415,0.697,0.733,1.64E-12
Clu,3.22E-14,-0.280949145,0.446,0.468,8.07E-10
Grm3,8.50E-20,-0.278296086,0.736,0.735,2.13E-15
Pacrg,6.59E-11,-0.271266404,0.442,0.467,1.65E-06
Irak2,2.38E-14,-0.271003127,0.326,0.336,5.97E-10
Slc1a2,4.96E-24,-0.266645126,0.989,0.991,1.24E-19
S1pr1,1.84E-13,-0.265975539,0.352,0.375,4.62E-09
Maml2,2.97E-26,-0.263381855,0.879,0.878,7.44E-22
Gm16168,1.59E-08,-0.262967588,0.441,0.464,0.000397898
Cdh20,2.30E-15,-0.26228875,0.543,0.549,5.76E-11
Trim9,6.26E-17,-0.262140718,0.523,0.532,1.57E-12
Cep85l,1.95E-16,-0.259813177,0.496,0.517,4.87E-12
Farp1,3.35E-19,-0.259014428,0.883,0.901,8.39E-15
Gm4876,1.99E-12,-0.25378711,0.354,0.367,4.98E-08
Atp1a2,1.48E-18,-0.252140873,0.877,0.889,3.70E-14
Ntrk2,7.29E-14,-0.252069139,0.845,0.857,1.83E-09
Fam20a,2.80E-21,-0.249709963,0.493,0.48,7.00E-17
Ccdc85a,9.86E-11,-0.249570457,0.375,0.379,2.47E-06
Mapk4,3.63E-13,-0.247990746,0.595,0.607,9.09E-09
Psd2,7.82E-13,-0.246566631,0.244,0.26,1.96E-08
Megf9,2.71E-13,-0.24637821,0.299,0.299,6.78E-09
Grik2,3.42E-13,-0.242578711,0.582,0.59,8.56E-09
Apoe,1.77E-15,-0.241313057,0.904,0.9,4.42E-11
Dlg2,0.011325897,-0.239423491,0.459,0.475,1
Csmd1,0.018030881,-0.23870892,0.407,0.446,1
Rgs6,4.11E-08,-0.237892674,0.279,0.283,0.001028634
Sema6d,8.12E-13,-0.235611102,0.507,0.51,2.03E-08
Sorbs1,6.37E-16,-0.23340991,0.81,0.794,1.60E-11
Lrp1b,1.92E-13,-0.231933721,0.857,0.845,4.81E-09
Nrcam,2.83E-15,-0.231358893,0.806,0.805,7.10E-11
Erbb4,2.11E-09,-0.231025419,0.41,0.4,5.27E-05
Fmn2,1.10E-20,-0.229721893,0.745,0.729,2.75E-16
Kcnma1,2.36E-11,-0.22956387,0.336,0.345,5.90E-07
