"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Tsix",0,2.61578353373918,0.546,0.001,0
"Xist",0,3.9383311723719,0.881,0.003,0
"Eif2s3y",6.6974995478029e-318,-1.5106246582235,0,0.419,1.67725481175628e-313
"Uty",3.99251854754659e-252,-1.33914919810458,0.003,0.361,9.99846419862092e-248
"Ddx3y",1.12997291121615e-176,-1.03966845399488,0.001,0.259,2.82979116155859e-172
"Mid1",1.49461580414979e-67,-0.747645143348983,0.335,0.602,3.74296635833232e-63
"Slc1a3",6.76344563485588e-44,-0.340228846552059,0.94,0.985,1.69376969033696e-39
"Nkain2",1.81178175148966e-40,0.0355278776562968,0.232,0.369,4.53724504025555e-36
"Atxn2l",5.12916919564299e-40,-0.386131903645888,0.116,0.266,1.28449784166487e-35
"Gpr37l1",2.03527005453473e-38,-0.38489197696016,0.367,0.564,5.09692679757131e-34
"Slc7a10",6.02522882739106e-38,0.156979555725953,0.238,0.303,1.50889805524354e-33
"Tsc22d4",5.26379011768148e-36,0.010399964196663,0.348,0.462,1.31821095917097e-31
"Mycbp2",9.58645750234742e-35,0.0485162636954417,0.54,0.656,2.40073655231286e-30
"C4b",1.30289954572134e-34,-0.365430185612322,0.331,0.511,3.26285133234995e-30
"Chst2",4.06105229733751e-34,-0.198152050441264,0.192,0.323,1.01700932682223e-29
"Cyp2d22",2.09370562071587e-33,-0.0500597410286756,0.312,0.428,5.24326698595876e-29
"Slc6a1",2.20725378508326e-33,-0.0664463031558484,0.439,0.576,5.527625653984e-29
"Acsl6",6.7535434720642e-33,-0.0499375605702033,0.366,0.486,1.69128989170904e-28
"AC149090.1",8.26913519854046e-33,0.366584760147454,0.732,0.751,2.07083952777049e-28
"Huwe1",8.9893427773067e-33,-0.109569089431736,0.385,0.522,2.25120111172092e-28
"Wdr26",1.09171960852933e-32,-0.0286898231172839,0.214,0.307,2.73399341563999e-28
"Srsf5",1.96641230981006e-32,-0.231136249210057,0.341,0.502,4.92448634745733e-28
"Ewsr1",1.97188061170709e-32,-0.127881190449673,0.203,0.32,4.93818061589808e-28
"Gm44511",1.99044149374288e-32,0.130027172389651,0.555,0.649,4.9846626327803e-28
"Gm4876",2.14869977835542e-32,-0.35492659815306,0.354,0.53,5.38098885493547e-28
"Atp1b2",2.85570317091435e-32,-0.00734223396808442,0.273,0.37,7.1515374509208e-28
"Tenm4",3.29640763023814e-32,-0.570056732067113,0.28,0.459,8.25519362840537e-28
"Pbxip1",3.6749425092089e-32,-0.0600973959336424,0.268,0.378,9.20315852581185e-28
"Gm11146",8.79516500081125e-32,0.0527862894148399,0.287,0.38,2.20257317115316e-27
"Plxnb1",1.24375919624115e-31,-0.0740028411395766,0.224,0.325,3.11474615514672e-27
"Malat1",1.49419750837435e-31,0.21083025943398,1,1,3.7419188202219e-27
"Mllt10",1.71012900154627e-31,-0.121085164232651,0.479,0.623,4.28267605857233e-27
"Rab30",1.78090611906536e-31,-0.00844442520265742,0.372,0.48,4.45992319397539e-27
"Strn3",2.01000039686707e-31,-0.128496822937227,0.459,0.602,5.03364399387421e-27
"Fcho2",3.29436452394425e-31,-0.03304673571572,0.273,0.375,8.25007707731359e-27
"Slc7a11",3.55656763251992e-31,-0.368293485444978,0.68,0.834,8.90671232211964e-27
"Nedd4l",4.66184764861796e-31,0.0530587840850216,0.399,0.489,1.1674665066434e-26
"Fgd6",5.8584826257239e-31,0.0265242882413024,0.428,0.527,1.46713980396004e-26
"Xpo1",7.05429660833982e-31,-0.0740346514914776,0.257,0.367,1.76660749962654e-26
"Clu",7.13944102902294e-31,-0.430315682632425,0.446,0.627,1.78793021689821e-26
"Fam196a",8.84683858703691e-31,0.34097200683932,0.345,0.35,2.21551378735165e-26
"Stag1",1.08897515116069e-30,-0.0385999870884435,0.528,0.658,2.72712047105172e-26
"Igsf11",1.85197873256007e-30,0.0639123396140546,0.356,0.44,4.63791033995018e-26
"Spire1",2.25158520683007e-30,-0.0816333846005293,0.575,0.713,5.63864483346454e-26
"Arhgap35",2.30102818100764e-30,0.0631808703404959,0.291,0.369,5.76246487369743e-26
"Arih1",2.57092601071237e-30,-0.0541220532832727,0.364,0.479,6.43837000862698e-26
"Itch",2.74347641597637e-30,-0.167437055179931,0.308,0.448,6.87048798852963e-26
"Bcan",3.08035847516839e-30,-0.223986777026625,0.528,0.692,7.71414172936421e-26
"Gnb1",3.3536174108091e-30,-0.0851151592851951,0.265,0.379,8.39846408188924e-26
"Nsd3",3.48051085621329e-30,-0.0190316888876974,0.331,0.436,8.71624333721495e-26
"Arid2",4.03899366896174e-30,-0.0179093560615216,0.222,0.315,1.01148518451809e-25
"Top1",4.16564441766623e-30,-0.154975574747344,0.305,0.436,1.04320233151615e-25
"Neo1",4.51944636669956e-30,-0.134444232008456,0.434,0.579,1.13180495361257e-25
"Acsl3",4.83959251917503e-30,-0.136926327346248,0.697,0.838,1.211979154577e-25
"Mapre2",4.86960277344498e-30,-0.00035495781841921,0.316,0.421,1.21949462255383e-25
"Leng8",6.18993758367505e-30,-0.16116228389555,0.269,0.398,1.55014606907974e-25
"Sybu",7.6541898256683e-30,-0.0320376883274731,0.563,0.689,1.91683875804211e-25
"Htra1",8.86413109364982e-30,-0.192023782223913,0.513,0.669,2.21984434978272e-25
"Spag9",1.18871751293523e-29,0.00423902150322553,0.61,0.728,2.9769052676437e-25
"Rmst",1.24948625057615e-29,-0.330524179678056,0.498,0.669,3.12908841731786e-25
"Rfx7",1.29054096836916e-29,-0.0401259082022543,0.298,0.402,3.23190174708688e-25
"Cables1",1.57708287282755e-29,0.0151805073190903,0.455,0.57,3.94948863842204e-25
"Mtss1l",1.93297058423926e-29,0.0395003059552008,0.392,0.483,4.84073823411037e-25
"Rims2",2.02609439524679e-29,-0.179330999769438,0.334,0.478,5.07394819401653e-25
"Tnrc6c",2.15200904655012e-29,-0.0705889435448566,0.355,0.475,5.38927625527547e-25
"Ckap5",2.33792433009203e-29,-0.027417591211492,0.449,0.564,5.85486389984948e-25
"Scaper",2.50483662524732e-29,-0.0380025078557422,0.402,0.515,6.27286236060685e-25
"Fam171b",2.54265762496095e-29,-0.140309574315042,0.333,0.468,6.36757749018971e-25
"Acin1",2.59889259690681e-29,-0.0212131419002681,0.316,0.416,6.50840673043373e-25
"Birc6",2.63806123260988e-29,-0.0786469563946004,0.369,0.496,6.60649674482493e-25
"Abhd18",2.88149753395107e-29,0.0257124796691732,0.292,0.381,7.21613427427366e-25
"Ogt",3.03580499444356e-29,-0.0429142834296004,0.437,0.556,7.602566447585e-25
"Parp8",3.08007009147662e-29,-0.124092418108603,0.284,0.405,7.71341953008491e-25
"Nrbp2",3.17541047338017e-29,-0.162686677022246,0.181,0.297,7.95218044848596e-25
"Ylpm1",3.21590819078692e-29,-0.185921842340263,0.214,0.337,8.05359888218767e-25
"Mbd5",3.53568911318856e-29,-0.092721476302041,0.47,0.604,8.85442624615812e-25
"Zfp207",3.67517792469703e-29,0.0122219500556406,0.221,0.301,9.20374807681876e-25
"Gsap",5.63811712637716e-29,-0.0171659783045728,0.384,0.491,1.41195367195863e-24
"Atrx",6.34956429751635e-29,0.027543403475091,0.368,0.462,1.59012138702702e-24
"S1pr1",7.43689078985962e-29,-0.0930281266676669,0.352,0.478,1.86242056050455e-24
"Setd5",8.75391686535673e-29,-0.0950686290428127,0.374,0.5,2.19224340059129e-24
"Adcy9",9.32976507845877e-29,-0.135039177633264,0.243,0.363,2.33645306859843e-24
"Arnt2",1.32871099712401e-28,0.0430515524429114,0.399,0.49,3.32749095009766e-24
"Wnk2",1.36286575675903e-28,-0.0600807543846504,0.39,0.509,3.41302471465164e-24
"5031425E22Rik",1.54525107697786e-28,-0.110884869027513,0.363,0.489,3.86977227207565e-24
"Rev1",1.54634258767005e-28,-0.0856261271794112,0.203,0.302,3.87250574230211e-24
"A830019P07Rik",1.66042542288177e-28,-0.145307021118264,0.205,0.316,4.15820338652281e-24
"4930570B17Rik",1.74507682684312e-28,-0.0466117442306668,0.369,0.483,4.37019589746323e-24
"Usp34",1.82978296216454e-28,-0.107868666046071,0.462,0.599,4.58232547214866e-24
"9330159F19Rik",1.86471208374313e-28,-0.101569106274468,0.196,0.3,4.66979847131792e-24
"Ppp1r12a",1.86475930686516e-28,-0.040327787384052,0.344,0.453,4.66991673218242e-24
"Hnrnpa3",1.87000642239789e-28,0.021962352957994,0.276,0.366,4.68305708361104e-24
"Ptch1",1.98142223504958e-28,0.108010545927401,0.41,0.486,4.96207570323467e-24
"Igsf8",2.07871801381909e-28,0.147747254092451,0.475,0.549,5.20573352200715e-24
"Gabbr1",2.12282926534035e-28,0.117591642082555,0.342,0.406,5.31620132919184e-24
"Nisch",2.36175018314431e-28,-0.0788455562642816,0.335,0.457,5.91453098364831e-24
