,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,Gene
21,2.42E-19,0.224257041,0.387,0.409,6.06E-15,4930517O19Rik
35,3.57E-13,0.128839508,0.236,0.275,8.93E-09,4930545L23Rik
32,1.25E-13,0.142292174,0.353,0.385,3.13E-09,9630028H03Rik
5,8.27E-33,0.36658476,0.732,0.751,2.07E-28,AC149090.1
7,4.84E-30,-0.136926327,0.697,0.838,1.21E-25,Acsl3
37,6.70E-12,0.127919333,0.435,0.455,1.68E-07,Akap6
18,2.72E-23,-0.135855346,0.617,0.749,6.80E-19,Appl2
6,3.08E-30,-0.223986777,0.528,0.692,7.71E-26,Bcan
38,1.33E-09,-0.062552059,0.208,0.265,3.33E-05,Chl1
30,1.02E-14,-0.185836902,0.736,0.837,2.56E-10,Dclk1
3,1.13E-176,-1.039668454,0.001,0.259,2.83E-172,Ddx3y
1,6.6974995478029e-318,-1.510624658,0,0.419,1.67725481175628e-313,Eif2s3y
40,2.75E-08,0.203697027,0.31,0.308,0.000688469,Fgf13
43,1.74E-06,0.204520379,0.904,0.919,0.043658499,Gm42418
22,1.69E-18,0.245573536,0.316,0.341,4.22E-14,Gm48765
41,2.46E-07,0.31019438,0.266,0.241,0.006164564,Gria1
8,8.86E-30,-0.192023782,0.513,0.669,2.22E-25,Htra1
16,1.04E-23,-0.233822546,0.67,0.809,2.61E-19,Kcnn2
33,1.47E-13,0.132367544,0.244,0.266,3.69E-09,Kdm5c
20,2.27E-21,0.390721262,0.256,0.208,5.68E-17,Kdm6a
25,1.93E-17,-0.074580853,0.468,0.572,4.83E-13,Lhfp
19,3.73E-22,0.312641618,0.317,0.328,9.35E-18,Lrrc4
11,1.34E-26,-0.144871365,0.595,0.735,3.36E-22,Mapk4
24,3.72E-18,-0.229320416,0.713,0.829,9.30E-14,Mertk
4,1.49E-67,-0.747645143,0.335,0.602,3.74E-63,Mid1
17,1.77E-23,0.032676165,0.191,0.253,4.42E-19,Msmo1
13,4.60E-26,-0.400043598,0.427,0.593,1.15E-21,Mt1
36,7.90E-13,-0.035231756,0.638,0.724,1.98E-08,Nhsl1
29,5.02E-15,0.159357187,0.249,0.274,1.26E-10,Pcx
31,2.39E-14,0.118717689,0.264,0.289,6.00E-10,Pdss2
26,1.19E-16,0.080885421,0.702,0.767,2.97E-12,Ppp2r2b
12,1.96E-26,-0.241904201,0.634,0.784,4.90E-22,Prkd1
42,7.94E-07,0.227106743,0.279,0.278,0.019873136,Rgs6
34,1.51E-13,0.229916496,0.313,0.324,3.79E-09,Rgs7
14,9.91E-25,0.201518484,0.384,0.423,2.48E-20,Sesn3
27,5.79E-16,-0.249664814,0.497,0.621,1.45E-11,Slco1c1
39,3.94E-09,-0.292210928,0.188,0.268,9.86E-05,Snhg11
23,1.91E-18,0.039299362,0.529,0.604,4.78E-14,Tmem47
28,6.11E-16,-0.109628205,0.673,0.781,1.53E-11,Ttyh1
10,4.27E-27,-0.375545947,0.348,0.512,1.07E-22,Usp53
2,3.99E-252,-1.339149198,0.003,0.361,1.00E-247,Uty
9,3.36E-28,0.171400503,0.495,0.55,8.43E-24,Wwc1
15,6.41E-24,-0.223849632,0.198,0.313,1.60E-19,Zbtb16
