,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,Gene
28,7.71E-06,-0.005260034,0.269,0.242,0.192988384,4930517O19Rik
24,4.64E-08,0.258813512,0.286,0.219,0.001161534,9630028H03Rik
11,1.94E-13,0.293618441,0.624,0.522,4.85E-09,AC149090.1
26,1.31E-07,-0.078888995,0.733,0.707,0.003288398,Acsl3
5,3.04E-20,-0.485358426,0.23,0.296,7.61E-16,Acss2
22,6.83E-09,0.134079002,0.301,0.241,0.000171082,Akap6
21,1.28E-09,-0.160566318,0.605,0.613,3.20E-05,Appl2
14,6.79E-12,-0.177601165,0.535,0.542,1.70E-07,Bcan
10,1.07E-15,-0.267866982,0.706,0.728,2.69E-11,Dclk1
1,2.14E-49,0.374464741,0.963,0.881,5.35E-45,Gm42418
7,4.06E-17,-0.285797206,0.52,0.553,1.02E-12,Htra1
3,9.88E-22,-0.298581882,0.696,0.731,2.47E-17,Kcnn2
25,1.01E-07,-0.13849279,0.592,0.597,0.002529965,Lhfp
16,9.80E-11,0.193039862,0.256,0.19,2.46E-06,Lrrc4
18,4.03E-10,-0.148342061,0.607,0.599,1.01E-05,Mapk4
23,4.28E-08,-0.154244892,0.71,0.721,0.001072619,Mertk
2,5.99E-34,-0.595358144,0.279,0.367,1.50E-29,Mid1
6,1.28E-17,-0.348233518,0.423,0.463,3.22E-13,Mt1
27,5.27E-06,0.00946377,0.672,0.626,0.131999434,Nhsl1
12,1.96E-13,-0.158455288,0.705,0.689,4.91E-09,Ppp2r2b
17,2.31E-10,-0.056296675,0.656,0.613,5.78E-06,Prkd1
4,1.51E-20,0.554802639,0.283,0.173,3.78E-16,Rgs6
19,7.33E-10,0.266623029,0.259,0.187,1.84E-05,Rgs7
13,7.53E-13,0.244904687,0.31,0.227,1.89E-08,Sesn3
29,2.53E-05,-0.144624779,0.504,0.516,0.634232203,Slco1c1
20,1.15E-09,0.067908924,0.392,0.332,2.88E-05,Tmem47
9,1.29E-16,-0.192609524,0.67,0.661,3.24E-12,Ttyh1
30,0.003484187,-0.077135185,0.364,0.378,1,Usp53
15,2.14E-11,0.190931161,0.407,0.323,5.36E-07,Wwc1
8,4.94E-17,-0.410675492,0.269,0.331,1.24E-12,Zbtb16
