"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Lhfp",5.27400502221204e-153,-0.851939690743458,0.572,0.597,1.32076907771256e-148
"Fgd6",9.16223391800562e-143,-0.129822696072487,0.527,0.355,2.29449824008615e-138
"Mtss1l",3.26885167988278e-141,0.129061576569399,0.483,0.258,8.18618526193045e-137
"Npepps",6.11642509586128e-140,0.0423654315760058,0.509,0.292,1.53173633675654e-135
"Asrgl1",1.011248319871e-139,0.0957364072011146,0.587,0.349,2.53246916745295e-135
"Ogt",2.23036419281247e-139,0.211358878315077,0.556,0.297,5.58550104806027e-135
"Arnt2",1.40094989768911e-138,-0.0494951688049607,0.49,0.301,3.50839882878283e-134
"Acaca",1.69087594472909e-138,-0.454461178739673,0.462,0.383,4.23446062838507e-134
"Neo1",3.65954948796712e-137,-0.0127227336067848,0.579,0.367,9.16460978271605e-133
"Rbm26",3.8505624640529e-137,-0.0309872031865317,0.569,0.36,9.64296357872767e-133
"Slc6a1",4.09426836569021e-137,-0.0814824519271942,0.576,0.382,1.0253276268198e-132
"Strn3",3.07964101663345e-136,0.0749313179080766,0.602,0.365,7.71234499795514e-132
"Bach2",1.40863106073203e-135,0.104889491402332,0.605,0.359,3.52763476539121e-131
"Huwe1",3.77238411811944e-135,0.0498976654946726,0.522,0.304,9.44718154700653e-131
"Gramd3",2.49641040023048e-134,0.0855037526572147,0.524,0.3,6.25176056529719e-130
"Ston2",7.25739460948098e-134,0.0789055519143174,0.519,0.297,1.81746933205232e-129
"Ckap5",1.22804201309525e-133,0.154093342143947,0.564,0.321,3.07538561339443e-129
"Pygb",1.47769087529688e-133,0.0180991102128751,0.6,0.377,3.70058125900596e-129
"Fgfr3",8.6460505761607e-133,-0.140696097217079,0.505,0.345,2.16523044578792e-128
"AI314180",1.89040263393848e-132,0.0650909325914057,0.423,0.227,4.73413531617214e-128
"Mycbp2",1.94311032279084e-132,-0.00171619995709182,0.656,0.426,4.8661311813651e-128
"Mllt10",3.86161020251265e-132,0.00531521005154367,0.623,0.402,9.67063043015244e-128
"Itch",5.04799879940687e-132,0.123445417961365,0.448,0.239,1.26417033933546e-127
"Pan3",6.99464681625566e-132,0.164662966591431,0.506,0.271,1.75166940219491e-127
"Tra2a",7.82806314467784e-132,0.268476009198356,0.587,0.318,1.96038185332167e-127
"Ivd",1.54738392591807e-131,0.208696445389346,0.478,0.245,3.87511356567663e-127
"Nipbl",2.71849951269612e-131,-0.055385759158173,0.57,0.376,6.80793832964489e-127
"Setd5",2.83623706166066e-131,0.0142473309538096,0.5,0.297,7.10278847351679e-127
"Birc6",4.41732377330802e-131,0.0655112679302092,0.496,0.284,1.10623039254953e-126
"Tcf12",5.94173115016507e-131,0.0515679873247552,0.599,0.373,1.48798773193584e-126
"Zfp638",8.42768320737153e-131,0.0579662660074975,0.473,0.267,2.11054470562205e-126
"Ncor1",9.53765654943946e-131,0.0489627036514446,0.58,0.358,2.38851532967612e-126
"Eif4g3",8.34895060322925e-130,0.0876147752158933,0.496,0.282,2.0908276995667e-125
"Rab30",9.43001792515629e-130,0.0823478833108029,0.48,0.268,2.36155938899689e-125
"Ralgapa1",1.45518908296088e-129,0.0900277406688141,0.569,0.343,3.64423002045892e-125
"Fto",3.16630632980946e-129,0.0433445438438034,0.522,0.312,7.92938094174182e-125
"Daam1",4.25290874258629e-129,0.0480338786686403,0.542,0.33,1.06505593640588e-124
"Cyp2d22",4.75073885910455e-129,0.143369338271479,0.428,0.218,1.18972753248555e-124
"Trip12",5.52146142917122e-129,0.0719203734258793,0.484,0.276,1.38273958570735e-124
"Itpr2",6.74977466034766e-129,0.120493795899142,0.59,0.353,1.69034606819086e-124
"Phactr3",8.48916422247267e-129,-0.273779439963251,0.617,0.479,2.12594139623383e-124
"Acsbg1",9.89665423594521e-129,0.00360805139994902,0.556,0.352,2.47841912030776e-124
"Tmem243",1.27209086583735e-128,0.0459793610699544,0.529,0.321,3.18569715531648e-124
"Osbpl9",1.87241099211996e-128,-0.1202232230283,0.492,0.325,4.689078847566e-124
"Pias1",2.10605714198234e-128,-0.0229252085215881,0.487,0.298,5.27419890066637e-124
"Ubr3",2.16212501954397e-128,0.0175263286281082,0.428,0.241,5.41460968644397e-124
"Cux1",3.67337166567622e-128,0.109688569748527,0.404,0.21,9.19922466235295e-124
"Ppp1r12a",4.25364667315724e-128,0.055113733947588,0.453,0.258,1.06524073635877e-123
"Ubr5",5.48583666976466e-128,0.0315295822072645,0.54,0.336,1.37381807720916e-123
"Mark3",1.22773670522261e-127,0.0076135612364181,0.54,0.335,3.07462103088899e-123
"Usp34",1.62404100852971e-127,0.038207835773751,0.599,0.383,4.06708589766095e-123
"Igsf8",2.30884425800651e-127,-0.0352368384387278,0.549,0.357,5.7820386753257e-123
"Nedd4",2.68929035362405e-127,0.0996463735000752,0.586,0.357,6.73478983258072e-123
"Pard3",3.25918401261303e-127,0.131266508677898,0.541,0.312,8.16197452278681e-123
"Hipk2",6.67826538985486e-127,-0.271297361365175,0.52,0.386,1.67243800158135e-122
"Sf3b1",7.09245114805606e-127,0.0658197294833667,0.401,0.215,1.77616254100768e-122
"Fam171b",7.11836196161186e-127,-0.0578961286112374,0.468,0.285,1.78265138604646e-122
"Ankrd11",7.88936972218369e-127,0.155490450694358,0.596,0.355,1.97573485952646e-122
"Mical2",8.04261509100434e-127,-0.161925564241665,0.552,0.388,2.01411209724022e-122
"Plcd4",1.05144523172917e-126,0.142606342311411,0.499,0.279,2.63313429381936e-122
"Tsc22d4",1.18564206126743e-126,-0.0384943752371203,0.462,0.285,2.96920341403203e-122
"Spag9",1.61491759964852e-126,-0.0410244889008928,0.728,0.509,4.04423814479978e-122
"Gsk3b",1.76444834787431e-126,-0.158849849087147,0.499,0.344,4.41870799758164e-122
"Prdm16",1.90141235005646e-126,0.0394936041463518,0.597,0.372,4.76170694824638e-122
"Wapl",2.41958764877149e-126,0.166105787497746,0.402,0.194,6.05937334881845e-122
"Cuedc1",2.50821829340767e-126,-0.0794367404887768,0.418,0.258,6.28133107218083e-122
"Mbnl1",3.24550203812665e-126,0.0353857796860739,0.456,0.259,8.12771075408057e-122
"Slc27a1",3.58856743351566e-126,0.0758575071769774,0.617,0.387,8.98684942375327e-122
"Bmpr1a",6.38943501815568e-126,-0.0284642275837586,0.49,0.302,1.60010621159673e-121
"Acin1",8.39743413888643e-126,0.112175758243996,0.416,0.217,2.10296943140133e-121
"Tom1l2",8.44710934707772e-126,0.193866739003464,0.551,0.306,2.11540959378867e-121
"Wnk1",1.03201348227245e-125,0.0997145654940776,0.49,0.277,2.58447136365491e-121
"Vwa8",1.16858921952845e-125,0.168217714755814,0.476,0.256,2.92649798246511e-121
"Wasf3",1.25855495120419e-125,0.0653978180284231,0.584,0.363,3.15179916430064e-121
"Ash1l",1.50726091120334e-125,-0.043259851703161,0.542,0.353,3.77463349992652e-121
"Atxn7",1.83074880759535e-125,0.0701799831552796,0.426,0.231,4.58474423886105e-121
"Mbnl2",1.94813729400053e-125,0.0876843973360191,0.574,0.346,4.87872022536553e-121
"Abi1",2.15019337979652e-125,-0.0603225179484443,0.605,0.411,5.38472928102443e-121
"Zmym4",2.3836096374748e-125,-0.00564441317170616,0.448,0.26,5.96927361512815e-121
"R3hdm2",2.79444327851514e-125,-0.00209401581718449,0.393,0.219,6.99812430238547e-121
"1110051M20Rik",3.09951640427736e-125,0.176342574822656,0.55,0.309,7.7621189312318e-121
"5031425E22Rik",4.55216023332589e-125,0.0796511805265518,0.489,0.283,1.1399974872318e-120
"Zfp950",4.72299635214304e-125,0.0830643537012881,0.496,0.283,1.18277997646718e-120
"CT025619.1",7.51301053830695e-125,-0.0613325995510428,0.566,0.38,1.88148322910821e-120
"Phkb",7.75470517108893e-125,0.151155455554396,0.558,0.323,1.9420108159958e-120
"Nedd4l",1.00282702201183e-124,-0.146841360638517,0.489,0.332,2.51137971122423e-120
"Carmil1",1.05841105461241e-124,-0.0680212970352119,0.544,0.356,2.65057880406586e-120
"Akap8l",1.18610227930023e-124,0.115892549450451,0.493,0.276,2.97035593805157e-120
"Fgfr1",1.19737804649338e-124,0.0922787096608575,0.617,0.381,2.99859384183338e-120
"Pdlim5",1.51970492749061e-124,0.0788132691569967,0.531,0.318,3.80579704991474e-120
"Chd6",1.69925718094105e-124,0.0912095519002165,0.497,0.288,4.25544975823068e-120
