,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,Gene
27,1.98E-83,0.09816416,0.409,0.242,4.97E-79,4930517O19Rik
31,3.04E-72,0.514185186,0.275,0.101,7.61E-68,4930545L23Rik
37,2.07E-55,0.306990046,0.385,0.219,5.20E-51,9630028H03Rik
15,4.70E-99,0.073561045,0.751,0.522,1.18E-94,AC149090.1
20,7.53E-93,-0.230519083,0.838,0.707,1.89E-88,Acsl3
5,6.45E-113,-0.938085498,0.243,0.296,1.62E-108,Acss2
25,1.32E-84,0.316470866,0.455,0.241,3.31E-80,Akap6
11,3.36E-106,-0.238330271,0.749,0.613,8.41E-102,Appl2
13,2.11E-101,-0.156830553,0.692,0.542,5.29E-97,Bcan
35,5.10E-59,0.540258015,0.265,0.099,1.28E-54,Chl1
36,8.36E-59,-0.197212578,0.837,0.728,2.09E-54,Dclk1
28,2.04E-81,0.147431935,0.259,0.122,5.11E-77,Ddx3y
4,2.38E-114,0.143850116,0.419,0.223,5.97E-110,Eif2s3y
42,5.35E-35,0.126304607,0.308,0.203,1.34E-30,Fgf13
40,8.73E-48,-0.585876805,0.919,0.881,2.19E-43,Gm42418
33,5.56E-68,0.057169704,0.341,0.206,1.39E-63,Gm48765
6,6.45E-112,-0.31676332,0.669,0.553,1.62E-107,Htra1
21,7.84E-91,-0.401059058,0.809,0.731,1.96E-86,Kcnn2
24,1.36E-87,0.178133107,0.266,0.121,3.40E-83,Kdm5c
1,5.27E-153,-0.851939691,0.572,0.597,1.32E-148,Lhfp
29,7.35E-80,0.029476663,0.328,0.19,1.84E-75,Lrrc4
14,1.27E-100,-0.251461442,0.735,0.599,3.18E-96,Mapk4
38,1.51E-53,-0.15408132,0.829,0.721,3.77E-49,Mertk
8,2.02E-109,0.157785827,0.602,0.367,5.07E-105,Mid1
17,3.74E-94,-0.544941433,0.253,0.237,9.36E-90,Msmo1
34,2.71E-66,-0.116966017,0.593,0.463,6.78E-62,Mt1
32,4.62E-71,-0.264601739,0.724,0.626,1.16E-66,Nhsl1
26,1.70E-84,0.138506965,0.274,0.131,4.26E-80,Pcx
23,4.57E-88,0.180638065,0.289,0.132,1.14E-83,Pdss2
19,2.75E-93,-0.41194005,0.767,0.689,6.90E-89,Ppp2r2b
12,1.35E-102,-0.142560423,0.784,0.613,3.38E-98,Prkd1
41,2.10E-39,0.089803221,0.278,0.173,5.27E-35,Rgs6
39,4.06E-52,0.146171797,0.324,0.187,1.02E-47,Rgs7
10,1.50E-106,0.175081679,0.423,0.227,3.76E-102,Sesn3
30,3.50E-79,-0.272002155,0.621,0.516,8.76E-75,Slco1c1
18,6.13E-94,0.586704428,0.268,0.059,1.54E-89,Snhg11
3,1.19E-114,0.345365286,0.604,0.332,2.98E-110,Tmem47
22,1.28E-89,-0.253148506,0.781,0.661,3.20E-85,Ttyh1
16,3.00E-96,-0.176879325,0.512,0.378,7.50E-92,Usp53
7,3.11E-111,0.022597484,0.361,0.199,7.79E-107,Uty
9,1.96E-108,0.177102903,0.55,0.323,4.90E-104,Wwc1
2,2.08E-122,-0.761938509,0.313,0.331,5.21E-118,Zbtb16
