"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Xist",3.50684949013055e-40,-0.883472779837618,0.323,0.533,8.78220317813393e-36
"Mecom",2.6243388000854e-30,-0.909010178294865,0.533,0.659,6.57213165705387e-26
"Plp1",2.57556044419842e-24,-1.94861825820777,0.041,0.134,6.4499760204061e-20
"Pde4b",8.97995755978915e-21,-1.2772078451126,0.127,0.241,2.248850771698e-16
"Gas7",3.4776982190756e-19,-0.584443342425733,0.432,0.558,8.70919965003103e-15
"3300002A11Rik",4.46487270881443e-19,1.20856143242184,0.199,0.093,1.1181380724684e-14
"Tmem212",1.35210470597971e-18,1.26870121027791,0.164,0.068,3.386075815185e-14
"Dnah12",1.75895314006144e-18,0.953390772566161,0.197,0.093,4.40494634865586e-14
"Lmntd1",3.84639116038262e-18,1.57648521356736,0.129,0.046,9.63251738294619e-14
"Frmpd2",7.09619521192751e-18,1.38342499794851,0.136,0.05,1.77710016692301e-13
"Ankfn1",1.32432585808009e-17,1.27082442066003,0.191,0.097,3.31650924638997e-13
"Nhs",1.63161762341584e-17,-1.68872160323916,0.12,0.189,4.08606001432028e-13
"Snhg11",7.28909757924621e-17,-0.64066145649276,0.161,0.275,1.82540870677063e-12
"Sulf1",9.60077849805051e-17,-0.414348710327223,0.713,0.791,2.40432295926679e-12
"Slc38a1",1.43221193169925e-16,0.946626314242555,0.384,0.286,3.58668834055444e-12
"Por",1.49321326388376e-16,-1.2483390508292,0.24,0.313,3.73945397674411e-12
"Galm",1.92521343234638e-16,-1.3783006679092,0.094,0.143,4.82131199862504e-12
"Gm13481",2.71636680117027e-16,1.3939327719528,0.152,0.068,6.80259738017072e-12
"Unc13b",6.58985165761903e-16,-0.6380956675158,0.36,0.459,1.65029655061753e-11
"Adamts20",6.64754524758748e-16,1.00025921020294,0.171,0.08,1.66474475635333e-11
"Npas3",8.88160375552096e-16,0.963303140132756,0.403,0.309,2.22422002849511e-11
"Stxbp6",9.14845114909667e-16,-0.917335156328471,0.233,0.331,2.29104662126828e-11
"Nnat",1.13672759359384e-15,1.53377854491559,0.206,0.117,2.84670691263706e-11
"Otx2os1",1.70705802010573e-15,-0.32083803388144,0.754,0.847,4.27498539975078e-11
"Syne1",6.07410862435534e-15,0.583088638735393,0.78,0.712,1.52113902279731e-10
"Cryl1",9.13246973101244e-15,-1.94678055089764,0.047,0.101,2.28704439473745e-10
"Dnah5",1.2955101887013e-14,1.304624146634,0.112,0.042,3.24434616556468e-10
"Fmnl2",1.92014224297892e-14,-0.433596969455177,0.619,0.716,4.80861221909211e-10
"Car10",2.14161854051773e-14,-0.496704680805079,0.524,0.611,5.36325531101855e-10
"Lima1",4.07561432478384e-14,-1.50163191414069,0.069,0.126,1.02065609535562e-09
"mt-Nd5",9.06423079487266e-14,0.966581183718763,0.196,0.105,2.26995531795996e-09
"Pip5k1b",4.38508897162269e-13,-0.325033332606164,0.725,0.775,1.09815783116347e-08
"Dnah10",5.65823295962949e-13,1.34141204998606,0.107,0.042,1.41699128008001e-08
"Arhgap28",5.99732763933738e-13,-0.659319349187161,0.261,0.365,1.50191076071926e-08
"Phactr2",6.30671534753805e-13,-0.435629032214734,0.51,0.611,1.57939072448395e-08
"Stk39",6.39415123429507e-13,-0.292127608024192,0.775,0.83,1.60128729360451e-08
"Dlgap1",1.12208818597811e-12,-0.322782735553103,0.716,0.777,2.81004544414498e-08
"Ggt7",1.19144448040704e-12,-1.3353061343177,0.099,0.129,2.98373441228334e-08
"1700007G11Rik",1.41863642390723e-12,0.791988793945524,0.312,0.235,3.55269119639087e-08
"Ak7",1.81500704050466e-12,0.876658906532382,0.271,0.18,4.54532213153581e-08
"Tshz2",2.08100009983122e-12,-1.40495105668686,0.099,0.158,5.21144855000733e-08
"Pla2g7",2.35116498906381e-12,1.48145191160385,0.11,0.046,5.88802248211249e-08
"Cfap54",4.27199986891514e-12,0.557186026415396,0.554,0.453,1.06983692717242e-07
"Dab2",4.7959358098201e-12,-0.544749830891144,0.348,0.439,1.20104620485325e-07
"Rbm47",5.17778984220311e-12,-0.298967473008196,0.702,0.79,1.29667391018292e-07
"Arhgap21",6.33430116540034e-12,0.81395501345234,0.334,0.273,1.58629904085121e-07
"Unc5cl",1.30232934115755e-11,1.05198964228705,0.12,0.054,3.26142336906086e-07
"Gm35188",1.3597841636853e-11,0.457857087416033,0.676,0.613,3.40530748111711e-07
"Auts2",1.64152236170623e-11,-1.57627206245856,0.127,0.189,4.1108644504209e-07
"Fmn2",1.88504998718244e-11,0.978547405893765,0.212,0.156,4.72073068290098e-07
"Sh3d19",3.0451631784235e-11,-0.252922141186808,0.758,0.824,7.62600214772596e-07
"Gm973",3.13642883876289e-11,0.874699884818355,0.24,0.164,7.85455874091391e-07
"Ralgapa2",3.69779537799886e-11,-0.595276694662019,0.335,0.406,9.26038896512256e-07
"Lrrc9",3.97296843633164e-11,1.00390587570832,0.142,0.071,9.94950485510532e-07
"Nxn",4.87679924294022e-11,-0.338963174154443,0.665,0.73,1.22129683440952e-06
"Dync1i1",5.49678060752351e-11,0.858625369897934,0.195,0.113,1.37655876754211e-06
"Arl15",5.63560946099349e-11,-0.586058191549289,0.301,0.367,1.4113256773166e-06
"Wdr49",5.76683942833532e-11,0.942791361751076,0.132,0.065,1.44418959803801e-06
"Sox6",5.87545814849328e-11,0.825027327162982,0.3,0.216,1.47139098412717e-06
"Psd2",6.45231557522358e-11,-0.482202650565604,0.38,0.469,1.61585338950324e-06
"Xkr4",6.83452681104727e-11,-1.73710345980475,0.061,0.114,1.71157054929057e-06
"Apoe",7.67008494466407e-11,0.439004784739431,0.662,0.565,1.92081937269222e-06
"Adgb",8.36343607557883e-11,1.2250581995288,0.113,0.051,2.09445529640721e-06
"mt-Atp6",8.83496058484225e-11,0.562936983981441,0.445,0.339,2.21253917926204e-06
"Dlg2",9.31880994921412e-11,-0.694471285391124,0.281,0.355,2.33370957558169e-06
"Pcdh7",1.03825842839819e-10,-0.516800483670487,0.432,0.511,2.60011058223759e-06
"Ccbe1",1.16407719121467e-10,-0.4577674548109,0.473,0.567,2.9151985099589e-06
"Sdk1",1.32151407717773e-10,-0.910822650829123,0.344,0.42,3.3094677034762e-06
"Tenm2",1.33444789137288e-10,-0.955797416887044,0.211,0.273,3.34185785436511e-06
"mt-Co3",1.67313023551366e-10,0.494710179889379,0.491,0.385,4.19002004879687e-06
"Mapk10",1.74764707716594e-10,0.897835982649037,0.23,0.159,4.37663257534665e-06
"Col8a1",1.90525935404367e-10,-0.36279915570083,0.639,0.715,4.77134100033157e-06
"Gmnc",1.94942599962638e-10,-0.308157144655794,0.669,0.709,4.88194753086436e-06
"Ankub1",1.95372939787299e-10,1.29652999490211,0.101,0.044,4.89272453109334e-06
"Lrrc36",1.99470291217811e-10,0.841344496907324,0.121,0.059,4.99533450296764e-06
"mt-Co2",2.69433487703428e-10,0.452263970120718,0.42,0.314,6.74742283255694e-06
"Magi1",3.00545827293244e-10,-0.377420109796617,0.689,0.731,7.52656915290471e-06
"Prkg1",3.15080532054418e-10,-1.98891203997357,0.086,0.115,7.8905617642388e-06
"Itga9",3.63737415117269e-10,-1.27458811990186,0.144,0.193,9.10907608678178e-06
"Unc13c",4.61270238889468e-10,0.96097337944812,0.12,0.058,1.1551590592509e-05
"Baiap2l1",5.01044054836273e-10,-0.411966094876206,0.402,0.501,1.25476462652648e-05
"Gm16168",1.2097934806532e-09,0.454680009101619,0.552,0.473,3.02968581359982e-05
"Ttr",1.30482392217822e-09,0.378265594664927,0.78,0.817,3.26767054831091e-05
"Ttll8",1.43888088248493e-09,0.903076963897203,0.102,0.048,3.60338939400701e-05
"Elmod1",1.54184056673747e-09,1.12082096277936,0.14,0.08,3.86123133128064e-05
"Rgs22",2.1159363394151e-09,0.756423122194738,0.192,0.118,5.29893937479722e-05
"Myo6",2.59804853134546e-09,-0.688809676555832,0.236,0.29,6.50629293704844e-05
"Tmem232",3.1032330437516e-09,0.869523177719276,0.2,0.127,7.77142651146712e-05
"Ank3",3.24999356197093e-09,-0.653532380804137,0.366,0.44,8.1389588772438e-05
"Rmst",3.30071258164453e-09,0.460851018092394,0.615,0.534,8.2659745182124e-05
"Kif6",3.45834713984077e-09,0.797281017182345,0.234,0.168,8.66073874230325e-05
"Ttc28",4.48392352056514e-09,0.75531406279454,0.295,0.239,0.000112290896725513
"Tmem47",6.20043309165376e-09,0.838300614304991,0.224,0.16,0.000155277445914285
"Epha5",6.30473541393899e-09,-1.39537114527842,0.051,0.101,0.000157889488971274
"Ror1",6.42947774828621e-09,-0.330591553467835,0.55,0.628,0.000161013411250332
"Nrxn3",7.10171659790756e-09,0.949568022163903,0.185,0.177,0.000177848288761399
"Glis3",7.7645562787746e-09,-0.25951438967849,0.831,0.844,0.000194447782889352
"mt-Cytb",8.73639800468338e-09,0.477119945208593,0.378,0.284,0.000218785615231286
"Grip1",8.90025631727888e-09,-1.31100727960787,0.148,0.165,0.000222889118953615
"Cacna1d",8.9217244451468e-09,0.630574442194851,0.315,0.241,0.000223426745279811
"Bmpr1b",8.99312516949012e-09,-0.847601083379742,0.138,0.191,0.000225214833619541
"2210408I21Rik",9.18686618780856e-09,0.518151788875894,0.484,0.401,0.00023006668994129
"Epas1",1.00017394367538e-08,-0.93012529291244,0.207,0.238,0.000250473560714627
"Gm26883",1.04592500561125e-08,-1.20314517381958,0.089,0.139,0.000261930999155224
"Spag17",1.08589247533845e-08,0.753681488655729,0.149,0.084,0.000271940052599008
"Ppil6",1.08982068409847e-08,0.828333795414006,0.252,0.182,0.000272923793918779
"Ddo",1.3586401677952e-08,0.590118672368507,0.325,0.243,0.000340244257220951
"mt-Co1",1.43258834506817e-08,0.518525912652583,0.462,0.373,0.000358763099255422
"Slc35f1",1.48373980421676e-08,-0.724133519334016,0.298,0.381,0.000371572959170003
"Zfpm2",1.51578272594975e-08,0.997842787400101,0.14,0.084,0.000379597468059595
"Cfap43",1.62645827677116e-08,0.586557729308105,0.367,0.296,0.000407313946251802
"Gm16702",1.67064180172603e-08,0.915026626466444,0.101,0.049,0.000418378826406251
"Pde1c",1.73999197365396e-08,-1.63742993445478,0.1,0.125,0.00043574618996216
"Pdzrn3",1.95542854425262e-08,-0.371566756530735,0.508,0.584,0.000489697970337184
"Gm49156",2.48756346704239e-08,-0.462796521421611,0.291,0.376,0.000622960519051425
"Nyap2",2.71616860913458e-08,-0.827213719633539,0.139,0.198,0.000680210104785573
"C230072F16Rik",2.89429957677161e-08,0.583962013747,0.388,0.316,0.000724819443010913
"App",4.20694936558725e-08,-0.33650351883674,0.548,0.609,0.00105354632962401
"Fras1",4.49339110941746e-08,-0.259290290659739,0.684,0.752,0.00112527993553141
"Ypel2",5.07387493879961e-08,-0.664144367076329,0.132,0.198,0.00127065050092359
"Kctd1",5.26626652075883e-08,0.61913637249175,0.295,0.224,0.00131883112479363
"Hydin",5.5643176162355e-08,0.660490048380421,0.297,0.23,0.00139347206063386
"Slc1a3",6.06235496555306e-08,1.00037292226601,0.114,0.062,0.00151819555402345
"Luc7l2",6.74905639833795e-08,-0.316850995931402,0.624,0.668,0.00169016619383577
"Prickle2",1.01915665185693e-07,0.869280801886101,0.168,0.111,0.0025522740032453
"A830018L16Rik",1.12032561045481e-07,-0.535979124433502,0.277,0.335,0.00280563142626198
"Slc9a9",1.24091834039602e-07,-0.863944750083925,0.107,0.141,0.00310763179985375
"Gm16083",1.3299523507375e-07,0.889715960186494,0.184,0.131,0.00333059967195192
"Nrg1",1.51993749584782e-07,0.867761820632662,0.173,0.117,0.00380637947085169
"Car14",1.55136516746511e-07,0.530790296030799,0.331,0.256,0.00388508378888288
"Dnah11",1.80437872087663e-07,0.510475840237218,0.432,0.391,0.00451870563069135
"4930444A19Rik",1.82379504895713e-07,0.942208919715273,0.174,0.117,0.00456732994110333
"Ccdc146",2.07000681850754e-07,0.545634989211082,0.327,0.259,0.00518391807558842
"Uty",2.22578876703158e-07,0.535434327209358,0.299,0.237,0.00557404280927719
"Sil1",2.38475334092755e-07,-0.445889306636448,0.288,0.351,0.00597213779168487
"Pip4k2a",3.18218426653506e-07,-1.31576995238722,0.064,0.105,0.00796914405868376
"Phkg1",3.43039007541899e-07,0.843065361887637,0.108,0.058,0.00859072586587178
"Ptprg",3.6194038847691e-07,-0.326853289171456,0.495,0.544,0.00906407314862725
"Arhgef4",3.92195118337549e-07,0.856204542597848,0.13,0.077,0.00982174234852725
"Lrrc4c",4.16071203290136e-07,-0.970162969300672,0.093,0.143,0.0104196711439949
"Cfap61",4.45396750646726e-07,0.555434364509648,0.359,0.301,0.011154070826446
"Gm14964",4.49881878279321e-07,0.383854461774757,0.409,0.323,0.011266391877749
"Cacna1a",5.43942659798177e-07,1.05295930105052,0.137,0.093,0.0136219560293257
"Prelp",5.65937268039878e-07,0.671966452005246,0.107,0.06,0.0141727670035227
"Abca4",6.39498651689246e-07,-0.395103067599027,0.364,0.42,0.0160149647342538
"Gm13832",6.66819340744813e-07,-0.801801945885704,0.089,0.141,0.0166991567502724
"Ttll6",6.6876687480629e-07,0.958020240468012,0.121,0.071,0.0167479288457739
"Bicc1",7.03261435423682e-07,0.669211865986677,0.238,0.194,0.0176117761273153
"Csmd1",9.2266261147157e-07,0.34262249692611,0.289,0.227,0.0231062397790825
"Dnah9",9.41949778267877e-07,0.402403509257617,0.552,0.504,0.0235892482971624
"Zfhx3",9.51917727760988e-07,-0.599311166631568,0.229,0.271,0.0238388756563184
"Gm26848",9.60496858035615e-07,-0.302528383850343,0.492,0.562,0.0240537228157859
"Shtn1",1.07528376814413e-06,-0.436061953387341,0.272,0.34,0.0269283314056335
"Myo5c",1.09040564769032e-06,-0.505055730874688,0.157,0.178,0.0273070286351087
"Gm867",1.20946407856827e-06,0.906868119547773,0.112,0.066,0.0302886089195853
"Csmd3",1.23468825292549e-06,0.750251337945735,0.218,0.163,0.030920297918013
"Leng9",1.28845046823676e-06,0.501478514376977,0.308,0.239,0.0322666650760533
"Wdr66",1.31016716841564e-06,0.855299893080756,0.124,0.077,0.0328105163986329
"Armc4",1.4733987337073e-06,0.619435719467956,0.225,0.183,0.0368983244882319
"Ammecr1",1.4935885001931e-06,-0.506669446080683,0.225,0.292,0.0374039368103358
"Cacnb2",1.68171746711528e-06,0.602578921007886,0.356,0.313,0.0421152505289679
"Cfap46",1.81252314441875e-06,0.872930809781886,0.122,0.072,0.0453910171056787
"Eif2s3y",1.92739972081794e-06,0.615611871079197,0.202,0.144,0.0482678712084438
"Airn",2.02867547891088e-06,-0.552413665605703,0.285,0.345,0.0508041200183652
"A2m",2.04798504777436e-06,-0.279463340123381,0.102,0.092,0.0512876895514133
"Hacd1",2.38241891698552e-06,-1.23435597194778,0.117,0.138,0.0596629169380684
"Zbbx",2.48636663843965e-06,0.551111275340594,0.28,0.246,0.0622660797264442
"Tmem132a",2.51983868398184e-06,-0.518186871084009,0.16,0.223,0.0631043201629571
"Hlf",2.52858583783235e-06,-0.617561433739217,0.139,0.151,0.0633233751368355
"Fap",2.65367055331375e-06,-0.35960624819058,0.514,0.573,0.0664558716666362
"Cpe",2.6572855781555e-06,0.785684570817808,0.182,0.136,0.0665464027337482
