"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Tsix",0,1.11734386065439,0.369,0.263,0
"Cmss1",5.99223179976322e-168,-0.282093609941007,0.611,0.661,1.5006346096147e-163
"Gm47283",2.77701064848592e-87,-0.458408747888955,0.171,0.206,6.95446776700329e-83
"Eif2s3y",1.22750824196081e-61,-0.321346935280919,0.209,0.236,3.07404889034245e-57
"Hspa5",5.77004797518677e-55,-0.308170064389816,0.143,0.154,1.44499311442602e-50
"Scd2",3.90633266257299e-52,-0.363870799941948,0.182,0.208,9.78262888688155e-48
"Tmsb4x",6.15340460860341e-46,-0.280363730837077,0.246,0.26,1.54099711613255e-41
"Cd81",9.82514129644934e-42,-0.461991071879412,0.108,0.133,2.46051013486981e-37
"9530026P05Rik",1.78111154737364e-39,0.268177024240368,0.221,0.189,4.4604376480878e-35
"Calr",3.76688379687055e-37,-0.315948822111884,0.122,0.133,9.43340709250291e-33
"mt-Nd2",2.71964351438297e-33,-0.386389883459079,0.206,0.214,6.81080325306928e-29
"Rgs6",4.22335803863584e-29,-0.309902353153473,0.184,0.198,1.05765555361557e-24
"Ubb",3.60604319393916e-27,-0.26652766732546,0.131,0.139,9.03061397058184e-23
"Gm44129",5.18559824674851e-26,0.262433279206864,0.105,0.086,1.29862936893323e-21
"Gm10600",4.59130258518527e-19,-0.277234158655691,0.091,0.107,1.14979990640795e-14
"Fth1",8.12683861522366e-19,-0.276830253655716,0.253,0.269,2.03520419441046e-14
"mt-Co1",1.89247135391666e-18,-0.254151719214067,0.242,0.257,4.7393160116135e-14
"Fhod3",2.13624833135082e-18,-0.277227605586705,0.104,0.113,5.34980669620186e-14
"Tox3",2.20470387737288e-18,0.288929342978618,0.101,0.087,5.52123992010491e-14
"Haghl",1.37958742805251e-16,-0.253750641257144,0.117,0.128,3.4549007960719e-12
"mt-Nd3",3.79258714212646e-15,-0.29292712486249,0.102,0.109,9.49777598002729e-11
