"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Tsix",2.93912946980849e-76,1.03738044710699,0.285,0.198,7.3604619312414e-72
"Cst3",1.76100416330202e-23,-0.944024540175067,0.073,0.119,4.41008272615726e-19
"Fth1",5.03196398324851e-19,-0.827728695151193,0.121,0.166,1.26015474032492e-14
"Slc8a1",8.38060712594401e-19,-0.285872011325837,0.723,0.73,2.09875544255016e-14
"2810049E08Rik",2.42249012329918e-18,0.442356667954657,0.207,0.154,6.06664201577814e-14
"Ric8b",4.59844182631898e-18,-0.481770091143833,0.358,0.344,1.15158778656506e-13
"Gnal",3.5456351376463e-17,-0.42214945702935,0.469,0.46,8.87933407520763e-13
"Hspa5",1.17719947080145e-15,-0.351049816832024,0.186,0.196,2.94806063472808e-11
"Hspa8",3.69459272086753e-15,-0.367046945195549,0.187,0.19,9.25236855086855e-11
"Aplp1",2.13962421677085e-13,-0.361006623954061,0.27,0.289,5.35826092605923e-09
"Atp1a1",1.00401043212339e-12,-0.299345386685145,0.238,0.237,2.51434332516659e-08
"Pde1c",1.1914948152892e-12,-0.995495691652695,0.226,0.229,2.98386046592874e-08
"Cep250",1.50206968939612e-12,-0.305385577578321,0.197,0.188,3.76163312315471e-08
"Gm47283",4.59367893061463e-12,-0.44043193941174,0.145,0.174,1.15039501459382e-07
"Tmsb4x",9.3395808251832e-12,-0.559793695759837,0.121,0.151,2.33891122605063e-07
"Galnt10",1.29718461513589e-11,0.342207839374672,0.219,0.177,3.2485394316848e-07
"Dalrd3",1.42306861756183e-11,-0.284017351275894,0.176,0.177,3.5637907389601e-07
"Ebf4",1.56512900979496e-11,-0.549542834167537,0.117,0.117,3.91955257922951e-07
"Cfap69",2.87483033423051e-11,-0.322305336233562,0.208,0.2,7.19943760601346e-07
"Cdkl3",3.33762244799472e-11,0.315441209222494,0.184,0.145,8.35840789651319e-07
"Pcolce2",3.39180473349414e-11,-0.478459742268677,0.105,0.103,8.49409659408939e-07
"Saraf",3.50624449124263e-11,-0.295963169291854,0.199,0.201,8.78068807941893e-07
"Epha3",4.30389274379508e-11,0.301284358872733,0.455,0.414,1.0778238598286e-06
"Ulk4",5.07167859565995e-11,-0.281998324333083,0.238,0.237,1.27010047071112e-06
"Eps8",8.49030293752691e-11,0.292750912295246,0.344,0.298,2.12622656464486e-06
"Thsd7b",1.22288906784023e-10,0.257522764077907,0.353,0.305,3.0624810925923e-06
"Epb41l4a",1.91849589614938e-10,0.397657768802358,0.181,0.146,4.8044892727269e-06
"Pde4a",2.43940537928999e-10,-0.270447054109429,0.274,0.269,6.10900289135593e-06
"Gm15261",3.8870912992661e-10,-0.532051546716875,0.192,0.194,9.7344427407521e-06
