"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Apoe",1.11653128032452e-191,1.41666763442755,0.527,0.279,2.79612928531671e-187
"Cst3",1.17741000299056e-184,-0.909399688833299,0.709,0.815,2.94858787048926e-180
"Csf1",1.35518352396273e-118,3.3677598544416,0.112,0.013,3.39378609905986e-114
"Plp1",2.31054915812783e-116,-2.5704701298034,0.028,0.135,5.78630825669952e-112
"Myo1e",6.63026057925663e-107,2.23873477865057,0.181,0.054,1.66041615686324e-102
"Apbb2",1.00885407248605e-98,1.24372686488729,0.36,0.196,2.52647325372681e-94
"Fgf13",3.59402449848615e-98,1.23350294822368,0.448,0.284,9.00051555155887e-94
"Olfr111",1.2223503391163e-97,1.93313858953654,0.131,0.029,3.06113195424895e-93
"March3",5.75050758360241e-97,1.95481837553061,0.17,0.05,1.44009961416155e-92
"Fgr",7.16844755456227e-96,2.19214054613386,0.118,0.023,1.79519432108903e-91
"Axl",3.80106096652088e-94,2.28534558302061,0.101,0.016,9.51899697845823e-90
"Lrmda",5.83240286169206e-94,0.475506691537206,0.865,0.788,1.46060864865354e-89
"Csmd3",4.38407216060229e-87,-0.40686841849504,0.795,0.88,1.09790319117963e-82
"Arhgap24",9.79357642689612e-86,1.04050708895371,0.312,0.158,2.45260534458759e-81
"Siglech",1.49763567204064e-82,-0.64770168580314,0.415,0.534,3.75052901349137e-78
"Zfhx3",4.02410733308941e-77,-0.38000769586316,0.754,0.817,1.00775719942558e-72
"Cd74",3.8890253845117e-75,1.17891287419684,0.101,0.024,9.73928627043266e-71
"H2-D1",8.84534344018022e-71,0.760854803224637,0.248,0.128,2.21513935772433e-66
"Rassf3",9.80857014562971e-68,0.785675820709886,0.292,0.161,2.45636022157005e-63
"Selplg",1.47320426447535e-67,-0.546962101787145,0.465,0.57,3.68934543952561e-63
"Tsix",1.54286498717963e-67,1.31676820272099,0.234,0.121,3.86379678739395e-63
"Elmo1",1.650954425314e-65,-0.307489241631699,0.881,0.916,4.13448516731385e-61
"Cd84",5.96442444827293e-65,0.664031691265464,0.452,0.299,1.49367081458099e-60
"Nav2",7.78750034562811e-65,-0.346297435890393,0.814,0.863,1.95022371155565e-60
"Gm20663",1.58720151895777e-62,0.904502202815477,0.358,0.217,3.97482876392595e-58
"Cacna1d",4.16022454713361e-62,0.552064588933357,0.472,0.322,1.04184503333867e-57
"Fmn1",5.20113929354188e-62,1.39751467931164,0.157,0.061,1.30252131328169e-57
"AU020206",6.69274203804684e-62,0.528554824004483,0.359,0.229,1.67606338858807e-57
"Ptprc",1.3662125908098e-61,0.56281304847107,0.601,0.454,3.42140619116499e-57
"H2-K1",3.38157843289606e-60,0.856699432538475,0.214,0.107,8.46848686950159e-56
"Chd9",4.9179536622059e-60,-0.380130777013029,0.673,0.734,1.23160313562622e-55
"Tanc2",5.80382097666105e-60,-0.299703278856722,0.866,0.901,1.45345088718523e-55
"Srgap2",7.82453505865343e-60,-0.297972462176959,0.846,0.898,1.95949831473858e-55
"Gm26573",5.9218351357549e-59,0.638419054189064,0.346,0.215,1.4830051730471e-54
"Gm2245",9.47729595739018e-59,0.580280541183495,0.468,0.322,2.37339922660922e-54
"Pvt1",3.43983718212073e-58,0.509092160191563,0.381,0.25,8.61438425518494e-54
"Snhg11",1.68931662399279e-56,-0.577108114033054,0.388,0.433,4.23055562146514e-52
"Bcl2",2.2164616856439e-56,1.39295117140198,0.134,0.049,5.55068499935803e-52
"Xylt1",8.8415044943136e-56,1.63767120225445,0.136,0.051,2.21417797051096e-51
"Csf2ra",8.21860478164546e-54,0.896401716196899,0.173,0.083,2.05818519546747e-49
"Mitf",5.76501329710279e-53,0.681282137329259,0.492,0.362,1.44373227999345e-48
"Nlrc5",5.97369101173528e-53,1.36315444018692,0.102,0.034,1.49599144006887e-48
"Cacna1a",3.79009638273523e-52,1.16814187299039,0.212,0.11,9.49153837128383e-48
"Rapgef5",2.24530381244495e-51,-0.382188131230871,0.563,0.626,5.62291433750588e-47
"Myo9b",3.06509134803868e-51,0.572278386398905,0.248,0.147,7.67590826289328e-47
"Tpd52",3.36546985252748e-51,0.659591941190429,0.216,0.12,8.42814615168456e-47
"Acer3",4.09593742769915e-51,0.596619499996176,0.398,0.267,1.0257456100187e-46
"Cd9",5.53260554801824e-51,0.795605423927362,0.313,0.191,1.38553040739021e-46
"Plxna4",2.11075000015796e-50,-0.535600863683594,0.37,0.458,5.28595122539558e-46
"Csf1r",2.94885017096632e-50,-0.35438802528024,0.617,0.663,7.38480548315095e-46
"Ctsb",6.70221322091826e-50,0.559295033106965,0.349,0.228,1.67843525691456e-45
"Cx3cr1",7.07085807861513e-50,-0.345889672380639,0.648,0.695,1.77075498862759e-45
"8030442B05Rik",1.46344507490953e-48,-0.653069244823533,0.262,0.358,3.66490550109594e-44
"Fchsd2",1.02511519234861e-47,-0.381086250832148,0.537,0.59,2.56719597619864e-43
"Oprm1",1.35824431306235e-47,0.632920015730265,0.223,0.128,3.40145123320205e-43
"Meg3",2.05701446107564e-47,-0.626513828284515,0.432,0.497,5.15138131487173e-43
"Arhgap25",3.06871859746565e-47,0.716548107142617,0.325,0.207,7.68499198363323e-43
"Ctsz",6.33052969316676e-47,0.451027532646949,0.319,0.212,1.58535455105975e-42
"Cers6",6.8874513307569e-47,0.765535498053028,0.206,0.112,1.72482443676145e-42
"Lrba",1.61882761460861e-46,-0.619891757633447,0.25,0.312,4.05402999526433e-42
"Pmepa1",2.3407635529348e-46,-0.601120608986111,0.264,0.336,5.86197416561461e-42
"Fcrls",2.86006377971245e-46,-0.434154231970813,0.327,0.36,7.16245772353388e-42
"Ivns1abp",2.16855045060635e-45,-0.371134930763633,0.554,0.614,5.43070089345349e-41
"Pde3b",2.56880981911433e-45,-0.302445389858669,0.646,0.68,6.43307043000803e-41
"Galnt7",2.35095128140425e-44,0.688294456885583,0.221,0.127,5.88748729402066e-40
"Asph",6.93621448432834e-44,0.593626609137937,0.395,0.273,1.73703619331035e-39
"C230088H06Rik",8.20116088548156e-44,0.491537720923023,0.226,0.141,2.05381672055115e-39
"Gm26740",1.29151530454268e-43,0.354416658847664,0.305,0.208,3.23434177716624e-39
"Numb",1.59525140353974e-43,-0.325440869657031,0.61,0.661,3.99498808988457e-39
"Nrp1",6.3127052936685e-43,0.625319170369388,0.306,0.196,1.5808907866934e-38
"Prkca",9.81189776752691e-43,-0.534267541002074,0.334,0.418,2.45719355792176e-38
"Ipcef1",2.33312055780225e-42,0.69433805874556,0.188,0.105,5.84283381290418e-38
"P2rx4",2.88431598067623e-42,0.631704719508777,0.209,0.123,7.22319251040747e-38
"Tmem119",5.35524779841894e-42,-0.776280684457013,0.16,0.227,1.34111470615806e-37
"Sp100",6.59090577511272e-42,0.866003193354242,0.129,0.06,1.65056053326148e-37
"Myo1f",7.05808628000991e-42,0.496435470629105,0.542,0.42,1.76755654710288e-37
"Naip2",8.66916301241181e-42,0.442172706298152,0.169,0.102,2.17101849319829e-37
"P2ry12",1.03848129078162e-41,-0.390811593287378,0.545,0.624,2.60066869650441e-37
"Dock4",2.70093305668146e-41,-0.255213412273725,0.822,0.862,6.76394665384738e-37
"Slc16a10",4.36399908126265e-41,0.64633890823277,0.144,0.077,1.09287628992061e-36
"Zfp704",4.7744046076126e-41,0.708592283821365,0.15,0.078,1.19565414588442e-36
"B2m",7.7459927457966e-41,0.45206310155233,0.194,0.12,1.93982896332984e-36
"Dgkz",3.14238572692444e-40,0.642734467144829,0.217,0.128,7.86947657593687e-36
"Gsap",8.67140426663216e-40,0.501770300575883,0.351,0.242,2.17157977049269e-35
"Cdh23",1.35841610906932e-39,-0.440503432534213,0.339,0.388,3.4018814619423e-35
"Rad51b",4.00578730947795e-39,0.665244089814884,0.19,0.107,1.00316931591256e-34
"Cpd",6.69801464658778e-39,1.084215835898,0.105,0.044,1.67738380794498e-34
"Vsir",6.79372275566324e-39,-0.443901971515556,0.325,0.375,1.70135198970074e-34
"Dip2b",9.94854662424104e-39,-0.286015128895774,0.568,0.595,2.49141453110868e-34
"Sat1",1.14783813898821e-38,0.331331004203569,0.35,0.253,2.87453105146817e-34
"Pag1",1.43415560764407e-38,-0.267407159070695,0.706,0.739,3.59155588822304e-34
"Lyst",1.60272596196773e-38,0.5603480493295,0.284,0.185,4.01370662655579e-34
"Chst11",1.899937415746e-38,1.00705188689894,0.223,0.132,4.75801327025272e-34
"Gm16599",2.34662626293816e-38,0.486468881735549,0.379,0.269,5.87665615027602e-34
"Laptm5",3.05207562816435e-38,-0.367936957816043,0.314,0.333,7.64331299561198e-34
"Coro1c",3.7542159626714e-38,0.831447923960896,0.103,0.047,9.40168303531798e-34
"Anxa3",3.82305365753317e-38,0.436737979254091,0.451,0.334,9.57407327456032e-34
"Plekha1",4.5356688386587e-38,0.550725918516266,0.188,0.113,1.1358675472653e-33
"Cadm1",4.96914400542569e-38,0.568075324525078,0.477,0.362,1.24442273327875e-33
"Anapc15",6.19448193592287e-38,0.638162687861819,0.166,0.093,1.55128411121317e-33
"Susd6",6.37006925602843e-38,0.406367680853522,0.293,0.202,1.5952564437872e-33
"Elf2",6.78862859556461e-38,0.380947376606118,0.232,0.155,1.70007625918725e-33
"Arid5b",7.09749806540983e-38,0.679822389964048,0.267,0.169,1.77742644052058e-33
"Hif1a",8.62656398051322e-38,0.734677511034941,0.116,0.058,2.16035041763993e-33
"Agmo",1.30941170927231e-37,-0.426657459516137,0.429,0.504,3.27915974353065e-33
"Rpl10a",1.43192210253176e-37,0.647972465413378,0.116,0.06,3.58596252137028e-33
"Atp6v1b2",1.67422099724771e-37,0.623027705160043,0.145,0.081,4.19275164340744e-33
"Sparc",1.72263881178872e-37,-0.489171121886022,0.272,0.32,4.31400437636249e-33
"Dpy19l4",1.99590591900327e-37,0.32785223560587,0.25,0.173,4.99834719295989e-33
"Pde4d",3.23848422217745e-37,-0.598728512866286,0.251,0.328,8.11013603759899e-33
"Cd48",3.43684176175256e-37,0.886644406482279,0.123,0.059,8.60688282395694e-33
"Pard3b",3.64994408229927e-37,-0.487254348023831,0.298,0.348,9.14055496530206e-33
"Rftn1",5.1457642257725e-37,0.853707518744788,0.152,0.079,1.28865373506021e-32
"Prkce",8.14351557019472e-37,-0.501927509616836,0.298,0.358,2.03938060424386e-32
"Prune2",8.16195247939626e-37,0.66687252687616,0.125,0.065,2.0439977594152e-32
"Lyz2",1.03740419338882e-36,0.824894568308418,0.101,0.045,2.59797132150361e-32
"Gm15283",1.29623018775134e-36,0.732049559133356,0.189,0.108,3.24614925918567e-32
"Gm40645",2.64182314261929e-36,0.59630422660744,0.154,0.088,6.61591769606148e-32
"Ctsc",3.25153678473147e-36,0.440556498749837,0.22,0.144,8.14282357000302e-32
"Dock10",4.49365304808476e-36,-0.262580871730268,0.599,0.629,1.12534553283187e-31
"Fyb",7.44491647592693e-36,0.368615321953061,0.698,0.602,1.86443043306638e-31
"Soga1",9.12113109080269e-36,-0.40447676696956,0.302,0.336,2.28420485906972e-31
"Pfkfb3",1.88585616288903e-35,0.57053707307454,0.188,0.114,4.722749588723e-31
"Neat1",3.32436965173409e-35,0.706913795696448,0.19,0.11,8.32521891883768e-31
"Tbc1d8",6.23272491103593e-35,0.600761801474621,0.165,0.096,1.56086129947073e-30
"Skap2",6.68829921978148e-35,0.281631595221378,0.524,0.414,1.67495077360988e-30
"4933406I18Rik",7.0770615971892e-35,-0.317631210231057,0.539,0.579,1.77230853578409e-30
"Maf",8.49403429230036e-35,-0.493356506392941,0.283,0.345,2.12716100782078e-30
"Tns3",1.13629613112162e-34,0.427363089391158,0.49,0.377,2.84562640116788e-30
"Fgfr2",1.35774141700319e-34,0.348214685207238,0.533,0.42,3.40019183060109e-30
"Soat1",1.42667298375563e-34,0.384438609732466,0.135,0.084,3.57281715321923e-30
"Creb3l2",1.69993792373458e-34,0.319074134002825,0.185,0.124,4.2571545424085e-30
"Lrch3",1.85001385287671e-34,0.361170616766261,0.261,0.182,4.63298969175915e-30
"Park2",3.93357966201665e-34,-0.286847289484907,0.47,0.485,9.85086354758829e-30
"Rnf149",5.16655468005126e-34,0.576310502307361,0.137,0.077,1.29386028852524e-29
"Itga9",5.43431198597769e-34,-0.556541055826585,0.21,0.262,1.36091475064839e-29
"Apobec3",5.80002872578614e-34,0.423853713759486,0.246,0.167,1.45250119379862e-29
"Ptk2b",8.29897316511184e-34,0.304113357240888,0.311,0.23,2.07831184973896e-29
"Cdk17",8.43991954958455e-34,0.599632419503588,0.194,0.117,2.11360905280246e-29
"Plekhm2",1.01597316623339e-33,0.560906512019146,0.201,0.125,2.54430160019828e-29
"2010111I01Rik",1.12115048541343e-33,0.420678213593614,0.27,0.186,2.80769716062085e-29
"Myo9a",1.230777078418e-33,0.317018813494474,0.328,0.241,3.08223503748219e-29
"Tns1",1.54001430477119e-33,0.501479364324035,0.169,0.105,3.85665782343849e-29
"Rock2",1.64821564012184e-33,-0.272215549921301,0.355,0.361,4.12762642755713e-29
"Ccnl1",1.9876404391554e-33,0.282544905314728,0.233,0.167,4.97764795177688e-29
"Actr3",2.07876091115026e-33,0.372856427520312,0.246,0.171,5.2058409497936e-29
"Nr6a1",2.63071615977907e-33,-0.356414901231375,0.41,0.435,6.58810247893473e-29
"Slc11a1",2.82234696269101e-33,0.371734004944669,0.186,0.123,7.06800349866709e-29
"Golm1",3.94339456858992e-33,-0.362136795852537,0.308,0.333,9.87544301811973e-29
"Tank",4.67096411874994e-33,0.683337017502455,0.154,0.087,1.16974954425855e-28
"Abca1",4.9782062855956e-33,0.444078145120761,0.436,0.328,1.24669220010171e-28
"Raet1e",5.21432633647726e-33,0.574179489143916,0.11,0.06,1.305823744444e-28
"Cux1",6.06884382553124e-33,0.314122141526997,0.483,0.378,1.51982055922779e-28
"Frrs1",9.17216481719165e-33,0.319470849053494,0.274,0.198,2.2969852351693e-28
"Fmnl2",9.67963882541024e-33,0.521692135845911,0.313,0.216,2.42407195104749e-28
"Akap10",1.29553784490621e-32,0.302056443163949,0.283,0.207,3.24441542499863e-28
"Ctsa",2.18280507770742e-32,0.279996693131653,0.19,0.133,5.46639875610269e-28
"Ascc3",2.63395027132292e-32,0.305272631845555,0.298,0.218,6.59620166447398e-28
"Ctnnd2",2.98154128129761e-32,-0.873827633398321,0.108,0.156,7.46667383075361e-28
"Fam102b",3.34862027227993e-32,-0.384428361006582,0.337,0.373,8.38594974787064e-28
"Colgalt1",4.20505749230623e-32,0.502574677503055,0.117,0.067,1.05307254779825e-27
