,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
Ttr,2.46E-304,-2.548570555,0.006,0.458,6.17E-300
Malat1,8.88E-48,-0.2551163,1,1,2.22E-43
H2-D1,3.17E-31,-0.703564663,0.137,0.283,7.93E-27
H2-K1,1.15E-29,-0.760513694,0.116,0.254,2.87E-25
Lsamp,1.66E-29,0.843412722,0.362,0.236,4.17E-25
Ivns1abp,6.66E-28,0.425131965,0.549,0.492,1.67E-23
mt-Co1,9.40E-27,-0.526664102,0.232,0.386,2.35E-22
Clasp2,2.08E-26,0.352885822,0.384,0.406,5.22E-22
Csmd3,2.32E-25,0.464874209,0.817,0.75,5.82E-21
mt-Cytb,1.69E-24,-0.530054364,0.17,0.304,4.24E-20
mt-Nd4,2.42E-24,-0.423546707,0.139,0.254,6.06E-20
Cd37,2.82E-24,-0.381962545,0.222,0.352,7.06E-20
Trip12,4.95E-24,0.111676063,0.276,0.316,1.24E-19
Frrs1,7.98E-24,0.076756959,0.245,0.299,2.00E-19
Il10ra,1.61E-23,-0.111213008,0.208,0.285,4.04E-19
Tgfbr2,2.33E-23,0.172994212,0.432,0.473,5.83E-19
mt-Co3,2.66E-23,-0.556914457,0.302,0.455,6.65E-19
Mvb12b,7.91E-23,0.152907212,0.246,0.276,1.98E-18
Nsd3,9.68E-23,-0.129283497,0.265,0.363,2.43E-18
Plekho1,1.16E-22,-0.164782208,0.252,0.349,2.91E-18
Sppl3,2.36E-22,-0.025460979,0.27,0.345,5.91E-18
Pard3b,3.43E-22,0.324896871,0.297,0.298,8.58E-18
Ctsh,4.65E-22,-0.234256107,0.201,0.3,1.16E-17
Crlf3,4.77E-22,-0.07533322,0.268,0.35,1.19E-17
Rnf169,5.11E-22,-0.011591625,0.279,0.353,1.28E-17
mt-Atp6,5.30E-22,-0.568458684,0.233,0.373,1.33E-17
Itpr2,1.37E-21,0.034468602,0.376,0.445,3.43E-17
Erbin,1.91E-21,0.017070322,0.233,0.292,4.77E-17
Laptm5,3.29E-21,0.074974608,0.271,0.316,8.25E-17
Sirpa,5.67E-21,0.276578796,0.527,0.53,1.42E-16
C230088H06Rik,5.96E-21,-0.472131184,0.159,0.274,1.49E-16
Cdkal1,8.42E-21,0.060014435,0.284,0.333,2.11E-16
Snx5,1.10E-20,-0.129180522,0.19,0.268,2.77E-16
Ptpn1,1.24E-20,-0.196275097,0.226,0.323,3.10E-16
Gm37240,1.41E-20,-0.240185325,0.395,0.521,3.54E-16
Tmsb4x,1.99E-20,-0.194323049,0.245,0.343,5.00E-16
Nrip1,2.44E-20,0.080350636,0.34,0.397,6.11E-16
Cmss1,4.17E-20,0.299073916,0.633,0.635,1.04E-15
Ski,4.32E-20,0.158042123,0.342,0.37,1.08E-15
Nav3,4.46E-20,0.393418557,0.785,0.716,1.12E-15
Sipa1l2,4.49E-20,-0.047188981,0.291,0.366,1.12E-15
Rock2,4.94E-20,0.223818596,0.338,0.353,1.24E-15
Dnajc7,5.03E-20,-0.015669496,0.195,0.252,1.26E-15
Fam172a,5.13E-20,0.074133886,0.421,0.48,1.29E-15
Itch,5.22E-20,0.011446531,0.291,0.354,1.31E-15
Dgkd,5.98E-20,0.153233671,0.34,0.372,1.50E-15
Snd1,6.34E-20,-0.003706291,0.249,0.312,1.59E-15
Wdr33,6.73E-20,0.046183944,0.213,0.256,1.68E-15
Myo9b,7.76E-20,0.046846175,0.217,0.267,1.94E-15
Zmym4,8.59E-20,-0.116989675,0.196,0.271,2.15E-15
Pten,8.74E-20,0.169869511,0.291,0.317,2.19E-15
Nptn,9.26E-20,0.074792697,0.263,0.308,2.32E-15
Tmem135,1.14E-19,0.120688269,0.351,0.391,2.85E-15
Tlr7,1.17E-19,0.069843709,0.209,0.254,2.93E-15
Cd2ap,1.29E-19,0.069314683,0.209,0.252,3.23E-15
Tbc1d22a,1.51E-19,0.028109865,0.321,0.381,3.77E-15
Mtmr3,1.54E-19,-0.015137941,0.242,0.303,3.85E-15
Pitpna,1.74E-19,-0.165124868,0.175,0.256,4.35E-15
Tpm3,1.95E-19,0.046344049,0.22,0.262,4.88E-15
Fndc3b,2.22E-19,0.172514939,0.232,0.254,5.57E-15
Dapp1,2.24E-19,-0.152418659,0.224,0.31,5.60E-15
Chd7,2.80E-19,0.17137224,0.351,0.382,7.00E-15
Son,3.48E-19,0.16213678,0.594,0.633,8.72E-15
Fth1,3.58E-19,-0.16551436,0.166,0.252,8.97E-15
Rbm26,3.80E-19,0.076130579,0.355,0.408,9.52E-15
Lamp2,3.82E-19,-0.262858435,0.233,0.337,9.57E-15
Capza1,4.08E-19,-0.034359843,0.193,0.25,1.02E-14
Smg1,4.23E-19,-0.055394937,0.257,0.328,1.06E-14
Plgrkt,4.65E-19,-0.316163583,0.178,0.277,1.16E-14
Wdfy3,4.79E-19,-0.006831031,0.36,0.432,1.20E-14
Tbl1xr1,7.30E-19,0.051988709,0.284,0.333,1.83E-14
Rin2,8.04E-19,0.211652115,0.235,0.255,2.01E-14
Rap1b,8.62E-19,-0.081092317,0.21,0.276,2.16E-14
Map4k4,9.19E-19,0.112272314,0.373,0.412,2.30E-14
Fam193a,1.02E-18,-0.025865232,0.235,0.297,2.54E-14
Stard9,1.05E-18,0.137767067,0.315,0.351,2.62E-14
Abi3,1.08E-18,-0.157844418,0.186,0.263,2.69E-14
Eml4,1.08E-18,0.127171193,0.345,0.388,2.70E-14
Jak1,1.11E-18,0.040714835,0.222,0.271,2.77E-14
Zfp644,1.19E-18,-0.079741881,0.199,0.264,2.98E-14
Apc,1.36E-18,0.068666698,0.25,0.294,3.41E-14
Fcho2,1.37E-18,0.128884784,0.343,0.375,3.43E-14
Tnrc6b,1.53E-18,0.100715002,0.374,0.417,3.82E-14
Tet3,1.55E-18,-0.108001814,0.208,0.282,3.88E-14
Hps4,1.59E-18,-0.170440897,0.177,0.254,3.97E-14
Ints6l,1.60E-18,0.389803504,0.385,0.346,4.00E-14
Srpk2,1.68E-18,-0.190790406,0.192,0.276,4.21E-14
Man1c1,1.74E-18,-0.041539718,0.26,0.328,4.36E-14
Nsd1,1.86E-18,-0.130230751,0.382,0.483,4.65E-14
Rnf13,1.86E-18,0.090235762,0.259,0.303,4.67E-14
Rbfox1,1.88E-18,0.633074367,0.301,0.229,4.70E-14
Pvt1,1.96E-18,-0.133577143,0.334,0.429,4.90E-14
Agps,2.00E-18,0.153927064,0.233,0.256,5.02E-14
Trem2,2.14E-18,-0.191081599,0.226,0.318,5.36E-14
Ptp4a2,2.23E-18,-0.069062261,0.199,0.265,5.58E-14
Arid1b,2.32E-18,0.032094125,0.362,0.422,5.80E-14
Arhgap12,2.58E-18,0.233478505,0.28,0.288,6.45E-14
Brd4,2.66E-18,-0.166362871,0.215,0.298,6.66E-14
Ncoa2,3.18E-18,0.074395067,0.271,0.312,7.97E-14
Cflar,3.63E-18,0.123347035,0.284,0.319,9.10E-14
Prrc2c,3.72E-18,-0.09311571,0.236,0.31,9.33E-14
Arhgap45,3.89E-18,-0.306076678,0.448,0.582,9.73E-14
Pias1,3.90E-18,-0.047299658,0.284,0.353,9.76E-14
Capza2,4.48E-18,0.123258785,0.251,0.278,1.12E-13
Smap2,4.82E-18,0.065940419,0.447,0.511,1.21E-13
Itgav,5.01E-18,-0.001341614,0.223,0.278,1.25E-13
Herc2,5.19E-18,0.214182341,0.372,0.382,1.30E-13
Clta,5.28E-18,-0.099774098,0.183,0.25,1.32E-13
Map3k5,5.38E-18,0.043091546,0.227,0.269,1.35E-13
Cog5,5.48E-18,0.166987637,0.27,0.291,1.37E-13
Zfp638,5.77E-18,0.057921017,0.268,0.316,1.45E-13
Senp2,5.88E-18,-0.156505272,0.199,0.28,1.47E-13
Evl,6.15E-18,-0.142894285,0.272,0.357,1.54E-13
Zdhhc14,6.19E-18,0.262884955,0.257,0.261,1.55E-13
Hck,6.22E-18,0.024138093,0.223,0.275,1.56E-13
Psap,6.52E-18,-0.175523978,0.382,0.488,1.63E-13
Acap2,6.70E-18,0.127093129,0.348,0.386,1.68E-13
Git2,6.88E-18,-0.020481831,0.287,0.351,1.72E-13
Tra2a,7.25E-18,-0.074756681,0.241,0.312,1.82E-13
Mknk1,7.53E-18,-0.114400852,0.191,0.258,1.89E-13
Smg6,7.67E-18,0.058872076,0.3,0.349,1.92E-13
P3h2,8.44E-18,0.33397782,0.361,0.344,2.11E-13
Sh3glb1,8.93E-18,0.05100551,0.238,0.283,2.24E-13
Blnk,9.86E-18,0.17159979,0.41,0.438,2.47E-13
3110082I17Rik,9.92E-18,-0.295070209,0.166,0.256,2.48E-13
Phf21a,1.06E-17,0.05744286,0.364,0.423,2.66E-13
Susd6,1.14E-17,-0.012649751,0.26,0.321,2.86E-13
Ctsb,1.17E-17,-0.237309472,0.289,0.397,2.94E-13
Irak2,1.28E-17,0.147148186,0.362,0.393,3.21E-13
Vps54,1.34E-17,-0.049594567,0.219,0.285,3.36E-13
Entpd1,1.37E-17,0.170557425,0.456,0.493,3.42E-13
