X,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,Gene
Apbb2,0.00022453,-0.00926271,0.377,0.407,1,Apbb2
Apoe,3.47E-11,-0.408633317,0.512,0.62,8.69E-07,Apoe
Arglu1,1.29E-14,0.164591118,0.405,0.426,3.23E-10,Arglu1
Arhgap12,2.58E-18,0.233478505,0.28,0.288,6.45E-14,Arhgap12
Arhgap24,6.33E-06,-0.03289727,0.314,0.352,0.158431286,Arhgap24
AY036118,1.31E-10,0.10030771,0.547,0.58,3.27E-06,AY036118
C230088H06Rik,5.96E-21,-0.472131184,0.159,0.274,1.49E-16,C230088H06Rik
Cacna1a,2.45E-07,0.159936598,0.261,0.269,0.006134887,Cacna1a
Cacnb2,5.91E-08,0.194194994,0.406,0.399,0.001480526,Cacnb2
Ccnd3,6.03E-13,0.261143088,0.603,0.579,1.51E-08,Ccnd3
Cd9,0.000104553,0.045074099,0.32,0.334,1,Cd9
Cdk6,4.32E-12,-0.040238116,0.21,0.269,1.08E-07,Cdk6
Cmss1,4.17E-20,0.299073916,0.633,0.635,1.04E-15,Cmss1
Cotl1,8.64E-15,-0.100241406,0.198,0.263,2.16E-10,Cotl1
Csmd3,2.32E-25,0.464874209,0.817,0.75,5.82E-21,Csmd3
Cst3,0.432170049,-0.051839418,0.683,0.683,1,Cst3
Ctsz,2.44E-16,-0.302236025,0.263,0.369,6.10E-12,Ctsz
Dgkz,5.27E-10,-0.089541575,0.203,0.255,1.32E-05,Dgkz
Fam196b,5.94E-11,-0.154012614,0.379,0.459,1.49E-06,Fam196b
Fbrsl1,6.69E-10,-0.144773588,0.216,0.274,1.67E-05,Fbrsl1
Fgf13,0.000798849,0.161163704,0.489,0.47,1,Fgf13
Fkbp5,8.52E-15,0.127078234,0.304,0.334,2.13E-10,Fkbp5
Gm16599,9.46E-11,-0.154835606,0.338,0.42,2.37E-06,Gm16599
Gm20663,0.000605857,-0.352110634,0.324,0.381,1,Gm20663
Gm42418,4.84E-07,0.160668414,0.919,0.895,0.012122401,Gm42418
Gm44511,3.43E-12,0.324567371,0.428,0.359,8.58E-08,Gm44511
H2-D1,3.17E-31,-0.703564663,0.137,0.283,7.93E-27,H2-D1
H2-K1,1.15E-29,-0.760513694,0.116,0.254,2.87E-25,H2-K1
Ivns1abp,6.66E-28,0.425131965,0.549,0.492,1.67E-23,Ivns1abp
Ktn1,1.29E-13,0.191291097,0.243,0.252,3.24E-09,Ktn1
Lamp2,3.82E-19,-0.262858435,0.233,0.337,9.57E-15,Lamp2
Laptm5,3.29E-21,0.074974608,0.271,0.316,8.25E-17,Laptm5
Lrmda,0.903242795,-0.009851545,0.88,0.884,1,Lrmda
Maf,2.54E-11,0.200087102,0.254,0.267,6.36E-07,Maf
Mitf,5.74E-10,0.057885825,0.483,0.524,1.44E-05,Mitf
mt-Atp6,5.30E-22,-0.568458684,0.233,0.373,1.33E-17,mt-Atp6
Nfia,4.58E-14,0.205280378,0.452,0.469,1.15E-09,Nfia
P3h2,8.44E-18,0.33397782,0.361,0.344,2.11E-13,P3h2
Picalm,1.52E-14,0.187705503,0.503,0.521,3.82E-10,Picalm
Pid1,3.73E-12,0.151461523,0.401,0.425,9.35E-08,Pid1
Pld4,5.59E-06,-0.005387204,0.247,0.272,0.140115344,Pld4
Pvt1,1.96E-18,-0.133577143,0.334,0.429,4.90E-14,Pvt1
Rassf3,5.40E-12,-0.20732479,0.255,0.338,1.35E-07,Rassf3
Selplg,6.03E-11,0.128874865,0.422,0.443,1.51E-06,Selplg
Serinc3,2.31E-10,0.013910438,0.452,0.505,5.80E-06,Serinc3
Snhg11,0.000585188,-0.102681066,0.354,0.41,1,Snhg11
Sparc,3.50E-15,0.150119095,0.246,0.269,8.77E-11,Sparc
Tlr7,1.17E-19,0.069843709,0.209,0.254,2.93E-15,Tlr7
Tmsb4x,1.99E-20,-0.194323049,0.245,0.343,5.00E-16,Tmsb4x
Ttr,2.46E-304,-2.548570555,0.006,0.458,6.17E-300,Ttr
