"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Xist",0,4.47441373518914,0.825,0,0
"Tsix",1.58757683446993e-262,2.92404074814207,0.432,0.001,3.97576866656305e-258
"Ttr",6.02433635482823e-179,-2.03151255963038,0.006,0.333,1.50867455333963e-174
"Cacna1a",1.11628978942043e-39,1.1289309068759,0.261,0.091,2.7955245196456e-35
"Tmsb4x",1.00242043474049e-38,-0.944788137910329,0.245,0.41,2.5103614947206e-34
"Cst3",3.55302237026919e-34,-0.660791708798343,0.683,0.702,8.89783392186513e-30
"Tlr7",1.41629276992812e-27,-0.790360593272756,0.209,0.367,3.54682198373099e-23
"Apoe",1.72267753273404e-27,0.369606639313457,0.512,0.326,4.31410134522585e-23
"Fkbp5",3.68305452252743e-21,-0.633817471583356,0.304,0.406,9.22347344076545e-17
"Plxdc2",1.13792246967473e-19,0.314216217240437,0.915,0.821,2.84969924080643e-15
"Lrmda",2.18764218907711e-19,0.335317032054805,0.88,0.79,5.47851233410581e-15
"Rbfox1",2.77436694442246e-19,0.739507204786307,0.301,0.178,6.94784713891716e-15
"Prkg1",2.81497765945782e-19,0.710116750303851,0.252,0.129,7.04954855258021e-15
"Csmd3",1.26997498221229e-18,-0.311546961339043,0.817,0.806,3.18039834795424e-14
"Lsamp",1.72919599693486e-17,0.693438543305408,0.362,0.244,4.33042553512396e-13
"Arhgap24",4.55217048988768e-17,0.42796941183304,0.314,0.193,1.14000005578257e-12
"Cd9",9.7335216848439e-17,0.37700553856824,0.32,0.204,2.43756583553546e-12
"Apbb2",2.25038269020179e-16,0.563612757673413,0.377,0.244,5.63563337107234e-12
"Slc8a1",2.29477657670153e-16,0.258070630452439,0.834,0.714,5.74680898103365e-12
"Fgf13",3.88193651456417e-16,0.61993776636138,0.489,0.352,9.72153361342306e-12
"Kcnip4",7.08345610061299e-15,0.486873375404927,0.342,0.224,1.77390991127651e-10
"Plcl1",1.06849563040031e-14,0.308879702193254,0.721,0.593,2.67583360721149e-10
"Ubash3b",8.76044771884835e-14,0.434364775820015,0.544,0.417,2.19387892223119e-09
"Fcrls",1.21809032587231e-13,0.215467810990259,0.317,0.226,3.05046360308204e-09
"Malat1",1.42027699824036e-13,-0.179930944275167,1,0.999,3.55679968669334e-09
"Clk1",5.56340019776521e-13,-0.38404525512075,0.308,0.347,1.39324231152634e-08
"C1qc",7.36833152839995e-13,-0.325037386337402,0.443,0.454,1.8452512646572e-08
"Ctss",1.68063537758797e-12,-0.306309744851761,0.545,0.566,4.20881517609356e-08
"Csf3r",1.78349990461637e-12,0.331335086159629,0.442,0.325,4.46641881113076e-08
"Pld4",1.83853699233193e-12,-0.507211292282487,0.247,0.316,4.60424818989684e-08
"Ivns1abp",2.19025886007967e-12,-0.275206610611348,0.549,0.554,5.48506526329751e-08
"Cux1",2.63520943162441e-12,0.359062733127461,0.478,0.356,6.59935497961702e-08
"Zbtb20",6.75160968359022e-12,-0.261712345427005,0.608,0.611,1.6908056130615e-07
"Cyfip1",1.05440487079741e-11,0.340098859803081,0.424,0.31,2.64054611793795e-07
"Serinc3",1.22254322312297e-11,-0.330241679003398,0.452,0.491,3.06161499366687e-07
"Tanc2",1.26686158151445e-11,0.186098677143791,0.892,0.809,3.17260145858663e-07
"C1qa",2.07003769467213e-11,-0.277285557208761,0.459,0.449,5.18399539876741e-07
"Mitf",2.20719109354513e-11,0.449013592286807,0.483,0.37,5.52746865556507e-07
"Ski",3.3158393906809e-11,0.308551347398483,0.342,0.242,8.30385658608219e-07
"Adap2",3.3998859955165e-11,-0.0607802195072042,0.516,0.462,8.51433449857196e-07
