,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,Gene
12,2.25E-16,0.563612758,0.377,0.244,5.64E-12,Apbb2
6,1.72E-27,0.369606639,0.512,0.326,4.31E-23,Apoe
32,6.11E-05,-0.253842426,0.405,0.442,1,Arglu1
25,2.05E-06,-0.115136335,0.28,0.266,0.051354751,Arhgap12
10,4.55E-17,0.427969412,0.314,0.193,1.14E-12,Arhgap24
18,3.27E-10,-0.288835867,0.547,0.575,8.19E-06,AY036118
2,1.12E-39,1.128930907,0.261,0.091,2.80E-35,Cacna1a
28,1.22E-05,-0.2407224,0.406,0.418,0.30468256,Cacnb2
37,0.000629019,-0.136714091,0.603,0.609,1,Ccnd3
11,9.73E-17,0.377005539,0.32,0.204,2.44E-12,Cd9
42,0.06473662,-0.052890819,0.633,0.619,1,Cmss1
9,1.27E-18,-0.311546961,0.817,0.806,3.18E-14,Csmd3
4,3.55E-34,-0.660791709,0.683,0.702,8.90E-30,Cst3
26,6.09E-06,0.05537141,0.263,0.22,0.152496983,Ctsz
36,0.000488841,0.233699261,0.379,0.316,1,Fam196b
13,3.88E-16,0.619937766,0.489,0.352,9.72E-12,Fgf13
7,3.68E-21,-0.633817472,0.304,0.406,9.22E-17,Fkbp5
33,0.000212257,0.213335256,0.338,0.278,1,Gm16599
29,2.70E-05,-0.019951812,0.324,0.284,0.675687082,Gm20663
23,7.15E-08,-0.270058122,0.919,0.906,0.001790121,Gm42418
39,0.000824718,-0.128471206,0.428,0.43,1,Gm44511
15,2.19E-12,-0.275206611,0.549,0.554,5.49E-08,Ivns1abp
40,0.002147043,-0.167688325,0.243,0.251,1,Ktn1
19,6.97E-10,-0.371486919,0.271,0.299,1.75E-05,Laptm5
8,2.19E-19,0.335317032,0.88,0.79,5.48E-15,Lrmda
38,0.000681988,-0.202608856,0.254,0.277,1,Maf
17,2.21E-11,0.449013592,0.483,0.37,5.53E-07,Mitf
41,0.048399851,-0.236866976,0.233,0.25,1,mt-Atp6
31,3.22E-05,-0.134356642,0.452,0.456,0.806710525,Nfia
30,3.04E-05,-0.231266739,0.361,0.383,0.761419279,P3h2
21,8.92E-09,-0.25319867,0.503,0.522,0.000223481,Picalm
34,0.000243343,-0.185606163,0.401,0.413,1,Pid1
14,1.84E-12,-0.507211292,0.247,0.316,4.60E-08,Pld4
22,1.19E-08,0.171395289,0.334,0.26,0.000296847,Pvt1
27,7.91E-06,0.185434342,0.255,0.199,0.198212085,Rassf3
24,1.91E-06,-0.206064562,0.422,0.428,0.047941317,Selplg
16,1.22E-11,-0.330241679,0.452,0.491,3.06E-07,Serinc3
35,0.000317826,0.222998319,0.354,0.295,1,Snhg11
20,5.37E-09,-0.253210835,0.246,0.253,0.000134462,Sparc
5,1.42E-27,-0.790360593,0.209,0.367,3.55E-23,Tlr7
3,1.00E-38,-0.944788138,0.245,0.41,2.51E-34,Tmsb4x
1,6.02E-179,-2.03151256,0.006,0.333,1.51E-174,Ttr
