"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Xist",0,-4.3242316598015,0.002,0.807,0
"Tsix",6.29590891044695e-279,-2.7631662235326,0.001,0.412,1.57668446844323e-274
"Uty",7.97501713393976e-183,1.60109727166694,0.261,0.002,1.99718354085253e-178
"Ttr",8.98995986572641e-103,-1.56947464843513,0.171,0.458,2.25135564917387e-98
"Tmsb4x",8.191101187661e-56,0.705725114976352,0.59,0.343,2.05129747042595e-51
"mt-Co3",3.88278040730698e-42,-1.01697171097024,0.283,0.455,9.72364697401888e-38
"Tlr7",8.72344164511272e-38,0.632128418447133,0.449,0.254,2.18461149118558e-33
"Gm42418",3.60073899310759e-32,-0.445575418466894,0.894,0.895,9.01733066043933e-28
"Gm44511",1.16997086215063e-29,0.073339925609905,0.485,0.359,2.92995803008382e-25
"Spag5",4.10478659856163e-29,0.25739964664878,0.273,0.156,1.02796170787779e-24
"Btaf1",3.35606565184263e-28,0.225054357676987,0.388,0.252,8.4045952119095e-24
"Gm26804",8.867556905841e-28,0.0133300611131988,0.64,0.513,2.22070227592976e-23
"Nkain2",9.5344296725839e-28,0.254480021795728,0.269,0.152,2.38770722290519e-23
"mt-Co1",8.82837857317648e-27,-0.713131686967708,0.249,0.386,2.21089084608059e-22
"mt-Co2",3.619144471143e-26,-0.822013028982154,0.218,0.353,9.06342349908342e-22
"mt-Atp6",4.30261144143035e-24,-0.732142421487758,0.247,0.373,1.0775029832774e-19
"Prkcd",1.30103119209953e-23,0.185028629419448,0.382,0.263,3.25817241437485e-19
"mt-Nd4",9.95800425350891e-23,-0.778680799470939,0.138,0.254,2.49378300520624e-18
"Ube3a",1.34981832646449e-22,0.0935436938179932,0.365,0.265,3.38035003496502e-18
"Ivns1abp",1.42765661164829e-22,0.355335222182199,0.648,0.492,3.5752804525508e-18
"mt-Cytb",1.54166744412014e-22,-0.770352510420048,0.182,0.304,3.86079778031006e-18
"Gm26857",1.7361956931965e-22,-0.00607624481982683,0.255,0.186,4.34795487447199e-18
"Fgfr2",2.05328126103699e-22,-0.083507204039257,0.642,0.548,5.14203226201492e-18
"Hnrnpa3",2.0714522201014e-21,0.13452115621618,0.276,0.185,5.18753779479993e-17
"Ap3b1",2.36404406845393e-21,0.0563661621837572,0.389,0.301,5.92027556062919e-17
"Pld1",2.7959032140165e-21,0.0387004715669446,0.373,0.284,7.00178041886153e-17
"Vps13a",4.7108820117281e-21,0.0118632826069129,0.364,0.28,1.17974618219707e-16
"Srsf7",5.44665394003716e-21,0.30406884412899,0.444,0.308,1.36400554620351e-16
"Malat1",5.47948783417839e-21,-0.181905206587773,1,1,1.37222813831329e-16
"Usp50",9.53123380761468e-21,-0.103481944849498,0.45,0.385,2.38690688244094e-16
"Arrb2",9.84934879900871e-21,0.0350906159717326,0.301,0.219,2.46657241973575e-16
"C1qb",1.09220619388344e-20,-0.126241611607932,0.593,0.521,2.7352119713423e-16
"Tmem243",1.41341859878499e-20,-0.0343570549427707,0.442,0.355,3.53962419693725e-16
"Ctss",3.88247800951393e-20,0.245885649415333,0.749,0.612,9.72288967922574e-16
"C1qa",6.36671857335937e-20,-0.062987794785502,0.656,0.565,1.59441733232639e-15
"Eif4g3",8.52567895899609e-20,0.109729930757047,0.458,0.356,2.13508578170139e-15
"Pld4",1.0690510566304e-19,0.00645258675268057,0.354,0.272,2.67722456111951e-15
"Ambra1",1.07853655385509e-19,0.130685509757873,0.442,0.335,2.70097909181931e-15
"Rbfox1",1.14131948027326e-19,-0.0785858943460322,0.287,0.229,2.85820637444832e-15
"Rbm39",1.55865057232794e-19,0.263324519692143,0.739,0.601,3.90332862828085e-15
"Asph",1.9819316267548e-19,-0.128944144164712,0.476,0.419,4.96335137288204e-15
"Myh9",2.35424334204762e-19,-0.108081993979415,0.33,0.277,5.89573160148986e-15
"Gfm2",2.82596179913109e-19,-0.0306141266333606,0.303,0.237,7.07705613356399e-15
"Kcnip4",3.08920604317157e-19,0.0917594573414784,0.333,0.256,7.73629869391457e-15
"Cacna1a",3.57860377691308e-19,-0.655431071620243,0.196,0.269,8.96189743852344e-15
"Mlxipl",4.54355565976978e-19,-0.114940615145675,0.34,0.285,1.13784264387615e-14
"Usp34",1.35036559639093e-18,0.166078495472358,0.459,0.347,3.38172056304181e-14
"Sf3b1",1.55447458086043e-18,0.0961973716737887,0.464,0.365,3.89287069284878e-14
"Sltm",2.03028646110249e-18,-0.0718176508634589,0.461,0.392,5.08444638453898e-14
"Ankhd1",2.26101697863053e-18,0.162264562211361,0.405,0.303,5.66226481958445e-14
"Glg1",4.39413816447077e-18,0.00363663771357414,0.465,0.383,1.10042402052841e-13
"Ash1l",5.89015035459009e-18,0.104060932730651,0.479,0.377,1.4750703533e-13
"Srsf2",6.3302321225767e-18,-0.0372050335246865,0.271,0.212,1.58528003045688e-13
"Birc6",7.58810711075254e-18,-0.0148420860405389,0.363,0.294,1.90028966374576e-13
"Slc11a1",7.91406565049055e-18,0.233725748057764,0.28,0.184,1.98191946085235e-13
"Maml2",8.4102443016525e-18,-0.0753891819726582,0.649,0.582,2.10617748046284e-13
"Arhgap17",8.69858437024883e-18,-0.120268442184363,0.433,0.383,2.17838648384142e-13
"Nipbl",9.20531961872919e-18,0.131570705707349,0.549,0.437,2.30528819211835e-13
"Selplg",9.46085385582667e-18,0.238230385905172,0.575,0.443,2.36928163111467e-13
"Arglu1",9.60316023016083e-18,0.190567555867333,0.547,0.426,2.40491941643918e-13
"Luc7l3",1.01171784813794e-17,0.0194156733179622,0.293,0.225,2.53364500709185e-13
"Kansl1",1.08065433262718e-17,0.0301770707424751,0.652,0.555,2.70628264519825e-13
"Cd33",1.08629011793432e-17,0.0921055532678496,0.299,0.219,2.72039634234291e-13
"Gm26573",1.19686805374612e-17,-0.0870270519973246,0.451,0.385,2.99731666699641e-13
"Gm20275",1.21391759313816e-17,-0.112620704949325,0.426,0.359,3.04001382849589e-13
"Gnaq",1.29752963161707e-17,-0.0231521165171276,0.659,0.579,3.24940345645862e-13
"Trappc8",1.35870726519693e-17,-0.0817468887039794,0.261,0.218,3.40261060423268e-13
"Tra2a",1.48508977299659e-17,0.154333892833335,0.417,0.312,3.71911031851535e-13
"Ppcdc",1.70243379595608e-17,0.0398451115152607,0.402,0.316,4.26340495521282e-13
"Gm26904",1.79578619727019e-17,-0.0427500526311861,0.321,0.256,4.49718737382374e-13
"Srsf5",1.99469872856316e-17,0.142811733948422,0.377,0.28,4.99532402594071e-13
"Ccnd3",1.99759713222021e-17,0.156803788605179,0.697,0.579,5.00258249821906e-13
"Nisch",2.12755700048227e-17,0.0453280872502768,0.403,0.311,5.32804099630774e-13
"Tnrc6c",2.32166933151489e-17,-0.106209539603049,0.387,0.337,5.81415650691274e-13
"Rbm6",2.36889114250196e-17,0.175433077431567,0.411,0.305,5.93241408816766e-13
"Cux1",2.37295010080556e-17,0.00656666234388492,0.588,0.5,5.94257893744737e-13
"Rnf216",2.57885872602561e-17,-0.0825036681920861,0.626,0.548,6.45823590758593e-13
"Arid4a",2.84005492989717e-17,0.22916678002248,0.311,0.213,7.11234956094149e-13
