,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
Gm42418,6.76E-89,-0.876301954,0.894,0.906,1.69E-84
Clk1,9.32E-88,-0.3193187,0.461,0.347,2.33E-83
Ankrd11,1.55E-82,-0.016578948,0.551,0.368,3.87E-78
Smap2,7.13E-81,-0.13463898,0.576,0.418,1.79E-76
Ambra1,1.05E-80,0.149179681,0.442,0.241,2.64E-76
Btaf1,6.43E-80,0.194981478,0.388,0.196,1.61E-75
Nf1,1.12E-79,0.040813885,0.539,0.344,2.79E-75
Ppcdc,2.92E-79,0.106037999,0.402,0.224,7.30E-75
Trem2,6.68E-79,0.12385947,0.391,0.214,1.67E-74
Fus,5.03E-78,0.233140433,0.526,0.301,1.26E-73
Pias1,5.24E-78,0.078627077,0.434,0.258,1.31E-73
Dnm2,6.30E-78,-0.005517241,0.385,0.23,1.58E-73
Csf3r,9.16E-78,0.466978936,0.6,0.325,2.30E-73
Sf3b1,2.13E-77,0.185166298,0.464,0.262,5.35E-73
Ap3b1,3.45E-77,0.082824916,0.389,0.218,8.64E-73
Wdfy3,2.14E-76,0.041052071,0.474,0.297,5.36E-72
Nek7,4.52E-76,-0.026450733,0.478,0.315,1.13E-71
Tra2a,1.82E-75,0.155699421,0.417,0.229,4.56E-71
Tmem135,3.19E-75,-0.10365119,0.433,0.287,7.98E-71
Laptm5,4.56E-75,-0.435429838,0.372,0.299,1.14E-70
Chd7,1.23E-74,0.234941911,0.482,0.271,3.08E-70
Nipbl,2.47E-74,0.105147167,0.549,0.352,6.19E-70
Tnrc6c,6.39E-74,-0.009244818,0.387,0.235,1.60E-69
Ski,3.10E-73,0.009380069,0.4,0.242,7.76E-69
Cyth4,5.03E-73,-0.058830911,0.629,0.459,1.26E-68
Tmsb4x,5.28E-73,-0.044739974,0.59,0.41,1.32E-68
Sparc,6.78E-73,-0.420807326,0.32,0.253,1.70E-68
Arhgap12,7.46E-73,-0.153046927,0.391,0.266,1.87E-68
Eif4g3,7.73E-73,-0.074032939,0.458,0.304,1.94E-68
Herc2,9.25E-73,0.062595271,0.469,0.293,2.32E-68
C1qb,9.45E-73,-0.222975384,0.593,0.454,2.37E-68
Vsir,1.70E-72,-0.239464822,0.385,0.278,4.27E-68
Asph,1.79E-72,0.081615036,0.476,0.287,4.48E-68
Rrbp1,2.36E-72,-0.013554986,0.599,0.419,5.91E-68
Sipa1l2,3.20E-72,0.015719428,0.416,0.259,8.02E-68
Ttc28,6.14E-72,-0.154218032,0.492,0.356,1.54E-67
Soga1,2.07E-71,0.010651789,0.366,0.219,5.19E-67
Ash1l,2.77E-71,0.104721968,0.479,0.297,6.95E-67
Fcrls,3.43E-71,0.002811421,0.38,0.226,8.59E-67
Retreg1,3.88E-71,0.127405882,0.45,0.263,9.71E-67
Camk1,5.05E-71,0.019798405,0.336,0.197,1.26E-66
Arid1b,6.10E-71,-0.055427945,0.465,0.311,1.53E-66
Rock2,9.58E-71,-0.019987586,0.444,0.286,2.40E-66
Setd5,2.43E-70,0.03769684,0.411,0.253,6.09E-66
Stard9,2.71E-70,0.027494809,0.406,0.251,6.78E-66
Gnaq,3.25E-70,0.033970183,0.659,0.466,8.14E-66
Uvrag,6.80E-70,-0.017125541,0.475,0.318,1.70E-65
Cux1,1.81E-69,0.256165004,0.588,0.356,4.52E-65
Mtdh,2.32E-69,-0.034696529,0.533,0.365,5.82E-65
C1qa,2.58E-69,0.000153693,0.656,0.449,6.45E-65
Arhgap17,3.64E-69,-0.064140803,0.433,0.292,9.12E-65
Zfp148,3.71E-69,-0.009529279,0.356,0.216,9.29E-65
Nckap1l,6.49E-69,-0.037757919,0.412,0.269,1.63E-64
Tcf12,1.02E-68,0.059739082,0.464,0.288,2.55E-64
Sppl3,1.04E-68,0.09923381,0.407,0.241,2.60E-64
Adap2,1.11E-68,-0.056512418,0.634,0.462,2.78E-64
Pros1,1.40E-68,0.037674334,0.362,0.215,3.50E-64
Pwwp2a,1.80E-68,-0.093978578,0.407,0.275,4.50E-64
Lair1,2.12E-68,-0.173693504,0.62,0.476,5.32E-64
Plekho1,2.73E-68,-0.004728355,0.378,0.236,6.84E-64
Camk2d,2.76E-68,0.133641533,0.582,0.377,6.91E-64
Akap13,2.84E-68,-0.111019747,0.591,0.441,7.11E-64
Fnbp1,2.91E-68,-0.059411023,0.472,0.32,7.30E-64
Birc6,2.93E-68,-0.023062747,0.363,0.223,7.34E-64
Rbm26,3.41E-68,-0.137070121,0.492,0.361,8.54E-64
Jmjd1c,3.48E-68,-0.137340151,0.615,0.464,8.72E-64
Mgat4a,3.84E-68,-0.114888811,0.457,0.324,9.63E-64
Rere,4.61E-68,0.027406734,0.613,0.425,1.16E-63
Fmnl3,6.21E-68,0.214931823,0.337,0.171,1.55E-63
Fam105a,6.21E-68,-0.082515584,0.567,0.413,1.55E-63
Srsf11,6.61E-68,0.158290126,0.36,0.194,1.66E-63
Map4k4,6.89E-68,-0.033976423,0.48,0.332,1.72E-63
Dgkd,8.12E-68,-0.059739777,0.394,0.257,2.03E-63
Itch,8.57E-68,0.081935911,0.424,0.257,2.15E-63
Dnmt3a,1.06E-67,0.164762909,0.49,0.292,2.67E-63
Ppm1h,1.32E-67,0.184401089,0.652,0.427,3.31E-63
Srsf7,1.44E-67,0.344725649,0.444,0.232,3.61E-63
Clasp2,1.69E-67,-0.102085456,0.49,0.351,4.23E-63
Usp34,2.01E-67,0.083710456,0.459,0.284,5.04E-63
Vps13b,2.51E-67,0.06057248,0.436,0.266,6.29E-63
Phf21a,3.66E-67,0.002212082,0.496,0.33,9.17E-63
