"","X","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","Gene"
"1","Gm42418",6.76e-89,-0.876301954,0.894,0.906,1.69e-84,"Gm42418"
"2","Laptm5",4.56e-75,-0.435429838,0.372,0.299,1.14e-70,"Laptm5"
"3","Tmsb4x",5.28e-73,-0.044739974,0.59,0.41,1.32e-68,"Tmsb4x"
"4","Sparc",6.78e-73,-0.420807326,0.32,0.253,1.7e-68,"Sparc"
"5","Arhgap12",7.46e-73,-0.153046927,0.391,0.266,1.87e-68,"Arhgap12"
"6","Ivns1abp",6.15e-66,-0.345003353,0.648,0.554,1.54e-61,"Ivns1abp"
"7","Pvt1",1.24e-65,0.361185295,0.479,0.26,3.11e-61,"Pvt1"
"8","H2-K1",4.23e-65,0.564743375,0.337,0.13,1.06e-60,"H2-K1"
"9","Pld4",2.3e-64,-0.495371501,0.354,0.316,5.77e-60,"Pld4"
"10","H2-D1",2.44e-64,0.604334741,0.39,0.165,6.12e-60,"H2-D1"
"11","Fkbp5",1.03e-62,-0.616443313,0.407,0.406,2.58e-58,"Fkbp5"
"12","Ctsz",6.08e-62,0.2423574,0.402,0.22,1.52e-57,"Ctsz"
"13","Cotl1",8.65e-62,0.294138286,0.298,0.137,2.17e-57,"Cotl1"
"14","Gm44511",9.87e-62,-0.379698652,0.485,0.43,2.47e-57,"Gm44511"
"15","Serinc3",3.31e-61,-0.191895881,0.613,0.491,8.29e-57,"Serinc3"
"16","C230088H06Rik",1.03e-59,0.125058575,0.294,0.154,2.57e-55,"C230088H06Rik"
"17","Maf",5.9e-59,-0.355681839,0.344,0.277,1.48e-54,"Maf"
"18","Apoe",1.85e-58,0.721584397,0.602,0.326,4.62e-54,"Apoe"
"19","Lamp2",6.32e-58,0.169489287,0.35,0.197,1.58e-53,"Lamp2"
"20","Selplg",1.49e-56,-0.096709041,0.575,0.428,3.73e-52,"Selplg"
"21","Picalm",3.1e-55,-0.299705205,0.61,0.522,7.76e-51,"Picalm"
"22","AY036118",3.44e-55,-0.311452648,0.667,0.575,8.61e-51,"AY036118"
"23","Arglu1",5.25e-55,-0.227865988,0.547,0.442,1.31e-50,"Arglu1"
"24","Cmss1",9.24e-55,-0.502726967,0.645,0.619,2.31e-50,"Cmss1"
"25","Gm16599",4.93e-54,0.230995185,0.46,0.278,1.23e-49,"Gm16599"
"26","Tlr7",5.93e-54,-0.228075884,0.449,0.367,1.49e-49,"Tlr7"
"27","Nfia",2.33e-53,-0.228459883,0.551,0.456,5.84e-49,"Nfia"
"28","P3h2",2.96e-52,-0.434589828,0.422,0.383,7.42e-48,"P3h2"
"29","Fam196b",6.55e-52,0.22542684,0.501,0.316,1.64e-47,"Fam196b"
"30","Cd9",6.58e-52,0.306784578,0.381,0.204,1.65e-47,"Cd9"
"31","Pid1",1.41e-50,-0.326892442,0.495,0.413,3.52e-46,"Pid1"
"32","Ktn1",1.11e-49,-0.231948223,0.326,0.251,2.78e-45,"Ktn1"
"33","Fbrsl1",1.52e-49,0.250358729,0.319,0.169,3.8e-45,"Fbrsl1"
"34","Arhgap24",1.25e-48,0.326174227,0.367,0.193,3.13e-44,"Arhgap24"
"35","Ccnd3",1.51e-47,-0.24105339,0.697,0.609,3.79e-43,"Ccnd3"
"36","Rassf3",3.17e-44,0.310007208,0.355,0.199,7.94e-40,"Rassf3"
"37","Cst3",4.3e-44,-0.443456362,0.78,0.702,1.08e-39,"Cst3"
"38","Dgkz",1.11e-42,0.296477753,0.263,0.128,2.77e-38,"Dgkz"
"39","Cacnb2",2.05e-42,-0.264619302,0.503,0.418,5.14e-38,"Cacnb2"
"40","Mitf",2.06e-41,0.377568403,0.574,0.37,5.17e-37,"Mitf"
"41","Ttr",2.04e-35,-1.052416653,0.171,0.333,5.12e-31,"Ttr"
"42","Cdk6",2.39e-33,0.122557264,0.261,0.155,5.99e-29,"Cdk6"
"43","Csmd3",4.72e-33,-0.400569605,0.827,0.806,1.18e-28,"Csmd3"
"44","Apbb2",5.75e-30,0.304913418,0.389,0.244,1.44e-25,"Apbb2"
"45","Snhg11",1.55e-29,0.382473657,0.482,0.295,3.88e-25,"Snhg11"
"46","Gm20663",2.18e-26,0.40426237,0.429,0.284,5.45e-22,"Gm20663"
"47","Lrmda",1.73e-19,0.289951447,0.894,0.79,4.34e-15,"Lrmda"
"48","Fgf13",1.42e-15,0.256462514,0.467,0.352,3.55e-11,"Fgf13"
"49","mt-Atp6",2.06e-14,-0.400550714,0.247,0.25,5.16e-10,"mt-Atp6"
