"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Pacrg",0,-2.12885829236815,0.25,0.694,0
"Map7",0,-1.63967051987513,0.397,0.838,0
"Mag",0,-1.50282933833194,0.258,0.688,0
"Arap2",0,2.28500315396251,0.713,0.296,0
"Mog",0,-1.69513319477432,0.232,0.639,0
"Gm16168",0,-2.15347116894267,0.184,0.59,0
"Aspa",0,-1.66958790696283,0.254,0.649,0
"Rnf220",0,-1.60291317609263,0.417,0.8,0
"Plp1",0,-1.68708749541538,0.601,0.981,0
"Dscaml1",0,-1.48049315477843,0.327,0.701,0
"Ano4",0,-1.41738059703467,0.412,0.783,0
"Prr5l",0,-1.17256117052871,0.522,0.882,0
"Enpp2",0,-1.39376106202063,0.428,0.785,0
"Sept7",0,-1.54791987726071,0.34,0.692,0
"Arhgap23",0,-1.30379682259399,0.331,0.669,0
"Ptgds",0,-2.63524553052857,0.081,0.413,0
"Mbp",0,-1.27384966422669,0.633,0.963,0
"1700047M11Rik",0,-2.02315023047532,0.143,0.472,0
"Ctnna3",0,-1.22699977134065,0.393,0.713,0
"C030029H02Rik",0,-1.57428074200685,0.212,0.53,0
"Aatk",0,-1.6549438248105,0.173,0.491,0
"St6galnac3",0,-1.24123599235819,0.547,0.858,0
"A230001M10Rik",0,-1.88998093372785,0.139,0.444,0
"Ninj2",0,-2.46050424277852,0.083,0.386,0
"Tubb4a",0,-1.34673892046964,0.244,0.546,0
"Fa2h",0,-1.44120070742237,0.221,0.515,0
"Mal",0,-1.86972953554533,0.143,0.437,0
"Shtn1",0,-1.48320490053304,0.235,0.529,0
"Kcnq3",0,-1.16564550319527,0.354,0.647,0
"Abca1",0,2.48391100447338,0.396,0.106,0
"Anln",0,-1.97860171182204,0.102,0.385,0
"Ppp1r16b",0,-1.033420002123,0.37,0.653,0
"Ypel2",0,-1.28185709210029,0.28,0.563,0
"Cldn11",0,-1.65684432340396,0.144,0.42,0
"Mobp",0,-0.961201863362605,0.422,0.698,0
"Ttll7",0,-1.13113760736587,0.336,0.611,0
"Abca8a",0,-2.64587252473589,0.055,0.326,0
"Pde8a",0,-1.26816716260639,0.286,0.556,0
"Phldb1",0,-1.35359752712475,0.225,0.495,0
"Ugt8a",0,-1.22843424526645,0.263,0.532,0
"AC110241.2",0,-1.87693797468772,0.121,0.388,0
"Nbas",0,-1.25602250829719,0.27,0.533,0
"Prickle2",0,-1.02216724959796,0.488,0.751,0
"Srcin1",0,-2.02646434895444,0.1,0.359,0
"Gm4593",0,-1.24625713859693,0.217,0.474,0
"Sept4",0,-1.40465853969568,0.198,0.453,0
"Mast3",0,-1.04458448831485,0.282,0.536,0
"Sec14l5",0,-0.953285485238008,0.343,0.596,0
"Plekhg1",0,-1.47546302212734,0.174,0.426,0
"Exoc4",0,1.32105631044078,0.63,0.38,0
"Slc8a1",0,-0.949390910651391,0.442,0.692,0
"St18",0,-1.01463824108149,0.686,0.934,0
"Plekhh1",0,-1.29176460144042,0.205,0.452,0
"Clasp2",0,-0.912786306635023,0.448,0.695,0
"Grm3",0,-0.81757576052564,0.532,0.776,0
"Epb41l3",0,-2.02858467169014,0.09,0.333,0
"Clmn",0,-1.27410125267814,0.218,0.459,0
"Car2",0,-0.954175425923085,0.358,0.598,0
"Daam1",0,-1.40503983259705,0.19,0.43,0
"Dip2c",0,1.62569127315697,0.495,0.255,0
"Atp8a1",0,-0.959642077132307,0.427,0.666,0
"Hapln2",0,-1.71645295973193,0.116,0.353,0
"Limch1",0,-1.01145453012409,0.357,0.593,0
"Cntn2",0,-1.46368416281481,0.142,0.377,0
"Ank3",0,-0.877978250278033,0.569,0.802,0
"Dip2a",0,-1.31951672447088,0.207,0.439,0
"Pak7",0,-0.872608056925608,0.441,0.672,0
"Phactr1",0,-0.981135342067868,0.335,0.564,0
"Park2",0,-1.16837557668814,0.255,0.482,0
"Slc13a1",0,-2.57772273005657,0.057,0.283,0
"Gab2",0,1.81531247561378,0.362,0.137,0
"Sez6l2",0,-1.71189089196759,0.113,0.337,0
"Cdc37l1",0,-0.7942972251207,0.48,0.704,0
"Kirrel3",0,1.06117249183143,0.701,0.477,0
"Sorcs1",0,-0.89209989153944,0.383,0.607,0
"Tmem178b",0,-0.852213503856156,0.465,0.687,0
"Kif21a",0,-0.984218001776281,0.299,0.52,0
"Il33",0,-0.932804485282435,0.207,0.427,0
"Gm11149",0,-1.13914256973894,0.249,0.469,0
"Zdhhc20",0,-1.1314094979756,0.263,0.482,0
"Daam2",0,-0.964863351602453,0.286,0.504,0
"Pvt1",0,1.56627749034902,0.403,0.185,0
"Trim2",0,-0.855641177205151,0.366,0.58,0
"Frmd4b",0,-0.836413857610708,0.382,0.595,0
"Gatm",0,-0.90702530286415,0.309,0.521,0
