p_val,avg_log2FC,pct.1,pct.2,p_val_adj,Gene
1.72E-39,0.177286845,0.478,0.36,4.31E-35,Abca1
1.22E-08,-0.001669075,0.332,0.297,0.000305013,Adgrl3
2.94E-26,0.166849174,0.307,0.225,7.37E-22,Aff2
2.94E-29,-0.248097228,0.359,0.351,7.36E-25,Ano4
3.16E-33,-0.319379514,0.255,0.262,7.90E-29,Aplp1
2.63E-13,-0.334841119,0.246,0.287,6.59E-09,Apod
1.27E-35,0.182233217,0.365,0.268,3.18E-31,Arhgef12
3.33E-27,0.166185992,0.349,0.263,8.33E-23,Arid5b
3.28E-20,0.065874303,0.509,0.435,8.22E-16,Cadm1
4.39E-37,0.300584928,0.318,0.212,1.10E-32,Cdk12
2.17E-15,-0.279085129,0.332,0.347,5.43E-11,Ctnna3
1.90E-46,-0.469245212,0.23,0.261,4.76E-42,Daam2
2.77E-21,0.173394943,0.3,0.227,6.93E-17,Ddhd1
2.03E-23,0.002238478,0.552,0.477,5.08E-19,Dip2c
3.19E-28,0.176646891,0.259,0.186,7.98E-24,Dusp10
1.15E-43,-0.2339924,0.391,0.363,2.89E-39,Enpp2
1.05E-25,-0.011927363,0.685,0.611,2.63E-21,Exoc4
1.19E-15,0.030403922,0.338,0.291,2.98E-11,Frmd4a
1.17E-31,0.12335772,0.441,0.345,2.93E-27,Gab2
1.18E-18,-0.490503491,0.233,0.272,2.95E-14,Grm7
1.84E-54,0.409025614,0.354,0.214,4.62E-50,H3f3b
5.97E-36,-0.043528616,0.388,0.323,1.49E-31,Lrrc8b
8.86E-20,0.0415678,0.31,0.258,2.22E-15,Lrrc8c
1.59E-22,0.293968145,0.287,0.202,3.97E-18,Maml3
2.62E-37,-0.388476191,0.338,0.352,6.56E-33,Map7
2.94E-37,-0.423038618,0.551,0.615,7.35E-33,Mbp
1.05E-29,-0.215775532,0.377,0.361,2.64E-25,Mobp
1.51E-24,0.361303933,0.392,0.282,3.78E-20,Nav2
4.86E-92,-0.824683181,0.501,0.62,1.22E-87,Plp1
3.81E-39,0.155161526,0.35,0.257,9.54E-35,Prrc2c
5.97E-62,-0.681870395,0.27,0.343,1.49E-57,Ptn
4.42E-44,0.361626192,0.502,0.354,1.11E-39,Pvt1
1.28E-29,0.23478782,0.279,0.195,3.20E-25,Rnf169
6.18E-67,-0.519566268,0.436,0.46,1.55E-62,Scd2
1.57E-17,0.218072338,0.429,0.332,3.94E-13,Snhg11
8.21E-21,-0.032443632,0.421,0.374,2.06E-16,Tanc2
1.18E-16,-0.460688981,0.205,0.274,2.95E-12,Tenm2
4.67E-13,0.280718145,0.25,0.183,1.17E-08,Tenm4
0,3.180500989,0.58,0.006,0,Ttr
