"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Xist",0,3.04625341657673,0.486,0.001,0
"Ttr",2.36908015015024e-269,1.94094730467662,0.58,0.209,5.93288742002124e-265
"Gm42418",9.34348309025563e-96,0.62103416122693,0.912,0.846,2.33988847029272e-91
"mt-Co3",1.9533678808903e-53,0.791126479734825,0.491,0.32,4.89181918411358e-49
"mt-Co1",3.53838179574334e-47,0.788385512327035,0.438,0.28,8.86116953108005e-43
"mt-Atp6",6.15365183225955e-42,0.607700084289844,0.439,0.284,1.54105902835276e-37
"mt-Cytb",2.54673124373701e-38,0.683965607102059,0.355,0.22,6.37777905369059e-34
"mt-Co2",3.3784416474171e-38,0.679518035942479,0.4,0.259,8.46063141762665e-34
"Cdh2",3.0623622663919e-37,-0.536006187885107,0.159,0.286,7.66907382372524e-33
"Gm44511",6.30625432362797e-33,-0.062735476470394,0.251,0.336,1.57927527026615e-28
"mt-Nd4",8.71573830095898e-33,0.636897410444588,0.267,0.149,2.18268234270916e-28
"Lsamp",9.30275311524487e-32,-0.0521512695980868,0.264,0.358,2.32968846265077e-27
"Camk1d",1.94878034758733e-27,0.499332915154861,0.359,0.275,4.88033062446294e-23
"Celf2",1.79679562109741e-26,-0.264639887786302,0.19,0.283,4.49971527391425e-22
"Sorcs1",1.14766324578878e-25,-0.304408268908832,0.34,0.462,2.87409306642885e-21
"Gm26936",2.01214196830416e-23,-0.377272341722222,0.239,0.349,5.03900713122411e-19
"Rbm39",7.70373688130312e-23,-0.249053586232874,0.524,0.643,1.92924682718474e-18
"Tenm2",1.36666293061723e-22,-0.308429889929793,0.205,0.302,3.42253397714472e-18
"Arglu1",4.41813211788833e-22,-0.193217310897505,0.26,0.349,1.10643282628277e-17
"Gria2",2.38065955718306e-21,-0.0358604362285999,0.23,0.294,5.96188572905355e-17
"Rsrp1",3.50786956654242e-21,-0.186226245209209,0.433,0.537,8.78475775549219e-17
"Neat1",8.76996022759193e-21,-0.333299392169248,0.815,0.857,2.19626113979585e-16
"Dock1",1.14613004326513e-20,0.204648513778737,0.725,0.734,2.87025346734887e-16
"R3hdm1",1.36427688702382e-20,-0.115455932746314,0.278,0.355,3.41655860817375e-16
"Sik3",2.12934710914421e-20,0.142375932581651,0.63,0.66,5.33252396542984e-16
"Kcnip4",3.04745911217685e-20,-0.133071727571252,0.24,0.318,7.63175185462449e-16
"Vps13a",4.56629280380895e-20,-0.0538434904337115,0.204,0.263,1.14353670685787e-15
"Sltm",5.13271551526746e-20,-0.131450608629412,0.336,0.419,1.28538594648843e-15
"Srsf5",6.31202271185418e-20,-0.23139796814107,0.173,0.251,1.58071984772964e-15
"Gm26804",7.57179205205672e-20,-0.110214298411777,0.487,0.586,1.89620388359656e-15
"Son",8.61315435786619e-20,-0.174930504277778,0.519,0.626,2.15699224584043e-15
"Opcml",2.25076163079339e-19,-0.120861769305733,0.28,0.351,5.63658235199589e-15
"Gm26694",2.33148610805279e-19,-0.193928455983219,0.223,0.302,5.83874066039659e-15
"Ube3a",3.09906130661184e-19,0.0040895806679988,0.243,0.292,7.76097923014802e-15
"Hnrnpu",5.99528781501594e-19,0.0271023246021147,0.32,0.367,1.50139992751444e-14
"Srrm2",1.23297218243051e-18,0.0363473111894397,0.517,0.571,3.08773223646073e-14
"Dock10",1.82580643084675e-18,-0.246209790376711,0.88,0.908,4.57236704476952e-14
"Frmd4b",2.90510919365229e-18,0.0903091598328443,0.367,0.408,7.27526495366344e-14
"Cmss1",3.38721716484993e-18,0.284670331394492,0.628,0.581,8.48260794593368e-14
