,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,Gene
16,1.09E-12,0.13019504,0.478,0.495,2.72E-08,Abca1
8,1.05E-14,0.251739052,0.332,0.33,2.62E-10,Adgrl3
41,0.001278645,0.10680298,0.307,0.298,1,Aff2
35,2.34E-06,-0.013114378,0.359,0.397,0.058722921,Ano4
28,4.14E-08,-0.130930079,0.255,0.308,0.001036061,Aplp1
25,8.91E-09,-0.131136557,0.246,0.304,0.000223215,Apod
23,3.99E-09,0.149657376,0.365,0.366,9.98E-05,Arhgef12
38,1.93E-05,0.130798071,0.349,0.346,0.484440365,Arid5b
13,2.73E-13,-0.371215416,0.187,0.264,6.83E-09,Aspa
4,3.18E-16,0.080032881,0.509,0.553,7.95E-12,Cadm1
18,5.52E-11,0.190691079,0.318,0.314,1.38E-06,Cdk12
31,1.66E-07,-0.165457589,0.332,0.392,0.004157502,Ctnna3
7,3.14E-15,-0.252830815,0.23,0.313,7.85E-11,Daam2
19,5.75E-11,0.221668761,0.3,0.303,1.44E-06,Ddhd1
36,3.08E-06,0.076948533,0.552,0.568,0.077015232,Dip2c
17,3.11E-11,0.170710645,0.259,0.264,7.79E-07,Dusp10
42,0.017671706,-0.04467961,0.391,0.419,1,Enpp2
20,1.26E-10,0.054744177,0.685,0.722,3.15E-06,Exoc4
12,1.53E-13,0.171056492,0.338,0.348,3.83E-09,Frmd4a
30,1.58E-07,0.17672737,0.441,0.426,0.003950394,Gab2
26,2.82E-08,-0.246073447,0.233,0.291,0.000706966,Grm7
43,0.335697315,-0.113920381,0.354,0.357,1,H3f3b
22,2.18E-09,0.162293072,0.388,0.393,5.45E-05,Lrrc8b
11,1.47E-13,0.176658106,0.31,0.323,3.69E-09,Lrrc8c
27,3.40E-08,0.261751688,0.287,0.263,0.00085127,Maml3
33,6.43E-07,-0.14914952,0.338,0.395,0.016110252,Map7
6,2.71E-15,0.041435212,0.229,0.268,6.79E-11,Mast3
34,1.83E-06,-0.187064606,0.551,0.613,0.04591124,Mbp
32,1.85E-07,-0.134874002,0.377,0.437,0.004644669,Mobp
10,8.55E-14,0.360461555,0.392,0.355,2.14E-09,Nav2
37,3.61E-06,-0.205070669,0.202,0.25,0.09046648,Pacrg
9,1.08E-14,-0.365381652,0.501,0.588,2.72E-10,Plp1
5,2.15E-15,-0.270883062,0.27,0.36,5.39E-11,Ptn
15,6.20E-13,0.294289955,0.502,0.467,1.55E-08,Pvt1
14,5.37E-13,0.118509331,0.279,0.299,1.35E-08,Rnf169
29,1.48E-07,-0.092499056,0.436,0.495,0.003700791,Scd2
39,3.20E-05,-0.183676489,0.227,0.273,0.801667394,Sgk1
24,6.33E-09,-0.146972579,0.429,0.496,0.000158533,Snhg11
21,2.64E-10,0.091894268,0.421,0.446,6.62E-06,Tanc2
3,1.37E-22,-0.30842989,0.205,0.302,3.42E-18,Tenm2
40,4.39E-05,-0.13367219,0.25,0.294,1,Tenm4
2,2.37E-269,1.940947305,0.58,0.209,5.93E-265,Ttr
