"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Ttr",0,-2.55908465236897,0.006,0.435,0
"Xist",0,3.18545062824589,0.463,0.001,0
"Plcl1",7.34589674809104e-78,-0.601913164366471,0.733,0.85,1.83963292262444e-73
"1700047M11Rik",7.65568097984702e-77,-1.11003114195459,0.094,0.265,1.91721218778309e-72
"Aspa",2.22621932518027e-72,-0.963314861628098,0.196,0.393,5.57512105604895e-68
"Mbp",4.50004233067716e-72,-0.596106380740669,0.615,0.775,1.12694560087148e-67
"St6galnac3",2.21614197133528e-69,-0.732338013725587,0.461,0.637,5.54988433881493e-65
"Ano4",1.25883033207189e-66,-0.740854446034115,0.351,0.554,3.15248880060762e-62
"Plp1",1.30568109060634e-63,-0.799922560918236,0.62,0.72,3.26981715520546e-59
"Kcnip4",2.06164686488725e-60,0.857470989467298,0.358,0.196,5.16298224373715e-56
"Enpp2",7.18451741163045e-58,-0.678835917809328,0.363,0.55,1.79921869539461e-53
"Map7",4.35880117129726e-55,-0.734012453069166,0.352,0.519,1.09157457732797e-50
"Mag",1.6552111352264e-53,-0.773941179338188,0.235,0.409,4.14514524594748e-49
"Mobp",3.58021749601404e-53,-0.699018756542388,0.361,0.527,8.96593867526796e-49
"Mog",2.33107580497643e-52,-0.850821780736929,0.189,0.351,5.83771313840246e-48
"Celf2",1.37578983405108e-51,0.755215495787091,0.311,0.171,3.44539048141412e-47
"Ctnna3",7.63805513131465e-50,-0.65948533352541,0.347,0.519,1.91279814653513e-45
"Mast3",1.39427261226416e-49,-0.762339348222166,0.24,0.405,3.49167690289314e-45
"Pacrg",5.60205266926006e-49,-0.885873569942195,0.207,0.355,1.4029220499628e-44
"C030029H02Rik",5.32002305033186e-48,-0.811026178173678,0.178,0.333,1.33229337249461e-43
"Slc24a2",2.03177107813084e-44,-0.368101189887265,0.803,0.887,5.08816431096307e-40
"Clmn",1.69688991290863e-41,-0.747479489201897,0.162,0.303,4.24952140889708e-37
"Lrp1b",3.535588951154e-39,-0.317150341220502,0.821,0.897,8.85417541037495e-35
"Igf1r",1.77438017232616e-37,0.678051993828316,0.405,0.275,4.44358026555641e-33
"mt-Co3",6.84258235635813e-37,-0.771305059218379,0.307,0.436,1.71358789950277e-32
"Aplp1",1.24929729758857e-36,-0.682320556471915,0.262,0.398,3.12861522235106e-32
"Edil3",5.18009725180374e-36,-0.331947400053771,0.766,0.865,1.29725175476921e-31
"mt-Co1",2.95600348250076e-34,-0.790916484278901,0.299,0.412,7.40271952122665e-30
"Abca1",4.88755492866219e-34,0.676031906130673,0.36,0.241,1.22399038078487e-29
"Cdc37l1",4.98604298688256e-34,-0.526582127472611,0.434,0.558,1.248654745205e-29
"Sgk1",1.11203597132624e-33,-0.633900986829521,0.21,0.342,2.78487168299229e-29
"mt-Atp6",1.37533713193937e-33,-0.809760527087086,0.29,0.403,3.44425677951576e-29
"Exoc4",3.85263441309111e-33,0.461610487479776,0.611,0.499,9.64815236070407e-29
"Lsamp",9.58000073421971e-33,0.598852394064865,0.396,0.272,2.39911958387064e-28
"Ermn",1.34886709526833e-31,-0.679306934090933,0.173,0.292,3.37796786668048e-27
"Gm16168",2.37192559733672e-31,-0.7493917365641,0.159,0.275,5.94001327341035e-27
"mt-Co2",3.54250451024168e-31,-0.734163791100529,0.263,0.377,8.87149404499823e-27
"Adgrl3",1.99914169209928e-30,0.710709760148547,0.297,0.186,5.00645053952422e-26
"Gab2",1.6243704602636e-29,0.626126986701521,0.345,0.224,4.06791094363814e-25
"Ptprd",2.52353634958981e-29,-0.332585062862104,0.753,0.843,6.31969208027776e-25
"Prickle2",1.90452137771927e-28,-0.462350001120625,0.443,0.57,4.76949288622237e-24
"Gm11149",2.24302091500313e-28,-0.64436440735783,0.19,0.303,5.61719727744234e-24
"Tmod2",2.72111241327904e-28,-0.551253788773416,0.298,0.414,6.81448181657469e-24
"Grb14",9.84671134299368e-28,-0.570847653825224,0.213,0.333,2.46591192162591e-23
"Lrrc8c",5.35771792127743e-27,0.619137905641888,0.258,0.15,1.34173329902551e-22
"Tmem178b",4.45202160595446e-26,-0.455825928453468,0.391,0.508,1.11491977077918e-21
"Ncam1",3.16449195703828e-25,-0.350788428094895,0.606,0.709,7.92483720801096e-21
"Lrrc8b",1.0760448463588e-24,0.593665741523315,0.323,0.231,2.69473910873634e-20
"Cnp",1.16567234986815e-24,-0.644612370676739,0.156,0.255,2.9191932657748e-20
"Tbc1d5",1.32230481113988e-24,-0.363992872706586,0.542,0.65,3.31144793853759e-20
"Nav2",4.65486281088019e-24,0.739941952006194,0.282,0.195,1.16571729372873e-19
"Sorcs1",4.77626035763127e-24,-0.479548971409535,0.317,0.437,1.1961188813616e-19
"Dip2c",6.71116215569361e-24,0.493457381198525,0.477,0.376,1.68067633865035e-19
"Qk",8.17314394329965e-24,-0.29594381633431,0.782,0.837,2.04680043772053e-19
"Scd2",1.91429356099312e-23,-0.41383249805966,0.46,0.566,4.79396536479507e-19
"Agap1",3.11793448659074e-23,-0.407722718288645,0.436,0.525,7.80824333476919e-19
"Plekhh1",3.99778062814437e-23,-0.55829970185906,0.173,0.274,1.00116420270619e-18
"Otud7a",5.08260049601961e-23,-0.503269534418445,0.256,0.368,1.27283564221819e-18
"Ttll7",6.80575562985532e-23,-0.489732884796649,0.309,0.416,1.70436538238467e-18
"Arhgap23",6.99751241096932e-23,-0.46022280626661,0.306,0.421,1.75238703307905e-18
"Bcas1",9.76786617716521e-23,0.415843922214339,0.511,0.474,2.44616672674748e-18
"Frmd4a",1.25604789558261e-22,0.554218946202831,0.291,0.193,3.14552074490753e-18
"St18",8.74580838035054e-22,-0.288499817102925,0.677,0.767,2.19021279269119e-17
"Apod",1.54644752579981e-21,-0.598168190466673,0.287,0.385,3.87276853886045e-17
"mt-Cytb",3.01398425941131e-21,-0.609167466414429,0.221,0.319,7.54792078084374e-17
"Gm4593",9.31017951252718e-21,-0.514667064161519,0.186,0.286,2.33154825532218e-16
"Sept4",2.00980135439034e-20,-0.530231688831373,0.161,0.254,5.03314553179973e-16
"Phlpp1",3.41782074558637e-20,-0.265098334389835,0.707,0.79,8.55924849317194e-16
"Tanc2",3.85194608614053e-20,0.484956796506745,0.374,0.284,9.64642858352174e-16
"Kif1b",4.20241992940686e-20,-0.383587189856258,0.449,0.526,1.05241202292136e-15
"Sept7",1.32907358799881e-19,-0.455857965174459,0.308,0.407,3.32839898642542e-15
"Hecw2",4.687917484696e-18,-0.295696668031792,0.558,0.653,1.17399517569242e-13
"Daam2",7.26937138415876e-18,-0.438716837766479,0.261,0.36,1.82046867573488e-13
"Prr5l",1.66303787883959e-17,-0.0797014829792206,0.523,0.617,4.16474575997798e-13
"Kcnab1",1.90206937163089e-17,-0.404049102957574,0.292,0.394,4.76335232737525e-13
"Rasal2",2.53592442658297e-17,0.509342834160093,0.251,0.169,6.35071554149174e-13
"Unc5c",3.03275109964954e-17,-0.341787944621463,0.509,0.603,7.59491857885234e-13
"Lrrtm3",3.97174630980833e-17,-0.46630135991114,0.185,0.275,9.94644428365301e-13
"A330015K06Rik",4.37376153653579e-17,-0.454834909922677,0.227,0.321,1.09532110159466e-12
"Grm3",6.83938439008139e-17,-0.29082398638616,0.514,0.617,1.71278703280808e-12
"Spock3",7.32251936908122e-17,-0.353332169809829,0.344,0.446,1.83377852559901e-12
"Snhg11",7.88888131208403e-17,0.391417293201831,0.332,0.256,1.9756125469852e-12
"Nbas",1.26853277255072e-16,-0.443275302956855,0.243,0.331,3.17678662229876e-12
"Pip4k2a",2.00405432478732e-16,-0.384694845310614,0.32,0.418,5.01875324556488e-12
"Mat2a",2.07013346237261e-16,-0.474491478114845,0.212,0.293,5.18423522981973e-12
"Grm7",2.74409339877479e-16,-0.455794393390659,0.272,0.355,6.8720330985517e-12
"Dock1",2.97071760379875e-16,0.287365443323397,0.653,0.571,7.43956809519321e-12
"Pde4b",3.12334703506462e-16,-0.0515537683018339,0.945,0.983,7.82179797991232e-12
"Mast4",5.27424800214257e-16,-0.249786295514646,0.71,0.782,1.32082992717656e-11
"Il33",6.57944196131383e-16,-0.341870248575721,0.186,0.27,1.64768965037182e-11
"Rcan2",2.15575466701964e-15,-0.297882491460503,0.27,0.363,5.3986564126173e-11
"Pvt1",2.39397090108625e-15,0.424486139004505,0.354,0.272,5.9952213275903e-11
"Bin1",4.02927447171622e-15,-0.357984281137402,0.405,0.494,1.00905120595189e-10
"Pcdh9",6.77537464333723e-15,-0.114105800570119,0.965,0.985,1.69675707193094e-10
"Magi2",8.60822366261114e-15,-0.146212348318677,0.938,0.963,2.15575745182771e-10
"Ankrd28",1.10168208165922e-14,0.346931627431821,0.535,0.466,2.75894243709919e-10
"Tubb4a",1.47949709541178e-14,-0.438305943906163,0.208,0.291,3.70510457603973e-10
"Vmp1",1.80817837119752e-14,-0.368263385318757,0.329,0.418,4.52822109498995e-10
