"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Gm42418",1.08166658284279e-260,-1.31830858672516,0.846,0.919,2.7088176234132e-256
"Plp1",9.16734866297205e-157,-1.25922408978045,0.588,0.72,2.29577912566809e-152
"Scd2",3.27683523280948e-134,-0.840899709493356,0.495,0.566,8.20617847352479e-130
"Mbp",4.29404906072421e-133,-0.832080393108366,0.613,0.775,1.07535870627716e-128
"Cmss1",1.73439376515267e-127,-0.827322938649676,0.581,0.66,4.34344230607184e-123
"Mast3",4.8193950752826e-125,-1.08184403823453,0.268,0.405,1.20692110870302e-120
"Map7",6.48819626567947e-123,-0.973339123706239,0.395,0.519,1.62483899081411e-118
"Plcl1",5.15340996714529e-120,-0.747275166934124,0.744,0.85,1.29056845807219e-115
"Ano4",1.76211839355548e-119,-0.975837295538663,0.397,0.554,4.41287309298099e-115
"Enpp2",3.92971965197545e-113,-0.86814870798064,0.419,0.55,9.84119692444212e-109
"Ttr",2.24938587440307e-111,-1.31953096839522,0.209,0.435,5.6331370452676e-107
"Kif1b",7.19706840610787e-107,-0.491639028817064,0.546,0.526,1.80236184094159e-102
"Abca1",8.91885022633725e-105,0.72312371125981,0.495,0.241,2.23354766218164e-100
"Edil3",1.41644766081394e-104,-0.640076762591679,0.756,0.865,3.54720987697636e-100
"Zbtb16",5.81811514373219e-103,-0.970136467308613,0.22,0.309,1.45703057544485e-98
"Cdc37l1",7.14727577032044e-102,-0.640927480183902,0.516,0.558,1.78989227116135e-97
"Mobp",2.69099226718694e-100,-0.779920286987334,0.437,0.527,6.73905193471625e-96
"Rcan2",6.89626739876522e-97,-0.776198296345032,0.292,0.363,1.72703224467277e-92
"Nbas",3.54227045141767e-96,-0.712541177293095,0.281,0.331,8.87090789148527e-92
"AY036118",2.43941338765656e-95,-0.632145342162482,0.505,0.531,6.10902294670831e-91
"Sept7",4.99565142822646e-94,-0.616037358891541,0.38,0.407,1.25106098717075e-89
"Ptprd",1.61755975967488e-93,-0.628043303383131,0.774,0.843,4.05085490615381e-89
"Aplp1",3.59101905901994e-93,-0.870769991905938,0.308,0.398,8.99298902950363e-89
"Ttll7",9.38677727082915e-93,-0.712092477679398,0.352,0.416,2.35073063193374e-88
"Mag",4.25031176885096e-92,-1.10728355763998,0.223,0.409,1.06440557627335e-87
"Dthd1",3.29247684497184e-90,1.06842808319035,0.268,0.081,8.24534976286298e-86
"1700047M11Rik",5.30893196748253e-90,-1.0231969446595,0.151,0.265,1.32951583261665e-85
"St6galnac3",1.12973197705714e-89,-0.653948277356469,0.573,0.637,2.8291877901442e-85
"C030029H02Rik",5.41830693651595e-89,-1.03731818381201,0.202,0.333,1.35690660611169e-84
"Rtn4",3.73567638198357e-88,-0.348838367854368,0.581,0.534,9.35525436340144e-84
"Prrc2c",1.29239356432509e-87,0.245622685255211,0.37,0.211,3.23654120313933e-83
"Srrm2",2.78419498067226e-87,0.074741180745364,0.571,0.411,6.97245949009755e-83
"Pip4k2a",5.86912263704474e-87,-0.63346260055956,0.371,0.418,1.46980438199512e-82
"Tmod2",2.44618174120548e-86,-0.626640204081234,0.373,0.414,6.12597293450088e-82
"Rnf13",1.32119159232246e-85,-0.313883155829862,0.379,0.332,3.30866010465313e-81
"Magi2",1.80273426697329e-85,-0.459257871952005,0.912,0.963,4.51458742478122e-81
"Phlpp1",2.13845037891559e-85,-0.54034077062824,0.721,0.79,5.35532128391831e-81
"Slc24a2",2.43394500927075e-84,-0.529968262649909,0.844,0.887,6.09532848671673e-80
"Grm3",3.37531702401906e-84,-0.70831683130575,0.515,0.617,8.45280642325093e-80
"Snhg11",7.38330465928714e-84,0.756462210463714,0.496,0.256,1.84900098582528e-79
"Aspa",1.08880246653464e-83,-0.927021797382429,0.264,0.393,2.7266880169427e-79
"Lrrc8c",1.57835944798099e-83,0.484047599469928,0.323,0.15,3.9526855655788e-79
"Gnao1",1.70341180042526e-83,-0.503558800437424,0.514,0.527,4.26585417180498e-79
"Hnrnpu",5.57982895370305e-83,0.11463659803405,0.367,0.235,1.39735656487585e-78
"Atp8a1",1.91492170612449e-82,-0.457502773418297,0.455,0.453,4.79553842864755e-78
"Ssh2",6.66277275135748e-82,-0.201568136336578,0.504,0.417,1.66855818012245e-77
"Hnrnpa2b1",9.86960055775594e-82,-0.0234581754460383,0.433,0.317,2.47164406767882e-77
"Hecw2",2.77648403539781e-81,-0.46605709799066,0.651,0.653,6.95314896984674e-77
"Daam2",3.91263459970637e-81,-0.65513123510065,0.313,0.36,9.79841082804467e-77
"Usp9x",9.30697062212847e-81,0.271257396946307,0.366,0.213,2.33074465289963e-76
"Lrp1b",3.26613155949522e-80,-0.503259032607706,0.821,0.897,8.17937326444387e-76
"R3hdm1",4.83806658208893e-80,0.064234027440548,0.355,0.232,1.21159701415253e-75
"Pacrg",6.14225652852703e-80,-0.991825021502099,0.25,0.355,1.53820530243902e-75
"Srsf7",1.35008658813813e-79,0.373692629745767,0.36,0.192,3.38102184267431e-75
"Cnp",1.58932984374439e-78,-0.804335250707385,0.194,0.255,3.98015872768907e-74
"Lncpint",3.1252495377305e-78,0.174654104743043,0.492,0.328,7.82656241733849e-74
"Ptn",3.71625035089114e-78,-0.7014654960961,0.36,0.426,9.30660575373669e-74
"Cdc42bpa",3.81305375912865e-78,-0.441991578868475,0.619,0.624,9.54903052898589e-74
"mt-Co1",5.89942879102973e-78,-1.17998818076758,0.28,0.412,1.47739395213758e-73
"mt-Co3",3.10115417384832e-77,-1.05797541369404,0.32,0.436,7.76622039756835e-73
"Prickle2",4.81972225745028e-77,-0.635409238772513,0.498,0.57,1.20700304493327e-72
"Ncam1",5.42454228654949e-77,-0.498626810082622,0.673,0.709,1.35846812482059e-72
"Gab2",1.561289867465e-76,0.572757337307856,0.426,0.224,3.90993821509261e-72
"Foxn3",1.73547040127403e-76,-0.499028614493632,0.336,0.347,4.34613852591055e-72
"Frmd4b",1.81759247894798e-76,-0.470450872027384,0.408,0.416,4.55179684502943e-72
"Wnk1",1.05738275268397e-75,-0.182465441501486,0.433,0.359,2.64800362754647e-71
"Igf1r",1.06159607371012e-75,0.318918911965183,0.452,0.275,2.65855504739226e-71
"Baz2b",1.42128813021768e-75,-0.0035428158329478,0.515,0.386,3.55933186450414e-71
"Nsd1",1.59691174736959e-75,0.214183991297489,0.457,0.294,3.99914608893766e-71
"Pcdh9",1.66633512442136e-75,-0.384269669216675,0.938,0.985,4.17300305208841e-71
"Clmn",2.47504120366024e-75,-0.782137903673328,0.23,0.303,6.19824568632635e-71
