"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"C4b",9.16166187393997e-71,2.46146902402588,0.151,0.029,2.29435498309079e-66
"Gm3448",9.12139028383237e-62,1.42918341426942,0.39,0.237,2.28426976878014e-57
"Fstl4",1.77040321011198e-51,1.71086485189049,0.207,0.081,4.43362075908343e-47
"Ermard",1.78989492960716e-43,1.805302014074,0.174,0.068,4.48243387221522e-39
"Col16a1",1.57752967219469e-39,1.35171934744277,0.215,0.1,3.95060755807715e-35
"Zfp804b",2.44169323299634e-38,1.89031248284027,0.134,0.049,6.11473236339273e-34
"Snhg11",4.57207418956926e-37,-0.731164223572215,0.383,0.525,1.14498453929383e-32
"Tsix",1.54308113401058e-34,1.07509495417979,0.265,0.175,3.86433808390269e-30
"Nrxn3",3.61402243444044e-34,0.307367091106833,0.947,0.947,9.0505963825692e-30
"Tmem108",9.43481173073532e-33,0.656666394544002,0.57,0.445,2.36275990172805e-28
"Apoe",3.02156218082678e-32,-0.475247091790455,0.611,0.668,7.56689816944451e-28
"Pvt1",2.13196359801582e-24,1.05471387181935,0.191,0.101,5.33907643851102e-20
"Adamts9",1.36524012203921e-23,0.908679750504686,0.192,0.102,3.4189708376228e-19
"Sema3d",1.71664119522757e-22,0.443530107125758,0.626,0.531,4.2989845452084e-18
"Megf11",3.80068134988125e-17,-0.301672240927081,0.669,0.727,9.51804630450761e-13
"Fam19a1",2.00962923019335e-16,0.419120269264416,0.655,0.591,5.0327144811732e-12
"Gap43",3.32917319154901e-16,0.911182103552845,0.132,0.07,8.33724842359619e-12
"Ndst3",4.33078915899302e-16,0.877737511070536,0.17,0.1,1.08455952908662e-11
"Gm26673",1.60702741114417e-15,0.815870757155013,0.124,0.066,4.02447874572835e-11
"Itga9",2.30322294002023e-15,-0.396828041477144,0.423,0.493,5.76796120869266e-11
"Atp1b1",4.97428347155395e-15,-0.765131720842275,0.139,0.172,1.24570980978126e-10
"Itm2b",5.32389028903594e-13,-0.473711682967254,0.21,0.234,1.33326184508327e-08
"Adamtsl3",7.39528855803824e-13,0.798922051370732,0.15,0.09,1.85200211358952e-08
"Gm28750",8.84789417913008e-13,0.474345722268075,0.285,0.205,2.21577813927955e-08
"Ttr",9.80473816409053e-12,-0.472494548606667,0.089,0.145,2.45540057843319e-07
"Gm42948",1.10263541637258e-11,0.352260801140702,0.546,0.467,2.76132987322186e-07
"Tmsb4x",2.43853110210307e-11,-0.91456357751424,0.077,0.101,6.10681343899673e-07
"Stat3",3.72137282077276e-11,0.437610607425837,0.23,0.163,9.31943395506122e-07
"Fam19a2",5.21050201357621e-11,0.304199694437802,0.632,0.562,1.30486601925989e-06
"Fkbp5",8.14817293675304e-11,0.553865958311319,0.178,0.119,2.04054694855106e-06
"Unc13c",9.39660141702075e-11,-0.253230940368702,0.58,0.632,2.35319089286451e-06
"Grk3",4.37813440884893e-10,-0.792062068703649,0.081,0.125,1.09641620000804e-05
"Syne2",4.53558829456005e-10,0.487408959292639,0.261,0.193,1.13584737660667e-05
"Tenm2",6.4633716452769e-10,-0.29916381199932,0.438,0.482,1.61862216112669e-05
"Etv6",7.59309973074429e-10,0.438222645457444,0.371,0.301,1.90153996557029e-05
"Zfp36l1",1.30391346916155e-09,-0.369123283673368,0.271,0.304,3.26539050082128e-05
"Cd9",1.32921343567645e-09,0.399699355780718,0.318,0.246,3.32874920696452e-05
"Nfasc",1.95240917818023e-09,0.528765386920816,0.368,0.296,4.88941830491675e-05
"Cst3",2.57552756356327e-09,-0.623960919668458,0.16,0.21,6.4498936774315e-05
"Pcsk1n",3.29864788424301e-09,-0.344755521718707,0.208,0.213,8.26080389650976e-05
"Pde3a",1.10098295048909e-08,0.335276960308049,0.257,0.196,0.000275719160290982
"Rnf213",1.67483990842746e-08,0.776868040829874,0.113,0.07,0.000419430158267488
"Usp53",2.94612842211271e-08,0.487862446263234,0.148,0.101,0.000737798940749686
"Mgat4c",3.05084894129898e-08,-0.577741032025523,0.151,0.194,0.000764024100369504
"4930555F03Rik",5.18326645770111e-08,-0.52163089310975,0.15,0.202,0.00129804541900209
"Rph3a",5.18893308177764e-08,-0.689075949569968,0.089,0.129,0.00129946451166957
"Kirrel3",7.55173877988075e-08,0.279105179722654,0.591,0.529,0.00189118194264554
"Lamp1",8.20242143730825e-08,-0.381439464489506,0.139,0.152,0.0020541324005451
"Fth1",1.42832770731192e-07,-0.916800344898227,0.116,0.145,0.00357696107742123
"Snap25",1.71474377023299e-07,-0.304475420020183,0.334,0.365,0.00429423282379447
"Ankfn1",1.82021192590187e-07,0.408718103396762,0.231,0.175,0.00455835672603606
"Utrn",2.5471440205864e-07,-0.298179226447938,0.35,0.388,0.00637881277075451
"Atp6v0b",4.21193359371013e-07,-0.257038104518524,0.341,0.361,0.0105479452987283
"Arf4",4.86211629206283e-07,0.264732459641774,0.123,0.091,0.012176197830213
"Hip1r",6.53237157945769e-07,-0.321297026424805,0.259,0.308,0.0163590181464359
"Fgf13",8.30298032062486e-07,-0.388272655086183,0.201,0.237,0.0207931536169408
"Actb",9.62522632968433e-07,-0.267676223981867,0.137,0.131,0.0241044542974285
"Fstl5",1.37041293836364e-06,0.313530899556676,0.245,0.192,0.0343192512154406
"Sox8",1.78633379400118e-06,-0.378178283153424,0.174,0.199,0.0447351572031716
"Gm13963",1.93032055708756e-06,0.510184060156477,0.133,0.092,0.0483410177111437
"Nrg1",2.12002016684854e-06,0.31592758019546,0.571,0.529,0.0530916650383881
"Zfp654",2.16007958754735e-06,0.34325772361848,0.143,0.106,0.0540948731109484
"Emc10",2.45842220215869e-06,-0.366823940472449,0.104,0.108,0.06156626720866
"9530026P05Rik",3.51369210386841e-06,0.615026783435091,0.112,0.076,0.0879933913571766
"Agbl4",3.82793288666347e-06,-0.263517165314971,0.329,0.347,0.0958629232807132
"Alk",5.97298719970628e-06,0.292854770110248,0.291,0.237,0.149581518442244
"Frmd5",7.31881481735379e-06,0.305330366362563,0.465,0.408,0.183285079470991
"4930444A19Rik",7.5963144481349e-06,0.26345157699102,0.213,0.167,0.190234502724642
"Fmn1",7.62477956778425e-06,0.297318841316044,0.226,0.179,0.190947354716021
"Stk39",7.84205080976709e-06,0.332184700921006,0.275,0.223,0.196388478428997
"mt-Nd2",7.96349442912486e-06,-0.491593379508116,0.166,0.188,0.199429790988574
"mt-Nd1",1.32606830471826e-05,-0.425916035972226,0.137,0.149,0.332087285550593
"Atg4b",1.8168487254242e-05,-0.341848980819963,0.096,0.1,0.454993426307982
"Bicc1",1.88125728436296e-05,0.256372326265396,0.157,0.122,0.471123261723017
"Zbtb16",1.94383946761237e-05,0.380855353001134,0.217,0.172,0.486795717874166
"Arap2",1.94867736759086e-05,0.417887145485098,0.194,0.151,0.488007273165778
"Mpped1",2.0083624557334e-05,-0.591761426117581,0.074,0.102,0.502954209789315
"Chst9",2.15919648423343e-05,0.260139610508056,0.378,0.324,0.540727575546579
"Dbi",2.26956122409958e-05,-0.337410355354324,0.124,0.132,0.568366217351258
"Meg3",2.37929830902539e-05,-0.251190937223714,0.588,0.637,0.595847675529229
"Grik3",2.97375568020513e-05,0.291477375165787,0.299,0.249,0.744717634993771
"Rgs17",2.97688554892386e-05,0.352434152286736,0.209,0.165,0.745501448017001
"Rlbp1",3.12990331553121e-05,-0.307061836597895,0.224,0.257,0.783821687308481
"Msh3",3.79791958421907e-05,0.309875860655478,0.155,0.12,0.951113001475981
"Rgl1",4.0678451303688e-05,0.547924872578456,0.103,0.072,1
"Nr1d2",4.43523405093407e-05,-0.258806614788343,0.184,0.192,1
"Gfod1",4.96649576969189e-05,0.303311376760545,0.264,0.217,1
"Sdcbp",5.06253343148396e-05,0.382245653173842,0.134,0.1,1
"G2e3",5.17274217108239e-05,0.256836525028528,0.132,0.102,1
"Paqr8",5.51680014348314e-05,0.467241342117165,0.13,0.096,1
"mt-Co3",5.79504113070961e-05,-0.374634447361533,0.329,0.374,1
"Gm26699",5.84712227695659e-05,-0.26129211298421,0.169,0.175,1
"mt-Co2",6.45409813530527e-05,-0.331601663946425,0.237,0.28,1
"Rsf1os2",6.65615418212283e-05,0.283483209582328,0.164,0.128,1
"Ldb2",7.03815857083875e-05,0.309749457851887,0.296,0.251,1
"Loxl2",7.42369522128648e-05,0.487776633992508,0.144,0.108,1
"Eif1",8.27305282491435e-05,-0.306476915703479,0.108,0.108,1
"Thap3",8.38828627645931e-05,-0.324147084748752,0.126,0.136,1
"Dpf3",8.47380954185196e-05,-0.336257559454975,0.149,0.171,1
"Cnksr3",8.54538462746503e-05,0.702669575705975,0.1,0.072,1
"Gm45740",8.99491770085805e-05,0.299048779034892,0.222,0.18,1
"St3gal4",9.54372415883308e-05,0.35355873962989,0.152,0.117,1
"Polk",0.000110236151126118,0.468253742222931,0.102,0.073,1
"Cox7c",0.000113261408607696,-0.254388338543607,0.112,0.113,1
"Dbx2",0.000114866861499668,0.487090067224508,0.106,0.076,1
"Hspa5",0.000117071206356746,-0.370127096203599,0.096,0.107,1
"Tsc22d2",0.000118639336400812,0.282678376440411,0.23,0.188,1
"AC154782.1",0.000124104761850274,-0.27985342482288,0.186,0.204,1
"Edem3",0.000125581999117356,0.252196054348823,0.106,0.081,1
"Stmn3",0.000133615975992998,-0.303212371068698,0.101,0.101,1
"mt-Cytb",0.00013422234376772,-0.35683435318878,0.217,0.256,1
"3300002I08Rik",0.000137049921495097,0.254571457799525,0.104,0.079,1
"Snx2",0.000137660322064462,-0.258789194012819,0.114,0.117,1
"Laptm4a",0.00013779581667027,-0.269240548400841,0.12,0.124,1
"Ramp1",0.000143804748174703,-0.292042785196818,0.168,0.186,1
"Supt16",0.000164665586165893,0.29727758737591,0.117,0.089,1
"Pou3f1",0.000171885936381165,-0.355402708442562,0.092,0.101,1
"Gm48747",0.000173228657445732,0.260307216286471,0.244,0.201,1
"Slc44a1",0.000183552788049312,0.353443049564206,0.296,0.252,1
"Syt1",0.00021225229709273,-0.511015515847167,0.146,0.175,1
"9630013A20Rik",0.000234202256661781,0.715883193541624,0.186,0.151,1
"C1ql1",0.000236164304279625,-0.257309861320086,0.229,0.249,1
"Rab3ip",0.000252597567559342,0.297788995081964,0.101,0.076,1
"Dusp15",0.000262646516301646,0.264805453209824,0.137,0.107,1
"Eif4a2",0.000285525074138838,0.26494986016471,0.123,0.096,1
"Mpp6",0.000289174294003249,0.272456562977691,0.253,0.211,1
"AC151836.1",0.000342055262207765,-0.284991301829252,0.106,0.108,1
"Invs",0.000343435372569083,-0.336738270721839,0.131,0.144,1
"Elavl3",0.000353881632326612,0.294118671588532,0.155,0.121,1
"Csmd2os",0.000373267641734223,0.296335795580312,0.219,0.18,1
"Gm16279",0.000394539527363853,0.251638321737483,0.109,0.084,1
"Ednrb",0.000399664061940434,-0.293584110792249,0.197,0.225,1
"Clpx",0.000415735978406775,-0.259923114150815,0.103,0.106,1
"Acadsb",0.000419197129170933,-0.292611818758962,0.144,0.159,1
"Chrm3",0.000425235746541456,0.424323651304822,0.112,0.083,1
"Csnk1g3",0.000449641268752856,0.260449597430759,0.241,0.201,1
"Fam76b",0.000542150390697683,0.303673755526707,0.128,0.1,1
"Pstpip2",0.000547196398947881,-0.316262032029496,0.175,0.2,1
"S100a3",0.00056473368653754,0.283033418727749,0.181,0.146,1
"Crot",0.000578265145634508,0.318765915736765,0.127,0.098,1
"Sulf1",0.000582590930105836,0.282308267354356,0.267,0.226,1
"Gm45321",0.000587870087594182,-0.432924923641637,0.115,0.131,1
"Kcnip4",0.000635270989669065,-0.260936233856616,0.254,0.259,1
