Gene,Chromsome ,Gonad,Chromo x Gonad
Abca1,0,0,1
Ano4,0,0,1
Aplp1,0,0,1
Apod,0,0,1
Arhgef12,0,0,1
Arid5b,0,0,1
Cadm1,0,0,1
Ctnna3,0,0,1
Daam2,0,0,1
Enpp2,0,0,1
Frmd4a,1,0,0
Gab2,1,0,0
Grm7,0,0,1
Lrrc8c,1,0,0
Map7,0,0,1
Mbp,0,0,1
Mobp,0,0,1
Nav2,0,0,1
Plp1,0,0,1
Ptn,0,1,0
Pvt1,0,0,1
Scd2,0,1,0
Tanc2,1,0,0
Tenm2,0,0,1
Apbb2,1,0,0
Apoe,0,1,0
Arglu1,1,0,0
Arhgap12,0,0,1
Arhgap24,1,0,0
AY036118,0,0,1
Cacnb2,0,0,1
Ccnd3,0,0,1
Csmd3,0,0,1
Cst3,1,0,0
Ctsz,0,1,0
Fam196b,0,0,1
Fbrsl1,1,0,0
Ivns1abp,0,0,1
Ktn1,0,0,1
Laptm5,0,0,1
Lrmda,1,0,0
Maf,0,1,0
Nfia,0,0,1
P3h2,0,1,0
Picalm,0,0,1
Pid1,0,1,0
Rassf3,0,0,1
Selplg,1,0,0
Serinc3,1,0,0
Tlr7,1,0,0
9630028H03Rik,0,0,1
AC149090.1,1,0,0
Acsl3,0,1,0
Akap6,0,1,0
Appl2,0,0,1
Bcan,1,0,0
Dclk1,1,0,0
Htra1,0,0,1
Kcnn2,0,0,1
Lhfp,0,1,0
Lrrc4,1,0,0
Mapk4,0,0,1
Mertk,0,0,1
Mt1,1,0,0
Prkd1,0,0,1
Rgs7,1,0,0
Sesn3,1,0,0
Slco1c1,0,0,1
Tmem47,0,1,0
Ttyh1,0,0,1
Usp53,0,0,1
Wwc1,0,0,1
Zbtb16,0,1,0
