"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Plp1",1.01039877487051e-21,-1.99252374739434,0.047,0.128,2.53034165190822e-17
"Tsix",4.43099281474495e-20,1.34132492259351,0.203,0.107,1.10965353059658e-15
"Col23a1",4.68504976268574e-12,0.799543977581062,0.248,0.159,1.17327701206939e-07
"Ttr",6.9848783839988e-12,1.16922916701732,0.257,0.166,1.74922309370482e-07
"Meg3",2.40178720349979e-11,-0.471050488038014,0.407,0.497,6.01479569372452e-07
"Lepr",5.58189350704137e-11,0.976291305889529,0.167,0.095,1.39787359096837e-06
"Apod",6.1378491920416e-11,0.550104258354085,0.493,0.428,1.53710157316298e-06
"Cfh",1.37808206107499e-09,0.439312063935852,0.444,0.347,3.45113090555011e-05
"Trpm3",1.77438827801725e-09,0.50905392540332,0.544,0.472,4.44360056463859e-05
"Ranbp3l",7.87256852629022e-09,0.442282762686635,0.433,0.341,0.000197152733603886
"Atp1b1",1.5876092814419e-08,-0.468572208434452,0.179,0.199,0.000397584992351496
"Gria2",1.99108969886562e-08,-0.585003712882115,0.205,0.255,0.000498628593286916
"Syt1",2.59584140188688e-08,-0.749051050549585,0.153,0.197,0.000650076562274532
"Adamts12",5.50533166739976e-08,0.594577232004206,0.245,0.172,0.00137870020946692
"Enpp2",2.17150994109668e-07,0.604602363671431,0.269,0.195,0.00543811234548842
"Acss3",2.30745329160805e-07,0.423513898815276,0.228,0.162,0.00577855527817404
"Pdzrn3",3.0717614892877e-07,0.466376902688866,0.397,0.319,0.00769261229762319
"Errfi1",3.60269939994588e-07,0.893302440792405,0.163,0.106,0.00902224010728446
"Mapk4",3.82703941841122e-07,0.56139955219249,0.241,0.173,0.00958405481552721
"Camk1d",4.42776508619846e-07,0.351782193483459,0.511,0.43,0.0110884521053668
"Dlgap1",4.80531088065586e-07,-0.640232741198321,0.187,0.207,0.0120339400384265
"Rasgef1b",4.82136875693097e-07,0.618251886877286,0.158,0.101,0.0120741537779822
"Bnc2",8.40320813266436e-07,-0.33389519904023,0.307,0.315,0.0210441541266314
"Tbx3os1",8.43180956802681e-07,-0.726687952171996,0.08,0.131,0.0211157807012095
"Ldb2",9.00164288046849e-07,0.446369783093987,0.306,0.231,0.0225428142655572
"Snhg11",9.01084655081691e-07,-0.281714651719799,0.618,0.632,0.0225658630172108
"Cp",9.14708181603945e-07,0.47501375917817,0.418,0.344,0.0229070369919076
"Bicc1",9.75095428394443e-07,0.382998827325565,0.549,0.491,0.024419314813282
"Pdzd2",1.82920647471268e-06,-0.55726976044605,0.193,0.245,0.0458088177462297
"Vcam1",2.86983879535412e-06,0.622059984174723,0.134,0.084,0.0718693729520532
"Dpyd",2.96565296779075e-06,0.511715855362282,0.275,0.207,0.0742688472723838
"Tpm1",3.07920752072482e-06,0.355031783714338,0.271,0.205,0.0771125939415116
"Plcl1",3.1271197328116e-06,-0.414650553825569,0.437,0.477,0.0783124594688009
"Slco3a1",3.24311719518612e-06,-0.464040084742656,0.237,0.295,0.081217383919046
"Dcdc2a",4.75708449861434e-06,0.48573206681021,0.265,0.199,0.119131667098799
"Syn3",4.78288778596139e-06,0.31022567334054,0.242,0.179,0.119777858823831
"Nrg3",5.09678237344943e-06,-0.572780982486345,0.164,0.212,0.127638720978294
"Unc5c",7.14755476431389e-06,-0.466664864138281,0.21,0.253,0.178996213962713
"Abhd2",7.82437859029824e-06,-0.671483025787272,0.136,0.171,0.195945913036839
"Dlg2",8.4312885299417e-06,-0.392015444834631,0.355,0.395,0.21114475865533
"Kcnk2",9.45707616124286e-06,0.365068282457029,0.332,0.262,0.236833558306005
"Slc6a13",1.10082933577213e-05,0.34554828287917,0.327,0.258,0.275680690557415
"Gatm",1.30484330971628e-05,-0.691357142750726,0.112,0.153,0.326771910052249
"Tmtc4",1.35785178984433e-05,0.35808194672473,0.483,0.412,0.340046823730716
"Tpk1",1.41495913688073e-05,0.474343721788273,0.136,0.09,0.354348216649041
"Slc1a3",1.55603231762519e-05,0.31610541159278,0.427,0.354,0.389677173302877
"Nrxn3",1.80592535618655e-05,-0.54295604820292,0.152,0.194,0.452257886949798
"Atp13a5",1.94323168242803e-05,-0.471623866985296,0.174,0.199,0.486643510230451
"Klhl5",1.96133109574742e-05,0.549837538788475,0.178,0.125,0.491176146308027
"Rnf111",2.1851649149889e-05,0.317103123795521,0.174,0.127,0.54723084966067
"Kcnt2",2.32434117384956e-05,0.39571284640992,0.272,0.209,0.582084760167146
"Shroom2",2.34724913705462e-05,0.586389649551245,0.201,0.147,0.587821601392589
"Maml3",2.4646581793854e-05,0.257667622334506,0.324,0.259,0.617224347863486
"Ank3",2.66693816488911e-05,-0.686043575119242,0.103,0.121,0.667881324633181
"Lpar1",3.04749400811569e-05,0.408412125175432,0.262,0.201,0.763183924452413
"Trip12",3.32481059373946e-05,0.354233643063916,0.356,0.292,0.832632316990172
"Xkr4",3.34805691775544e-05,-0.748042938823746,0.076,0.102,0.838453893913495
"Opa1",3.71823944308185e-05,0.277092393678269,0.127,0.091,0.931158703730987
"Sema3a",3.80920957249932e-05,0.584234845709853,0.211,0.16,0.953940353241004
"Nkain2",4.04000752991245e-05,-0.561120261082653,0.216,0.227,1
"Srsf10",4.47943960785761e-05,-0.308120451807631,0.11,0.107,1
"Necab1",4.81714950421803e-05,0.659681717075189,0.131,0.087,1
"Plpp3",4.87852633738811e-05,0.292702101354832,0.322,0.26,1
"Bmp7",5.17387940228419e-05,0.508082650216219,0.163,0.115,1
"Mcl1",5.41213614795891e-05,-0.41792262721354,0.105,0.112,1
"Rasa2",5.51977384922478e-05,-0.276042008240639,0.113,0.11,1
"Kctd1",5.63299212555237e-05,-0.673065587371069,0.102,0.127,1
"Copa",5.6669391762449e-05,-0.417536753040825,0.144,0.162,1
"Fbln1",6.5726703365166e-05,0.292841271946122,0.146,0.106,1
"Plekhg1",6.66971499840053e-05,0.481350453218008,0.23,0.174,1
"Sipa1l1",6.78186403307795e-05,-0.451403524132797,0.178,0.212,1
"Dock10",6.98314209302291e-05,-0.268596253283453,0.108,0.153,1
"Slco1c1",7.46040693698586e-05,-0.553670788342275,0.116,0.122,1
"Ptprd",8.47987275274988e-05,-0.340029924918377,0.379,0.383,1
"Zdhhc17",8.68043680834501e-05,-0.390402118462552,0.13,0.144,1
"Abcc9",8.76850787609986e-05,-0.59617480413578,0.078,0.118,1
"Cd81",0.000108185680984159,-0.39491797662344,0.201,0.231,1
"Hibadh",0.00010926696251319,0.442635896379305,0.16,0.114,1
"Dcn",0.000110165989551367,0.313344492645502,0.238,0.186,1
"Naaladl2",0.000117349654605693,0.259482819131877,0.501,0.441,1
"Lrp1b",0.000146028492480775,-0.533806074912795,0.191,0.21,1
"Epha6",0.000153826451047326,-0.72346164876362,0.087,0.116,1
"Ldhb",0.000160164960830118,0.575626962782943,0.102,0.066,1
"Lingo2",0.000161541987228508,-0.704796447113164,0.072,0.105,1
"Zranb2",0.00017794449811221,-0.337647020925366,0.223,0.248,1
"Tenm2",0.000182786676894833,-0.394191529839362,0.192,0.225,1
"Pdlim5",0.00019211661924919,0.256103325585687,0.35,0.29,1
"Specc1",0.000211202024583328,-0.480331602802083,0.136,0.181,1
"H2-K1",0.000216699160473692,0.286574328090716,0.128,0.092,1
"Dnajc6",0.000249739025948892,0.373435934166882,0.293,0.236,1
"Cr1l",0.000264751856758909,0.536496038206884,0.141,0.099,1
"Pde1a",0.000272249547118834,0.288256363234794,0.475,0.415,1
"2410089E03Rik",0.000277682248052567,0.375417655518134,0.231,0.179,1
"Dtna",0.000283029424892104,0.509029965348906,0.121,0.083,1
"Col26a1",0.000291079152656066,0.417122028151313,0.165,0.123,1
"Opcml",0.000294146170551628,-0.372029747653656,0.172,0.202,1
"Arhgap24",0.000301723905220168,0.517587258699595,0.127,0.088,1
"Ctnnd2",0.000330830684819837,-0.549831120790945,0.147,0.181,1
"Acyp2",0.00036097995452713,0.293909998985564,0.187,0.143,1
"Pde8b",0.000409094910474058,-0.406238386292454,0.232,0.267,1
"Shtn1",0.000420942667602105,-0.566465751007353,0.086,0.113,1
"Ptpn13",0.000443998433344751,0.298120197665522,0.375,0.318,1
"Vim",0.000492097441025769,0.573870815674053,0.103,0.069,1
"Slc13a4",0.000526428578618795,0.416088440944884,0.211,0.163,1
"Nrxn1",0.000539576947798389,-0.348061155902333,0.184,0.228,1
"Kit",0.000541044890584811,0.53882072832837,0.116,0.08,1
"Ctsb",0.000559549622638463,0.483671214135928,0.104,0.07,1
"Dab2",0.00056822862172133,0.314444266945059,0.258,0.208,1
"Eva1c",0.000583337230598281,0.299634884847469,0.207,0.163,1
"Osbpl8",0.000586832661763866,0.362481789170749,0.266,0.216,1
"Kcnb2",0.00059632443796045,-0.422706188588073,0.184,0.224,1
"Igfbp5",0.00062910833102044,-0.526251278171318,0.108,0.125,1
"Pitpnc1",0.000630296765867528,-0.25476074001386,0.429,0.484,1
"Runx2",0.000667650911050256,-0.434476997203181,0.177,0.193,1
"Brd1",0.000741486100371895,-0.345157638371986,0.137,0.148,1
"Grm5",0.000746138487307975,-0.383595445052732,0.132,0.134,1
"Osmr",0.000762059548252886,0.618550397052673,0.111,0.076,1
"Tle1",0.000775087990184727,0.262352741694649,0.184,0.145,1
"Chd7",0.000782716010544422,0.449112718518873,0.156,0.115,1
"Agrn",0.000833332846495803,-0.51512114349803,0.104,0.139,1
"Lrrtm4",0.000853123013894365,-0.445715718737273,0.122,0.153,1
"Fzd6",0.000905966490355224,-0.405606079124498,0.154,0.181,1
"Map1b",0.000949532619116604,-0.261561370925784,0.178,0.187,1
"Gm27151",0.000978993611233389,0.390938042434361,0.172,0.13,1
"Stim1",0.000996014256882326,0.321923687605403,0.233,0.186,1
"Sobp",0.00100032030446713,0.264208785944606,0.324,0.271,1
"Slc23a2",0.00106615928936127,-0.323599823484927,0.234,0.272,1
"Slc24a2",0.001074722769242,-0.868539492456773,0.087,0.107,1
"Tpr",0.00107547267753048,-0.328184183426856,0.203,0.224,1
"Dnajc5",0.00109225077391707,0.267460320674953,0.113,0.086,1
"Cpeb2",0.00109403369217943,0.359650471128894,0.172,0.13,1
"Creb3l2",0.00122437285919654,0.288608737592212,0.24,0.193,1
"Fnbp4",0.00125035891057177,0.350857848585934,0.17,0.13,1
"Nupr1",0.00126249458292863,0.302700826746994,0.157,0.118,1
"Peli2",0.0014091530638784,0.427317102646818,0.218,0.173,1
"Mgea5",0.00154215579329991,-0.340673107367506,0.204,0.24,1
"Arhgap28",0.00154605591880545,0.398921118489285,0.14,0.103,1
"Nfe2l1",0.00156441428915072,0.521515588194259,0.113,0.079,1
"Grm3",0.00156943746516366,-0.281740764414976,0.13,0.169,1
"Unc13c",0.00157010238220505,-0.329565962631254,0.108,0.146,1
"Mapkap1",0.00159131346042911,-0.342958831062993,0.211,0.237,1
"Grin2b",0.00160616050131662,-0.514995307981039,0.118,0.137,1
"Mgat4c",0.00164279314037145,0.251531992469803,0.295,0.245,1
"Sgcd",0.00166080698520323,-0.378993172043527,0.166,0.208,1
"Kcnab1",0.00174552155325377,0.567132579409314,0.148,0.115,1
"Gm29478",0.00175529812067387,0.331438236063805,0.189,0.148,1
"Pitpnm2",0.0018223100385651,-0.475133491025449,0.111,0.134,1
"Gps2",0.00189329568675502,-0.418067670980463,0.092,0.104,1
"Cdk13",0.00193937518894872,0.254778326176126,0.29,0.241,1
"Tmem57",0.00196381063925124,-0.36709455773961,0.13,0.153,1
"Selenot",0.00202976040293147,0.44860358145553,0.101,0.072,1
"Zkscan2",0.00209222228148026,0.513183294035068,0.151,0.115,1
"Col13a1",0.0021305288113691,0.460991140565774,0.125,0.09,1
"Ddo",0.00214773820061411,0.28280082368258,0.123,0.092,1
"Vtn",0.00215825724969296,-0.399768454470692,0.251,0.263,1
"Mob2",0.00218928225346735,0.426043007890455,0.105,0.075,1
"Ntm",0.00224756694246613,0.394445456617392,0.268,0.224,1
"Hmcn1",0.00225722522566509,-0.306994308236275,0.175,0.218,1
"Gas7",0.00232278050307198,0.445520174208663,0.147,0.11,1
"Hs2st1",0.0023514693332654,0.394902706519276,0.143,0.107,1
"Slc47a1",0.00241321947979475,-0.416759217991984,0.158,0.189,1
"Mtif2",0.00253237899678902,0.437202603832201,0.135,0.099,1
"Cacnb2",0.0025391997625464,-0.331227683167829,0.144,0.184,1
"Zfp536",0.00264704213591665,0.265133805333748,0.266,0.219,1
"St6galnac3",0.0026960829443206,-0.358845763611251,0.14,0.146,1
"Sidt1",0.00275860880762356,0.506507253363563,0.107,0.075,1
"Cep112",0.0027667051644257,-0.310713880194587,0.204,0.221,1
"Ube2d2a",0.00279520056872791,-0.290040882769713,0.166,0.178,1
"Ufl1",0.00282456878425849,0.485145012506703,0.113,0.081,1
"Rad23b",0.00291940340795206,0.329739236051448,0.106,0.079,1
"Mboat2",0.00293271349391726,-0.451760203353362,0.093,0.105,1
"Kcnd2",0.00305188182946232,-0.352597406644401,0.117,0.137,1
"St3gal4",0.00308991946211262,-0.308520697996882,0.211,0.23,1
"Sgip1",0.00325329011706627,-0.450458424258783,0.133,0.156,1
"Eln",0.00333035494986091,0.546467319671721,0.1,0.071,1
"Morf4l1",0.0034125912850452,-0.362632310566239,0.131,0.149,1
"Fbxl7",0.00341424300738843,-0.271334851942743,0.384,0.401,1
"Kcnip4",0.00347503534089302,-0.294099720374824,0.314,0.356,1
"Rhoj",0.00348694417151066,0.352544831305565,0.161,0.124,1
"Kidins220",0.00356213512571511,-0.274322775950851,0.184,0.2,1
"Slc6a6",0.00359594140408293,-0.424109296886777,0.196,0.222,1
"Vapa",0.00364659271800482,0.370005259680978,0.156,0.12,1
"Pds5a",0.00368267957850326,0.252457982121989,0.236,0.194,1
