,Gene_symbol,Gene_ID
1,CHIC1,Chic1
2,FRMPD3,Frmpd3
3,FRMPD4,Frmpd4
4,ARAF,Araf
5,GRPR,Grpr
6,CLDN2,Cldn2
7,ELK1,Elk1
8,GPR174,Gpr174
9,GPR173,Gpr173
10,NSDHL,Nsdhl
11,ZC3H12B,Zc3h12b
12,AP1S2,Ap1s2
13,RPL39,Rpl39
14,TSPYL2,Tspyl2
15,ACOT9,Acot9
16,STARD8,Stard8
17,GTPBP6,Gtpbp6
18,LDOC1,Ldoc1
19,PHKA1,Phka1
20,SYTL5,Sytl5
21,PHKA2,Phka2
22,SYTL4,Sytl4
23,HCFC1,Hcfc1
24,AR,Ar
25,FAM133A,Fam133a
26,ACE2,Ace2
27,SPIN2A,Spin2a
28,HPRT1,Hprt1
29,AGTR2,Agtr2
30,ZNF157,Znf157
31,MTMR1,Mtmr1
32,ZNF275,Znf275
33,ABCB7,Abcb7
34,MTMR8,Mtmr8
35,AKAP17A,Akap17a
36,CFP,Cfp
37,GATA1,Gata1
38,XKRX,Xkrx
39,PRDX4,Prdx4
40,PLAC1,Plac1
41,MCTS1,Mcts1
42,F8A1,F8a1
43,APOOL,Apool
44,TMLHE-AS1,Tmlhe-As1
45,UPF3B,Upf3b
46,NR0B1,Nr0b1
47,L1CAM,L1cam
48,GLUD2,Glud2
49,LAS1L,Las1l
50,NOX1,Nox1
51,CDK16,Cdk16
52,SRPX,Srpx
53,SPIN4,Spin4
54,SPIN3,Spin3
55,SNX12,Snx12
56,CHM,Chm
57,WDR45,Wdr45
58,PHF6,Phf6
59,ARHGAP6,Arhgap6
60,PHEX,Phex
61,TMEM187,Tmem187
62,WDR44,Wdr44
63,ARHGAP4,Arhgap4
64,PHF8,Phf8
65,PQBP1,Pqbp1
66,MECP2,Mecp2
67,TAF7L,Taf7l
68,MED12,Med12
69,MED14,Med14
70,NHSL2,Nhsl2
71,AIFM1,Aifm1
72,NKRF,Nkrf
73,ZNF280C,Znf280c
74,ZNF41,Znf41
75,IKBKG,Ikbkg
76,TIMP1,Timp1
77,GPRASP1,Gprasp1
78,GPRASP2,Gprasp2
79,OFD1,Ofd1
80,CHST7,Chst7
81,KCND1,Kcnd1
82,SSR4,Ssr4
83,GPR34,Gpr34
84,TTC3P1,Ttc3p1
85,ZNF674-AS1,Znf674-As1
86,BGN,Bgn
87,CA5BP1,Ca5bp1
88,DUSP9,Dusp9
89,RIPPLY1,Ripply1
90,F8,F8
91,F9,F9
92,VAMP7,Vamp7
93,TMSB15A,Tmsb15a
94,PIGA,Piga
95,TMSB15B,Tmsb15b
96,RGN,Rgn
97,NUP62CL,Nup62cl
98,RPL10,Rpl10
99,FGD1,Fgd1
100,TMEM164,Tmem164
101,MIR503HG,Mir503hg
102,GLRA2,Glra2
103,DHRSX,Dhrsx
104,SRPX2,Srpx2
105,NKAPP1,Nkapp1
106,FLNA,Flna
107,DMD,Dmd
108,MBNL3,Mbnl3
109,P2RY10,P2ry10
110,GK,Gk
111,USP9X,Usp9x
112,PBDC1,Pbdc1
113,MCF2,Mcf2
114,GABRA3,Gabra3
115,APEX2,Apex2
116,PASD1,Pasd1
117,GLRA4,Glra4
118,VENTXP1,Ventxp1
119,FAM104B,Fam104b
120,WDR13,Wdr13
121,GPR143,Gpr143
122,CENPI,Cenpi
123,VMA21,Vma21
124,MAP2K4P1,Map2k4p1
125,TSR2,Tsr2
126,PLP1,Plp1
127,RLIM,Rlim
128,PLP2,Plp2
129,FMR1,Fmr1
130,LCA10,Lca10
131,SYAP1,Syap1
132,DACH2,Dach2
133,SAT1,Sat1
134,NUDT11,Nudt11
135,ATXN3L,Atxn3l
136,NUDT10,Nudt10
137,RAB41,Rab41
138,CYSLTR1,Cysltr1
139,HMGN5,Hmgn5
140,LAMP2,Lamp2
141,ZNF449,Znf449
142,PLS3,Pls3
143,SLC25A43,Slc25a43
144,PIM2,Pim2
145,SLC16A2,Slc16a2
146,GYG2,Gyg2
147,IL13RA1,Il13ra1
148,CDKL5,Cdkl5
149,EIF1AX,Eif1ax
150,ATP11C,Atp11c
151,ZBTB33,Zbtb33
152,THOC2,Thoc2
153,FTSJ1,Ftsj1
154,FOXP3,Foxp3
155,CXorf65,Cxorf65
156,ARMCX3,Armcx3
157,ARMCX4,Armcx4
158,ARMCX1,Armcx1
159,CXorf66,Cxorf66
160,ARMCX2,Armcx2
161,FRMD7,Frmd7
162,SLC9A6,Slc9a6
163,SLC9A7,Slc9a7
164,MORF4L2,Morf4l2
165,ARMCX6,Armcx6
166,SMS,Sms
167,SLC25A53,Slc25a53
168,XIST,Xist
169,PPEF1,Ppef1
170,DGKK,Dgkk
171,ZNF674,Znf674
172,PFKFB1,Pfkfb1
173,ZC4H2,Zc4h2
174,ASMT,Asmt
175,FOXO4,Foxo4
176,FTX,Ftx
177,KRBOX4,Krbox4
178,MTM1,Mtm1
179,PORCN,Porcn
180,PGK1,Pgk1
181,MPC1L,Mpc1l
182,NDP,Ndp
183,SLC38A5,Slc38a5
184,GRIA3,Gria3
185,PLXNA3,Plxna3
186,TRAPPC2,Trappc2
187,TCEANC,Tceanc
188,FANCB,Fancb
