,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,gene,Gene_symbol,Gene_ID,AST
1,0,-1.010594453,0.055,0.353,0,Aff2,AFF2,Aff2,-1.010594453
2,0,-0.235784859,0.111,0.291,0,Apex2,APEX2,Apex2,-0.235784859
3,0,0.025359098,0.187,0.306,0,Araf,ARAF,Araf,0.025359098
4,0,-0.345437499,0.17,0.413,0,Arhgef9,ARHGEF9,Arhgef9,-0.345437499
5,0,-0.995620652,0.008,0.317,0,Atp2b3,ATP2B3,Atp2b3,-0.995620652
6,0,-0.096493275,0.341,0.538,0,Atrx,ATRX,Atrx,-0.096493275
7,0,-0.400027776,0.2,0.416,0,Cask,CASK,Cask,-0.400027776
8,0,-0.924949993,0.042,0.342,0,Cdkl5,CDKL5,Cdkl5,-0.924949993
9,0,-0.154344806,0.137,0.284,0,Chm,CHM,Chm,-0.154344806
10,0,-2.503765329,0.05,0.613,0,Cnksr2,CNKSR2,Cnksr2,-2.503765329
11,0,-0.150668249,0.426,0.577,0,Diaph2,DIAPH2,Diaph2,-0.150668249
12,0,1.092243127,0.268,0.16,0,Eda,EDA,Eda,1.092243127
13,0,0.156062389,0.204,0.303,0,Fam120c,FAM120C,Fam120c,0.156062389
14,0,0.147691845,0.288,0.29,0,Fgf13,FGF13,Fgf13,0.147691845
15,0,-3.835608764,0.069,0.695,0,Frmpd4,FRMPD4,Frmpd4,-3.835608764
16,0,-0.930720763,0.133,0.505,0,Ftx,FTX,Ftx,-0.930720763
17,0,1.338028348,0.867,0.653,0,Gpm6b,GPM6B,Gpm6b,1.338028348
18,0,-0.251922723,0.146,0.349,0,Gprasp1,GPRASP1,Gprasp1,-0.251922723
19,0,-2.536709075,0.073,0.648,0,Gria3,GRIA3,Gria3,-2.536709075
20,0,-0.100821599,0.121,0.25,0,Gripap1,GRIPAP1,Gripap1,-0.100821599
21,0,2.120585794,0.788,0.426,0,Hdac8,HDAC8,Hdac8,2.120585794
22,0,0.075409485,0.353,0.497,0,Huwe1,HUWE1,Huwe1,0.075409485
23,0,-0.837073293,0.582,0.769,0,Il1rapl1,IL1RAPL1,Il1rapl1,-0.837073293
24,0,-0.454733135,0.156,0.417,0,Iqsec2,IQSEC2,Iqsec2,-0.454733135
25,0,0.088437152,0.176,0.259,0,Kdm5c,KDM5C,Kdm5c,0.088437152
26,0,-0.046490886,0.187,0.274,0,Kdm6a,KDM6A,Kdm6a,-0.046490886
27,0,0.500879926,0.269,0.218,0,Lamp2,LAMP2,Lamp2,0.500879926
28,0,-0.304192292,0.11,0.319,0,Map7d2,MAP7D2,Map7d2,-0.304192292
29,0,0.012032611,0.188,0.294,0,Mecp2,MECP2,Mecp2,0.012032611
30,0,1.354714808,0.38,0.149,0,Mid1,MID1,Mid1,1.354714808
31,0,-0.903398129,0.047,0.319,0,Nhsl2,NHSL2,Nhsl2,-0.903398129
32,0,0.462839138,0.246,0.279,0,Ocrl,OCRL,Ocrl,0.462839138
33,0,0.343633005,0.407,0.474,0,Ogt,OGT,Ogt,0.343633005
34,0,-0.193948016,0.206,0.314,0,Ophn1,OPHN1,Ophn1,-0.193948016
35,0,-1.61436837,0.036,0.511,0,Pak3,PAK3,Pak3,-1.61436837
36,0,0.833672826,0.336,0.177,0,Pcdh11x,PCDH11X,Pcdh11x,0.833672826
37,0,-0.847383914,0.029,0.332,0,Pdzd4,PDZD4,Pdzd4,-0.847383914
38,0,2.549833496,0.629,0.086,0,Phka1,PHKA1,Phka1,2.549833496
39,0,-1.492008949,0.021,0.453,0,Reps2,REPS2,Reps2,-1.492008949
40,0,-0.254082421,0.131,0.284,0,Rps6ka3,RPS6KA3,Rps6ka3,-0.254082421
41,0,1.67324864,0.421,0.066,0,Sat1,SAT1,Sat1,1.67324864
42,0,-0.888263389,0.08,0.291,0,Sh3kbp1,SH3KBP1,Sh3kbp1,-0.888263389
43,0,-0.175043805,0.126,0.273,0,Slc16a2,SLC16A2,Slc16a2,-0.175043805
44,0,-0.410464785,0.061,0.26,0,Slc9a7,SLC9A7,Slc9a7,-0.410464785
45,0,0.191489944,0.221,0.263,0,Stag2,STAG2,Stag2,0.191489944
46,0,-0.793444406,0.039,0.331,0,Syn1,SYN1,Syn1,-0.793444406
47,0,-0.562822413,0.053,0.282,0,Syp,SYP,Syp,-0.562822413
48,0,0.553794967,0.291,0.227,0,Tbl1x,TBL1X,Tbl1x,0.553794967
49,0,-1.95581523,0.057,0.515,0,Tenm1,TENM1,Tenm1,-1.95581523
50,0,0.122195805,0.263,0.372,0,Thoc2,THOC2,Thoc2,0.122195805
51,0,1.418670937,0.406,0.129,0,Tmem164,TMEM164,Tmem164,1.418670937
52,0,-0.51402606,0.042,0.258,0,Tro,TRO,Tro,-0.51402606
53,0,-1.235692152,0.014,0.32,0,Trpc5,TRPC5,Trpc5,-1.235692152
54,0,2.744468952,0.864,0.416,0,Tspan7,TSPAN7,Tspan7,2.744468952
55,0,-0.046524962,0.137,0.257,0,Txlng,TXLNG,Txlng,-0.046524962
56,0,-0.149468146,0.247,0.426,0,Usp9x,USP9X,Usp9x,-0.149468146
57,0,0.341903913,0.429,0.423,0,Xist,XIST,Xist,0.341903913
58,0,-0.037564403,0.205,0.363,0,Zc3h12b,ZC3H12B,Zc3h12b,-0.037564403
59,0,-0.177336176,0.109,0.272,0,Zcchc18,ZCCHC18,Zcchc18,-0.177336176
60,1.78E-207,0.205034508,0.753,0.681,4.46E-203,Dmd,DMD,Dmd,0.205034508
