,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,gene,Gene_symbol,Gene_ID,EN
1,0,0.045035761,0.431,0.201,0,Aff2,AFF2,Aff2,0.045035761
2,0,0.321711117,0.389,0.139,0,Apex2,APEX2,Apex2,0.321711117
3,0,0.074944174,0.388,0.186,0,Araf,ARAF,Araf,0.074944174
4,0,0.816647227,0.585,0.163,0,Arhgef9,ARHGEF9,Arhgef9,0.816647227
5,0,0.58694229,0.45,0.098,0,Atp2b3,ATP2B3,Atp2b3,0.58694229
6,0,-0.182249885,0.64,0.379,0,Atrx,ATRX,Atrx,-0.182249885
7,0,-0.392246338,0.485,0.291,0,Cask,CASK,Cask,-0.392246338
8,0,0.234466874,0.441,0.165,0,Cdkl5,CDKL5,Cdkl5,0.234466874
9,0,0.077535793,0.296,0.127,0,Chic1,CHIC1,Chic1,0.077535793
10,0,-0.041714437,0.353,0.173,0,Chm,CHM,Chm,-0.041714437
11,0,2.455018143,0.901,0.162,0,Cnksr2,CNKSR2,Cnksr2,2.455018143
12,0,-0.08644593,0.709,0.393,0,Diaph2,DIAPH2,Diaph2,-0.08644593
13,0,0.90686318,0.873,0.469,0,Dmd,DMD,Dmd,0.90686318
14,0,0.035976521,0.391,0.179,0,Fam120c,FAM120C,Fam120c,0.035976521
15,0,-1.330440466,0.326,0.248,0,Fgf13,FGF13,Fgf13,-1.330440466
16,0,1.448683487,0.942,0.279,0,Frmpd4,FRMPD4,Frmpd4,1.448683487
17,0,0.75843641,0.682,0.222,0,Ftx,FTX,Ftx,0.75843641
18,0,-0.73221302,0.777,0.55,0,Gpm6b,GPM6B,Gpm6b,-0.73221302
19,0,0.26990515,0.459,0.179,0,Gprasp1,GPRASP1,Gprasp1,0.26990515
20,0,1.65094708,0.907,0.227,0,Gria3,GRIA3,Gria3,1.65094708
21,0,-0.00776548,0.314,0.148,0,Gripap1,GRIPAP1,Gripap1,-0.00776548
22,0,-0.880549592,0.509,0.403,0,Hdac8,HDAC8,Hdac8,-0.880549592
23,0,-0.257413102,0.587,0.363,0,Huwe1,HUWE1,Huwe1,-0.257413102
24,0,0.804618262,0.944,0.526,0,Il1rapl1,IL1RAPL1,Il1rapl1,0.804618262
