,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,gene,Gene_symbol,Gene_ID,EPEN
1,0,1.342389641,0.341,0.051,0,Ap1s2,AP1S2,Ap1s2,1.342389641
2,0,1.238923618,0.425,0.15,0,Atp11c,ATP11C,Atp11c,1.238923618
3,0,2.261917441,0.674,0.281,0,Atp2b3,ATP2B3,Atp2b3,2.261917441
4,0,1.08830578,0.343,0.088,0,Atp7a,ATP7A,Atp7a,1.08830578
5,0,1.329988837,0.403,0.166,0,Brwd3,BRWD3,Brwd3,1.329988837
6,0,-2.130302213,0.081,0.57,0,Cnksr2,CNKSR2,Cnksr2,-2.130302213
7,0,1.237569278,0.327,0.02,0,Col4a5,COL4A5,Col4a5,1.237569278
8,0,1.321346646,0.343,0.06,0,Cul4b,CUL4B,Cul4b,1.321346646
9,0,-0.734403962,0.267,0.695,0,Dmd,DMD,Dmd,-0.734403962
10,0,-1.427058587,0.036,0.295,0,Fgf13,FGF13,Fgf13,-1.427058587
11,0,1.869907811,0.815,0.633,0,Frmpd4,FRMPD4,Frmpd4,1.869907811
12,0,-1.876251365,0.137,0.683,0,Gpm6b,GPM6B,Gpm6b,-1.876251365
13,0,-2.266263566,0.066,0.604,0,Gria3,GRIA3,Gria3,-2.266263566
14,0,1.039586615,0.339,0.151,0,Hs6st2,HS6ST2,Hs6st2,1.039586615
15,0,5.861439253,0.773,0.113,0,Htr2c,HTR2C,Htr2c,5.861439253
16,0,-1.977798746,0.229,0.762,0,Il1rapl1,IL1RAPL1,Il1rapl1,-1.977798746
17,0,1.264248718,0.269,0.024,0,Maob,MAOB,Maob,1.264248718
18,0,-0.896223226,0.021,0.305,0,Map7d2,MAP7D2,Map7d2,-0.896223226
19,0,2.383620364,0.665,0.161,0,Mid1,MID1,Mid1,2.383620364
20,0,2.560702699,0.712,0.285,0,Nhsl2,NHSL2,Nhsl2,2.560702699
21,0,-1.56021731,0.033,0.475,0,Pak3,PAK3,Pak3,-1.56021731
22,0,-0.750427307,0.033,0.309,0,Pdzd4,PDZD4,Pdzd4,-0.750427307
23,0,-1.391790646,0.023,0.42,0,Reps2,REPS2,Reps2,-1.391790646
24,0,0.771459432,0.282,0.16,0,Rpgr,RPGR,Rpgr,0.771459432
25,0,2.469412148,0.706,0.251,0,Slc16a2,SLC16A2,Slc16a2,2.469412148
26,0,-0.663721514,0.052,0.309,0,Syn1,SYN1,Syn1,-0.663721514
27,0,-1.86073415,0.068,0.48,0,Tenm1,TENM1,Tenm1,-1.86073415
28,0,0.871450499,0.411,0.15,0,Tmem164,TMEM164,Tmem164,0.871450499
29,0,-1.136386736,0.02,0.297,0,Trpc5,TRPC5,Trpc5,-1.136386736
30,0,-1.753397795,0.053,0.466,0,Tspan7,TSPAN7,Tspan7,-1.753397795
31,1.18E-292,0.7085727,0.303,0.194,2.97E-288,Mamld1,MAMLD1,Mamld1,0.7085727
