,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,gene,Gene_symbol,Gene_ID,IN
1,0,0.612961469,0.521,0.307,0,Aff2,AFF2,Aff2,0.612961469
2,0,0.450279134,0.317,0.127,0,Ammecr1,AMMECR1,Ammecr1,0.450279134
3,0,0.235219633,0.286,0.147,0,Atp6ap2,ATP6AP2,Atp6ap2,0.235219633
4,0,-1.124116607,0.513,0.565,0,Cnksr2,CNKSR2,Cnksr2,-1.124116607
5,0,0.333406539,0.285,0.144,0,Cstf2,CSTF2,Cstf2,0.333406539
6,0,0.236862693,0.296,0.158,0,Ctps2,CTPS2,Ctps2,0.236862693
7,0,0.908739833,0.393,0.076,0,Dcx,DCX,Dcx,0.908739833
8,0,-0.919403582,0.452,0.573,0,Diaph2,DIAPH2,Diaph2,-0.919403582
9,0,-0.448668043,0.766,0.68,0,Dmd,DMD,Dmd,-0.448668043
10,0,0.204832224,0.295,0.134,0,Dock11,DOCK11,Dock11,0.204832224
11,0,2.044328094,0.616,0.26,0,Fgf13,FGF13,Fgf13,2.044328094
12,0,0.964405172,0.397,0.081,0,Frmpd3,FRMPD3,Frmpd3,0.964405172
13,0,0.675815817,0.84,0.618,0,Frmpd4,FRMPD4,Frmpd4,0.675815817
14,0,0.336140407,0.652,0.454,0,Ftx,FTX,Ftx,0.336140407
15,0,0.552528461,0.31,0.114,0,Gabra3,GABRA3,Gabra3,0.552528461
16,0,-1.666170255,0.435,0.695,0,Gpm6b,GPM6B,Gpm6b,-1.666170255
17,0,0.229390121,0.465,0.318,0,Gprasp1,GPRASP1,Gprasp1,0.229390121
18,0,-0.365522181,0.536,0.453,0,Hdac8,HDAC8,Hdac8,-0.365522181
19,0,0.340866049,0.278,0.134,0,Hdx,HDX,Hdx,0.340866049
20,0,0.089148355,0.621,0.471,0,Huwe1,HUWE1,Huwe1,0.089148355
21,0,1.680023216,0.337,0.14,0,Il1rapl2,IL1RAPL2,Il1rapl2,1.680023216
22,0,-0.454152816,0.327,0.399,0,Iqsec2,IQSEC2,Iqsec2,-0.454152816
