,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,gene,Gene_symbol,Gene_ID,MG
1,0,-1.266639475,0.012,0.346,0,Aff2,AFF2,Aff2,-1.266639475
2,0,-0.434240915,0.045,0.289,0,Apex2,APEX2,Apex2,-0.434240915
3,0,-0.555052187,0.053,0.311,0,Araf,ARAF,Araf,-0.555052187
4,0,-1.030062412,0.03,0.415,0,Arhgef9,ARHGEF9,Arhgef9,-1.030062412
5,0,-0.900441749,0.01,0.307,0,Atp2b3,ATP2B3,Atp2b3,-0.900441749
6,0,0.266739428,0.289,0.535,0,Atrx,ATRX,Atrx,0.266739428
7,0,1.191719985,0.378,0.397,0,Cask,CASK,Cask,1.191719985
8,0,-0.989842424,0.017,0.334,0,Cdkl5,CDKL5,Cdkl5,-0.989842424
9,0,0.052273383,0.104,0.281,0,Chm,CHM,Chm,0.052273383
10,0,-2.196472341,0.059,0.594,0,Cnksr2,CNKSR2,Cnksr2,-2.196472341
11,0,1.607100852,0.639,0.558,0,Diaph2,DIAPH2,Diaph2,1.607100852
12,0,-2.664526695,0.084,0.727,0,Dmd,DMD,Dmd,-2.664526695
13,0,1.593569552,0.292,0.138,0,Dock11,DOCK11,Dock11,1.593569552
14,0,-0.318005032,0.071,0.308,0,Fam120c,FAM120C,Fam120c,-0.318005032
15,0,2.030022763,0.384,0.284,0,Fgf13,FGF13,Fgf13,2.030022763
16,0,-3.24679199,0.106,0.672,0,Frmpd4,FRMPD4,Frmpd4,-3.24679199
17,0,-0.795231427,0.089,0.496,0,Ftx,FTX,Ftx,-0.795231427
18,0,-2.295521213,0.07,0.713,0,Gpm6b,GPM6B,Gpm6b,-2.295521213
19,0,2.525819842,0.37,0.022,0,Gpr34,GPR34,Gpr34,2.525819842
20,0,-0.465120396,0.063,0.348,0,Gprasp1,GPRASP1,Gprasp1,-0.465120396
21,0,-2.229867328,0.07,0.629,0,Gria3,GRIA3,Gria3,-2.229867328
22,0,-0.202255983,0.209,0.477,0,Hdac8,HDAC8,Hdac8,-0.202255983
23,0,0.166984138,0.246,0.5,0,Huwe1,HUWE1,Huwe1,0.166984138
24,0,-3.155314393,0.099,0.795,0,Il1rapl1,IL1RAPL1,Il1rapl1,-3.155314393
25,0,-0.115761783,0.136,0.41,0,Iqsec2,IQSEC2,Iqsec2,-0.115761783
26,0,0.282881325,0.129,0.26,0,Kdm5c,KDM5C,Kdm5c,0.282881325
27,0,0.318021067,0.163,0.272,0,Kdm6a,KDM6A,Kdm6a,0.318021067
28,0,1.041569376,0.26,0.22,0,Lamp2,LAMP2,Lamp2,1.041569376
29,0,-0.915723218,0.013,0.318,0,Map7d2,MAP7D2,Map7d2,-0.915723218
30,0,0.284820275,0.147,0.294,0,Mecp2,MECP2,Mecp2,0.284820275
31,0,-0.743947899,0.039,0.31,0,Nhsl2,NHSL2,Nhsl2,-0.743947899
32,0,-0.323995783,0.06,0.29,0,Ocrl,OCRL,Ocrl,-0.323995783
33,0,0.16578641,0.237,0.483,0,Ogt,OGT,Ogt,0.16578641
34,0,2.660922721,0.623,0.283,0,Ophn1,OPHN1,Ophn1,2.660922721
35,0,-1.611142712,0.021,0.496,0,Pak3,PAK3,Pak3,-1.611142712
36,0,-0.838702107,0.016,0.323,0,Pdzd4,PDZD4,Pdzd4,-0.838702107
37,0,-1.20460549,0.031,0.438,0,Reps2,REPS2,Reps2,-1.20460549
38,0,0.930603916,0.245,0.271,0,Rps6ka3,RPS6KA3,Rps6ka3,0.930603916
39,0,1.674789901,0.312,0.085,0,Sat1,SAT1,Sat1,1.674789901
40,0,1.70815008,0.448,0.259,0,Sh3kbp1,SH3KBP1,Sh3kbp1,1.70815008
41,0,-0.84913782,0.019,0.276,0,Slc16a2,SLC16A2,Slc16a2,-0.84913782
42,0,0.166181377,0.091,0.251,0,Slc9a7,SLC9A7,Slc9a7,0.166181377
43,0,0.897603186,0.248,0.26,0,Stag2,STAG2,Stag2,0.897603186
44,0,-0.762811329,0.023,0.322,0,Syn1,SYN1,Syn1,-0.762811329
45,0,-0.430423633,0.042,0.275,0,Syp,SYP,Syp,-0.430423633
46,0,-1.837212084,0.04,0.501,0,Tenm1,TENM1,Tenm1,-1.837212084
47,0,0.38621847,0.205,0.372,0,Thoc2,THOC2,Thoc2,0.38621847
48,0,2.257101317,0.305,0.002,0,Tlr7,TLR7,Tlr7,2.257101317
49,0,1.332757883,0.285,0.146,0,Tmem164,TMEM164,Tmem164,1.332757883
50,0,-0.663294126,0.011,0.253,0,Tro,TRO,Tro,-0.663294126
51,0,-1.134663256,0.013,0.31,0,Trpc5,TRPC5,Trpc5,-1.134663256
52,0,-0.815193855,0.144,0.479,0,Tspan7,TSPAN7,Tspan7,-0.815193855
53,0,0.047210219,0.092,0.256,0,Txlng,TXLNG,Txlng,0.047210219
54,0,0.344384,0.235,0.421,0,Usp9x,USP9X,Usp9x,0.344384
55,0,0.719945513,0.417,0.424,0,Xist,XIST,Xist,0.719945513
56,0,-0.153662233,0.105,0.364,0,Zc3h12b,ZC3H12B,Zc3h12b,-0.153662233
57,0,-0.565273324,0.029,0.272,0,Zcchc18,ZCCHC18,Zcchc18,-0.565273324
