,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,gene,Gene_symbol,Gene_ID,OL
1,0,0.243406027,0.146,0.357,0,Aff2,AFF2,Aff2,0.243406027
2,0,-0.571522145,0.037,0.315,0,Apex2,APEX2,Apex2,-0.571522145
3,0,-0.122798251,0.1,0.33,0,Araf,ARAF,Araf,-0.122798251
4,0,-0.969452259,0.044,0.451,0,Arhgef9,ARHGEF9,Arhgef9,-0.969452259
5,0,-0.981768965,0.011,0.337,0,Atp2b3,ATP2B3,Atp2b3,-0.981768965
6,0,0.19881398,0.282,0.562,0,Atrx,ATRX,Atrx,0.19881398
7,0,-0.371559396,0.131,0.443,0,Cask,CASK,Cask,-0.371559396
8,0,0.261232836,0.155,0.342,0,Cdkl5,CDKL5,Cdkl5,0.261232836
9,0,0.029486395,0.103,0.299,0,Chm,CHM,Chm,0.029486395
10,0,-1.964489503,0.094,0.643,0,Cnksr2,CNKSR2,Cnksr2,-1.964489503
11,0,-0.832292735,0.18,0.63,0,Diaph2,DIAPH2,Diaph2,-0.832292735
12,0,-1.59178748,0.246,0.765,0,Dmd,DMD,Dmd,-1.59178748
13,0,-0.004472968,0.111,0.325,0,Fam120c,FAM120C,Fam120c,-0.004472968
14,0,-1.779235683,0.014,0.338,0,Fgf13,FGF13,Fgf13,-1.779235683
15,0,-3.654521152,0.086,0.733,0,Frmpd4,FRMPD4,Frmpd4,-3.654521152
16,0,-0.752958677,0.105,0.535,0,Ftx,FTX,Ftx,-0.752958677
17,0,1.227244322,0.687,0.67,0,Gpm6b,GPM6B,Gpm6b,1.227244322
18,0,-0.226134728,0.096,0.372,0,Gprasp1,GPRASP1,Gprasp1,-0.226134728
19,0,-2.2668282,0.084,0.684,0,Gria3,GRIA3,Gria3,-2.2668282
20,0,-0.045303912,0.082,0.265,0,Gripap1,GRIPAP1,Gripap1,-0.045303912
21,0,-0.574205671,0.163,0.512,0,Hdac8,HDAC8,Hdac8,-0.574205671
22,0,0.181654541,0.254,0.524,0,Huwe1,HUWE1,Huwe1,0.181654541
23,0,-0.819700908,0.479,0.8,0,Il1rapl1,IL1RAPL1,Il1rapl1,-0.819700908
24,0,-1.174545592,0.029,0.457,0,Iqsec2,IQSEC2,Iqsec2,-1.174545592
25,0,0.139779953,0.113,0.276,0,Kdm5c,KDM5C,Kdm5c,0.139779953
26,0,0.954069132,0.25,0.268,0,Kdm6a,KDM6A,Kdm6a,0.954069132
27,0,-0.024945033,0.098,0.335,0,Map7d2,MAP7D2,Map7d2,-0.024945033
28,0,0.339960192,0.158,0.307,0,Mecp2,MECP2,Mecp2,0.339960192
29,0,-0.046950822,0.073,0.25,0,Mtmr1,MTMR1,Mtmr1,-0.046950822
30,0,-1.18963386,0.011,0.343,0,Nhsl2,NHSL2,Nhsl2,-1.18963386
31,0,-0.367135575,0.062,0.313,0,Ocrl,OCRL,Ocrl,-0.367135575
32,0,-0.127066966,0.201,0.515,0,Ogt,OGT,Ogt,-0.127066966
33,0,-1.345125159,0.015,0.355,0,Ophn1,OPHN1,Ophn1,-1.345125159
34,0,-1.153313849,0.071,0.536,0,Pak3,PAK3,Pak3,-1.153313849
35,0,-0.870563583,0.019,0.354,0,Pdzd4,PDZD4,Pdzd4,-0.870563583
36,0,5.098867971,0.81,0.052,0,Plp1,PLP1,Plp1,5.098867971
37,0,-0.09461726,0.164,0.456,0,Reps2,REPS2,Reps2,-0.09461726
38,0,-0.264222031,0.077,0.304,0,Rps6ka3,RPS6KA3,Rps6ka3,-0.264222031
39,0,0.916813823,0.286,0.268,0,Sh3kbp1,SH3KBP1,Sh3kbp1,0.916813823
40,0,-0.819070787,0.027,0.3,0,Slc16a2,SLC16A2,Slc16a2,-0.819070787
41,0,-0.823187091,0.007,0.282,0,Slc9a7,SLC9A7,Slc9a7,-0.823187091
42,0,0.34109505,0.159,0.277,0,Stag2,STAG2,Stag2,0.34109505
43,0,-0.698421155,0.032,0.352,0,Syn1,SYN1,Syn1,-0.698421155
44,0,-0.389689699,0.051,0.297,0,Syp,SYP,Syp,-0.389689699
45,0,-1.980604613,0.039,0.548,0,Tenm1,TENM1,Tenm1,-1.980604613
46,0,0.117524684,0.166,0.396,0,Thoc2,THOC2,Thoc2,0.117524684
47,0,-0.713715502,0.012,0.277,0,Tro,TRO,Tro,-0.713715502
48,0,-1.24198058,0.012,0.341,0,Trpc5,TRPC5,Trpc5,-1.24198058
49,0,-1.111420989,0.12,0.517,0,Tspan7,TSPAN7,Tspan7,-1.111420989
50,0,-0.058051958,0.084,0.274,0,Txlng,TXLNG,Txlng,-0.058051958
51,0,0.363416542,0.231,0.44,0,Usp9x,USP9X,Usp9x,0.363416542
52,0,-0.301395896,0.308,0.444,0,Xist,XIST,Xist,-0.301395896
53,0,-0.401494197,0.086,0.394,0,Zc3h12b,ZC3H12B,Zc3h12b,-0.401494197
54,0,-0.49230758,0.039,0.295,0,Zcchc18,ZCCHC18,Zcchc18,-0.49230758
