,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,Gene
Plp1,0,-3.046961403,0.263,0.837,0,Plp1
Mag,0,-2.868955327,0.026,0.518,0,Mag
Mbp,0,-2.823080434,0.239,0.844,0,Mbp
Mog,0,-2.750348495,0.024,0.478,0,Mog
Prr5l,0,-2.6542963,0.145,0.748,0,Prr5l
Aspa,6.57E-277,-2.382303375,0.061,0.492,1.64E-272,Aspa
Map7,0,-2.372922057,0.167,0.663,0,Map7
Gm16168,5.18E-203,-2.312582456,0.069,0.424,1.30E-198,Gm16168
Ano4,1.12914783623975e-310,-2.247603723,0.17,0.638,2.83E-306,Ano4
C030029H02Rik,8.57E-202,-2.15884592,0.053,0.403,2.14E-197,C030029H02Rik
Pacrg,1.88E-200,-2.153452199,0.139,0.512,4.71E-196,Pacrg
AC110241.2,1.09E-164,-2.095789652,0.015,0.281,2.72E-160,AC110241.2
1700047M11Rik,1.25E-180,-2.084116906,0.031,0.339,3.14E-176,1700047M11Rik
A230001M10Rik,1.83E-171,-2.072852368,0.028,0.32,4.58E-167,A230001M10Rik
Ptgds,9.53E-128,-2.056738714,0.036,0.275,2.39E-123,Ptgds
Dscaml1,1.36E-242,-2.047455351,0.134,0.553,3.41E-238,Dscaml1
St18,0,-2.041801974,0.375,0.845,0,St18
Ptprd,0,-2.038846647,0.518,0.899,0,Ptprd
Ctnna3,8.92E-239,-1.974577585,0.169,0.589,2.23E-234,Ctnna3
Anln,2.07E-148,-1.945811958,0.018,0.269,5.19E-144,Anln
Arhgap23,5.11E-232,-1.932325109,0.126,0.536,1.28E-227,Arhgap23
Aatk,3.87E-186,-1.910982794,0.04,0.363,9.69E-182,Aatk
Rnf220,2.13E-227,-1.905266265,0.264,0.646,5.32E-223,Rnf220
Hapln2,2.70E-151,-1.90519035,0.012,0.258,6.77E-147,Hapln2
Mal,3.14E-148,-1.904663826,0.042,0.318,7.85E-144,Mal
Mobp,9.13E-244,-1.902037962,0.172,0.594,2.29E-239,Mobp
Cldn11,6.67E-154,-1.881617689,0.033,0.309,1.67E-149,Cldn11
Gm42756,1.22E-123,-1.880339477,0.028,0.258,3.07E-119,Gm42756
Mast3,2.04E-188,-1.87457076,0.085,0.439,5.11E-184,Mast3
Gm4593,1.61E-168,-1.843706763,0.058,0.373,4.02E-164,Gm4593
Enpp2,1.62E-248,-1.831835044,0.235,0.644,4.06E-244,Enpp2
Ninj2,2.96E-131,-1.826752875,0.024,0.261,7.41E-127,Ninj2
Plcl1,0,-1.812396141,0.503,0.89,0,Plcl1
Tubb4a,1.54E-174,-1.808296115,0.087,0.426,3.85E-170,Tubb4a
Edil3,0,-1.798376437,0.443,0.882,0,Edil3
Apod,2.89E-157,-1.798089085,0.101,0.426,7.24E-153,Apod
Ppp1r16b,2.67E-212,-1.797099593,0.146,0.544,6.68E-208,Ppp1r16b
Ugt8a,5.08E-178,-1.77298631,0.085,0.427,1.27E-173,Ugt8a
Cntn2,1.43E-143,-1.745637505,0.026,0.284,3.57E-139,Cntn2
Ttll7,3.18E-191,-1.692849486,0.131,0.505,7.96E-187,Ttll7
4-Sep,5.04E-141,-1.685309979,0.067,0.352,1.26E-136,4-Sep
Clmn,2.92E-135,-1.647014815,0.079,0.364,7.32E-131,Clmn
Gatm,5.91E-157,-1.606109053,0.115,0.441,1.48E-152,Gatm
Fa2h,1.05E-148,-1.602502842,0.088,0.397,2.62E-144,Fa2h
7-Sep,1.18E-165,-1.597931653,0.219,0.549,2.96E-161,7-Sep
Daam2,5.51E-152,-1.594353376,0.103,0.421,1.38E-147,Daam2
Grm7,7.08E-100,-1.591657348,0.137,0.39,1.77E-95,Grm7
Plekhh1,1.88E-125,-1.561797762,0.083,0.353,4.72E-121,Plekhh1
Tspan2,3.57E-125,-1.538664374,0.115,0.396,8.95E-121,Tspan2
Slc24a2,0,-1.535282145,0.655,0.922,0,Slc24a2
mt-Co1,1.04E-57,-1.527038663,0.219,0.356,2.60E-53,mt-Co1
Fbxw15,1.11E-108,-1.513947491,0.044,0.27,2.78E-104,Fbxw15
Ptn,1.55E-130,-1.513827288,0.12,0.414,3.88E-126,Ptn
mt-Co3,9.14E-59,-1.503294421,0.292,0.395,2.29E-54,mt-Co3
Tmod2,3.89E-139,-1.498162063,0.149,0.461,9.74E-135,Tmod2
mt-Atp6,8.64E-56,-1.483825035,0.234,0.354,2.16E-51,mt-Atp6
Srcin1,1.07E-106,-1.478951716,0.036,0.253,2.68E-102,Srcin1
Spock3,2.04E-140,-1.471668128,0.154,0.474,5.10E-136,Spock3
Phldb1,1.12E-123,-1.466588104,0.105,0.387,2.81E-119,Phldb1
St6galnac3,2.03E-209,-1.461831674,0.389,0.734,5.09E-205,St6galnac3
Aplp1,6.56E-121,-1.453348747,0.142,0.42,1.64E-116,Aplp1
Kcnq3,3.36E-136,-1.451392957,0.221,0.53,8.41E-132,Kcnq3
Il33,6.06E-117,-1.44751081,0.078,0.34,1.52E-112,Il33
mt-Co2,4.15E-53,-1.432356813,0.194,0.323,1.04E-48,mt-Co2
Plekhg1,3.62E-107,-1.426512195,0.078,0.324,9.07E-103,Plekhg1
Cdc37l1,4.31E-165,-1.424204696,0.285,0.619,1.08E-160,Cdc37l1
Prickle2,2.18E-167,-1.415164552,0.311,0.649,5.47E-163,Prickle2
Ttyh2,3.17E-95,-1.407691479,0.06,0.276,7.94E-91,Ttyh2
Grm3,4.61E-198,-1.40570786,0.308,0.684,1.15E-193,Grm3
Sec14l5,3.34E-162,-1.403871147,0.15,0.499,8.37E-158,Sec14l5
Shtn1,8.75E-116,-1.391428759,0.131,0.41,2.19E-111,Shtn1
Nbas,2.01E-115,-1.384132529,0.15,0.428,5.02E-111,Nbas
Phlpp1,9.96E-270,-1.381663885,0.479,0.829,2.49E-265,Phlpp1
Dip2a,4.51E-102,-1.360499423,0.099,0.346,1.13E-97,Dip2a
A330049N07Rik,6.85E-93,-1.350403776,0.061,0.277,1.71E-88,A330049N07Rik
Lrrtm3,4.68E-87,-1.340647752,0.101,0.326,1.17E-82,Lrrtm3
Cnp,2.30E-79,-1.307491813,0.058,0.25,5.75E-75,Cnp
Sorcs1,3.02E-129,-1.300581782,0.208,0.521,7.56E-125,Sorcs1
Frmd4b,4.53E-128,-1.280615899,0.203,0.513,1.13E-123,Frmd4b
Lrp1b,8.29368237047867e-319,-1.278318182,0.607,0.909,2.07698687603897e-314,Lrp1b
Trim2,1.05E-124,-1.270613418,0.194,0.498,2.63E-120,Trim2
Gm11149,4.08E-93,-1.268280949,0.135,0.382,1.02E-88,Gm11149
Slc8a1,1.37E-133,-1.231113107,0.277,0.595,3.43E-129,Slc8a1
mt-Cytb,7.36E-39,-1.211469559,0.158,0.274,1.84E-34,mt-Cytb
Atp8a1,5.05E-125,-1.203118355,0.269,0.573,1.27E-120,Atp8a1
Pak7,5.74E-128,-1.202408072,0.27,0.583,1.44E-123,Pak7
Hepacam,1.11E-78,-1.194327023,0.072,0.272,2.78E-74,Hepacam
Mast4,2.31E-269,-1.163600935,0.527,0.853,5.79E-265,Mast4
Car2,2.28E-108,-1.159648691,0.216,0.503,5.71E-104,Car2
Cyth1,4.39E-71,-1.153765449,0.068,0.252,1.10E-66,Cyth1
Gm42413,1.30E-70,-1.149538501,0.098,0.297,3.25E-66,Gm42413
Pde8a,2.58E-85,-1.149004068,0.203,0.446,6.47E-81,Pde8a
Scd2,3.09E-103,-1.147880503,0.307,0.569,7.74E-99,Scd2
Cdh19,8.96E-71,-1.138497892,0.116,0.321,2.24E-66,Cdh19
Usp54,5.53E-83,-1.130235473,0.13,0.361,1.38E-78,Usp54
Cdh10,1.18E-75,-1.122816719,0.13,0.349,2.96E-71,Cdh10
Nfasc,8.17E-104,-1.119086179,0.24,0.521,2.05E-99,Nfasc
Ermn,6.38E-70,-1.114981663,0.094,0.29,1.60E-65,Ermn
Lrrc4c,2.33E-114,-1.112412156,0.319,0.616,5.83E-110,Lrrc4c
Clasp2,2.00E-110,-1.10384027,0.316,0.597,5.00E-106,Clasp2
Bcas1,1.01E-109,-1.098731123,0.228,0.521,2.52E-105,Bcas1
Ncam2,1.79E-125,-1.096781947,0.332,0.642,4.47E-121,Ncam2
Mapt,2.25E-162,-1.087206029,0.492,0.776,5.64E-158,Mapt
Tenm2,1.11E-45,-1.078830762,0.167,0.333,2.78E-41,Tenm2
Nkain2,0,-1.065522178,0.834,0.979,0,Nkain2
Grb14,1.91E-69,-1.064645822,0.135,0.344,4.77E-65,Grb14
Qk,7.89E-219,-1.064469199,0.673,0.891,1.98E-214,Qk
Ctnna2,9.15E-90,-1.062963063,0.246,0.508,2.29E-85,Ctnna2
Kif21a,7.58E-80,-1.061638699,0.193,0.432,1.90E-75,Kif21a
Frmd5,3.23E-218,-1.059559809,0.63,0.891,8.09E-214,Frmd5
Csrp1,9.12E-61,-1.057776538,0.101,0.282,2.28E-56,Csrp1
Ank2,3.85E-193,-1.045148987,0.591,0.855,9.65E-189,Ank2
5031439G07Rik,4.81E-64,-1.034400441,0.106,0.297,1.20E-59,5031439G07Rik
Robo1,1.65E-43,-1.031081156,0.105,0.251,4.14E-39,Robo1
Arhgef28,1.10E-62,-1.030753522,0.094,0.277,2.76E-58,Arhgef28
Cdk19,2.19E-115,-1.022719642,0.379,0.662,5.49E-111,Cdk19
Daam1,5.76E-60,-1.021096209,0.141,0.331,1.44E-55,Daam1
Pip4k2a,1.96E-79,-1.019960426,0.222,0.464,4.92E-75,Pip4k2a
Rcan2,6.00E-65,-1.017454292,0.123,0.321,1.50E-60,Rcan2
Arhgef10,1.14E-72,-1.014464316,0.141,0.358,2.85E-68,Arhgef10
Dpysl2,4.85E-59,-1.01425213,0.113,0.296,1.21E-54,Dpysl2
Cdh2,7.41E-64,-1.012448461,0.13,0.328,1.86E-59,Cdh2
Dlg2,1.69E-116,-1.011939541,0.432,0.706,4.23E-112,Dlg2
Zdhhc20,1.17E-65,-1.002544964,0.182,0.394,2.92E-61,Zdhhc20
Hipk2,3.97E-72,-0.992728047,0.192,0.418,9.95E-68,Hipk2
Pcdh9,0,-0.983659649,0.883,0.984,0,Pcdh9
Gnao1,4.88E-95,-0.981314973,0.324,0.588,1.22E-90,Gnao1
Ank3,2.05E-123,-0.97930207,0.422,0.711,5.13E-119,Ank3
Park2,1.19E-58,-0.971035847,0.19,0.389,2.98E-54,Park2
Naaladl2,8.82E-66,-0.970418263,0.167,0.38,2.21E-61,Naaladl2
Ypel2,4.13E-68,-0.958590264,0.226,0.446,1.03E-63,Ypel2
Rffl,8.22E-55,-0.95029322,0.109,0.283,2.06E-50,Rffl
Slc12a2,3.07E-68,-0.950278213,0.194,0.415,7.70E-64,Slc12a2
Pde4b,0,-0.946852165,0.831,0.978,0,Pde4b
Unc5c,2.46E-104,-0.938095391,0.351,0.634,6.16E-100,Unc5c
Gpm6b,2.43E-120,-0.929404039,0.409,0.701,6.09E-116,Gpm6b
Apoe,2.15E-53,-0.928541418,0.318,0.482,5.38E-49,Apoe
Magi2,4.04E-296,-0.923204262,0.81,0.968,1.01E-291,Magi2
Cdc42bpa,9.62E-99,-0.913729838,0.43,0.682,2.41E-94,Cdc42bpa
Ncam1,3.48E-122,-0.909779129,0.468,0.743,8.73E-118,Ncam1
Xrcc6,2.35E-47,-0.909142366,0.126,0.291,5.90E-43,Xrcc6
Slain1,7.62E-68,-0.899682694,0.204,0.428,1.91E-63,Slain1
Sgk1,1.12E-43,-0.890303153,0.119,0.273,2.82E-39,Sgk1
Ptk2,2.42E-60,-0.889924271,0.246,0.452,6.07E-56,Ptk2
Cipc,6.19E-41,-0.86385467,0.122,0.269,1.55E-36,Cipc
Fth1,5.77E-42,-0.85904613,0.325,0.49,1.45E-37,Fth1
Rcbtb1,6.03E-46,-0.844770727,0.126,0.287,1.51E-41,Rcbtb1
Tmem178b,6.56E-69,-0.839480101,0.381,0.597,1.64E-64,Tmem178b
